fips,state,county,rent_dry_usd_ac,rent_dry_year,rent_dry_chg10_pct,rent_irr_usd_ac,rent_irr_year,rent_pasture_usd_ac,value_usd_ac,value_year,value_flag,value_cagr_pct,rent_to_value_pct,corn_yield_median_bu_ac,corn_yield_years,corn_yield_trend_bu_yr,claims_per_100_usd,loss_ratio_last10,loss_ratio_all,years_loss_over_1,d2_week_share_pct,jul_low_recent_f,jul_low_normal_f,jul_low_trend_f_decade,irrigated_share_2022,tile_share_2022,notill_share_2022,crp_acres,crp_share_pct,crp_expiring_next3_acres,rented_share_2022,solar_mw,wind_mw,gs_rain_normal_in,hail_1in_days_yr,cattle_2022
02013,AK,Aleutians East Borough,,,,,,,,,,,,,,,,,,,0.0,47.1,46.5,0.28,,,,,,,,0.0,1.0,24.3,0.0,0.0
02016,AK,Aleutians West Census Area,,,,,,,,,,,,,,,,,,,0.0,45.3,44.4,0.19,,,,,,,,0.0,0.0,25.6,0.0,0.0
02020,AK,Anchorage Municipality,,,,,,,,,,,,,,,,,,,0.4,45.0,44.8,0.44,,,,,,,0.3102,0.0,18.0,33.2,0.0,0.0
02050,AK,Bethel Census Area,,,,,,,,,,,,,,,,,,,0.0,48.0,47.4,0.36,,,,,,,,0.0,0.0,14.4,0.0,0.0
02060,AK,Bristol Bay Borough,,,,,,,,,,,,,,,,,,,0.0,48.0,47.7,0.2,,,,,,,,0.0,0.0,13.7,0.0,0.0
02068,AK,Denali Borough,,,,,,,,,,,,,,,,,,,0.0,45.1,43.9,0.3,,,,,,,,0.0,24.6,15.2,0.0,0.0
02070,AK,Dillingham Census Area,,,,,,,,,,,,,,,,,,,0.0,47.6,47.3,0.22,,,,,,,,0.0,0.0,22.2,0.0,0.0
02090,AK,Fairbanks North Star Borough,,,,,,,,,,,,,,,,,,,0.6,48.4,47.7,0.23,,,,,,,0.0915,0.0,0.0,12.2,0.0,0.0
02100,AK,Haines Borough,,,,,,,,,,,,,,,,,,,0.0,45.4,44.3,0.61,,,,,,,,0.0,0.0,34.3,0.0,0.0
02105,AK,Hoonah-Angoon Census Area,,,,,,,,,,,,,,,,,,,0.0,46.2,45.7,0.45,,,,,,,,0.0,0.0,56.7,0.0,0.0
02110,AK,Juneau City and Borough,,,,,,,,,,,,,,,,,,,0.0,42.6,42.5,0.32,,,,,,,0.4025,0.0,0.0,81.7,0.0,0.0
02122,AK,Kenai Peninsula Borough,,,,,,,,,,,,,,,,,,,0.2,44.8,44.2,0.46,,,,,,,0.5399,0.0,0.0,28.8,0.0,0.0
02130,AK,Ketchikan Gateway Borough,,,,,,,,,,,,,,,,,,,2.8,49.4,49.1,0.28,,,,,,,,0.0,0.0,64.6,0.0,0.0
02150,AK,Kodiak Island Borough,,,,,,,,,,,,,,,,,,,0.3,46.6,45.6,0.38,,,,,,,,0.0,9.0,26.9,0.0,0.0
02158,AK,Kusilvak Census Area,,,,,,,,,,,,,,,,,,,0.0,48.9,48.0,0.51,,,,,,,,0.0,0.0,13.0,0.0,0.0
02164,AK,Lake and Peninsula Borough,,,,,,,,,,,,,,,,,,,0.0,46.5,46.0,0.1,,,,,,,,0.0,0.0,19.1,0.0,0.0
02170,AK,Matanuska-Susitna Borough,,,,,,,,,,,,,,,,,,,0.0,44.8,43.9,0.52,,,,,,,,6.0,0.0,20.1,0.0,0.0
02180,AK,Nome Census Area,,,,,,,,,,,,,,,,,,,0.0,46.6,45.3,0.49,,,,,,,,0.0,1.8,9.4,0.0,0.0
02185,AK,North Slope Borough,,,,,,,,,,,,,,,,,,,0.0,44.0,43.0,0.7,,,,,,,,0.0,0.0,7.8,0.0,0.0
02188,AK,Northwest Arctic Borough,,,,,,,,,,,,,,,,,,,0.0,47.8,46.7,0.46,,,,,,,,1.7,3.3,9.8,0.0,0.0
02195,AK,Petersburg Census Area,,,,,,,,,,,,,,,,,,,0.7,45.0,44.4,0.4,,,,,,,,0.0,0.0,77.8,0.0,0.0
02198,AK,Prince of Wales-Hyder Census Area,,,,,,,,,,,,,,,,,,,4.3,51.0,50.5,0.35,,,,,,,,0.0,0.0,45.5,0.0,0.0
02220,AK,Sitka City and Borough,,,,,,,,,,,,,,,,,,,0.0,48.6,48.0,0.5,,,,,,,,0.0,0.0,58.3,0.0,0.0
02230,AK,Skagway Municipality,,,,,,,,,,,,,,,,,,,0.0,44.3,43.1,0.63,,,,,,,,0.0,0.0,23.1,0.0,0.0
02240,AK,Southeast Fairbanks Census Area,,,,,,,,,,,,,,,,,0.83,,0.1,45.0,44.8,0.01,,,,,,,,0.0,1.9,13.7,0.0,0.0
02261,AK,Valdez-Cordova Census Area,,,,,,,,,,,,,,,,,,,,44.3,43.6,0.41,,,,,,,,0.0,0.0,74.1,0.0,0.0
02275,AK,Wrangell City and Borough,,,,,,,,,,,,,,,,,,,4.1,48.9,48.4,0.34,,,,,,,,0.0,0.0,60.5,0.0,0.0
02282,AK,Yakutat City and Borough,,,,,,,,,,,,,,,,,,,0.0,44.0,42.7,0.49,,,,,,,,0.0,0.0,89.7,0.0,0.0
02290,AK,Yukon-Koyukuk Census Area,,,,,,,,,,,,,,,,,,,0.0,49.1,48.6,0.31,,,,,,,,0.0,0.0,10.5,0.0,0.0
