fips,state,county,rent_dry_usd_ac,rent_dry_year,rent_dry_chg10_pct,rent_irr_usd_ac,rent_irr_year,rent_pasture_usd_ac,value_usd_ac,value_year,value_flag,value_cagr_pct,rent_to_value_pct,corn_yield_median_bu_ac,corn_yield_years,corn_yield_trend_bu_yr,claims_per_100_usd,loss_ratio_last10,loss_ratio_all,years_loss_over_1,d2_week_share_pct,jul_low_recent_f,jul_low_normal_f,jul_low_trend_f_decade,irrigated_share_2022,tile_share_2022,notill_share_2022,crp_acres,crp_share_pct,crp_expiring_next3_acres,rented_share_2022,solar_mw,wind_mw,gs_rain_normal_in,hail_1in_days_yr,cattle_2022
01001,AL,Autauga County,50.5,2026,50.7,,,33.0,2636,2022,,3.6,,,,,5.71,0.56,0.72,,12.2,71.9,70.6,0.51,0.064,0.012,0.272,340,1.3,38,0.3352,0.0,0.0,26.3,0.7,14847.0
01003,AL,Baldwin County,90.0,2026,27.7,143.0,2026,33.5,6202,2022,,1.3,,152.0,17,3.112,8.53,0.83,0.75,6,9.1,73.9,72.5,0.52,0.206,0.001,0.152,1342,1.7,10,0.3278,0.0,0.0,35.3,1.4,20092.0
01005,AL,Barbour County,58.5,2026,69.6,131.0,2023,37.5,2617,2022,,3.2,,166.3,13,5.526,10.05,0.69,1.22,4,17.2,70.9,70.6,0.23,,0.046,0.327,3799,8.1,675,0.1827,0.0,0.0,26.8,0.3,27451.0
01007,AL,Bibb County,24.0,2026,140.0,,,20.5,2611,2022,,-1.4,,,,,,,,,11.4,70.5,69.8,0.39,0.014,0.121,0.124,79,,15,0.1348,0.0,0.0,26.2,0.6,5285.0
01009,AL,Blount County,48.0,2026,95.9,215.0,2022,24.0,5006,2022,,6.8,,128.4,11,1.698,4.73,0.72,0.55,,11.3,70.5,69.1,0.63,0.016,0.002,0.197,294,1.1,72,0.1987,0.0,0.0,27.3,1.5,31981.0
01011,AL,Bullock County,33.0,2025,10.0,,,14.5,2258,2022,,1.1,,,,,10.32,0.81,1.07,,15.5,71.0,70.4,0.36,0.016,,0.157,2645,16.3,9,0.2743,0.0,0.0,26.2,0.1,11649.0
01013,AL,Butler County,33.0,2024,32.0,,,25.0,3116,2022,,4.9,,,,,20.3,1.15,1.11,,11.2,71.5,69.8,0.57,,0.005,0.101,888,6.7,45,0.1543,0.0,0.0,28.6,0.3,9808.0
01015,AL,Calhoun County,64.5,2026,95.5,,,33.0,5855,2022,,6.6,,136.1,14,3.4,7.25,0.83,0.56,,13.5,69.9,68.9,0.49,,,0.394,0,,,0.2657,7.4,0.0,25.6,1.5,13844.0
01017,AL,Chambers County,28.0,2026,27.3,,,18.5,3446,2022,,6.5,,,,,,,,,21.5,69.6,68.5,0.5,0.009,0.007,0.027,154,1.1,0,0.2109,79.2,0.0,25.4,0.6,39162.0
01019,AL,Cherokee County,94.5,2026,12.5,172.0,2026,27.5,3646,2022,,2.9,2.88,118.0,16,3.169,6.92,0.77,0.63,2,13.9,69.3,68.6,0.37,0.024,0.006,0.67,231,0.3,18,0.3984,0.0,0.0,25.5,0.9,12140.0
01021,AL,Chilton County,24.5,2026,-12.5,50.0,2010,14.5,3464,2022,,-0.4,,,,,37.47,1.03,1.19,,12.4,70.3,69.3,0.47,0.074,,0.034,20,,0,0.2049,0.0,0.0,26.3,1.3,14396.0
01023,AL,Choctaw County,14.5,2026,,,,13.5,2456,2022,,3.7,,,,,,,,,6.6,72.5,70.9,0.51,0.031,0.012,0.302,95,,0,0.1063,0.0,0.0,26.8,0.3,4334.0
01025,AL,Clarke County,17.0,2026,,,,19.0,2688,2022,,3.4,,,,,,,,,7.4,72.4,70.9,0.57,0.03,,0.01,0,,0,0.1857,0.0,0.0,28.7,1.3,6501.0
01027,AL,Clay County,18.0,2026,0.0,,,11.5,3980,2022,,7.2,,,,,,,,,16.9,68.5,67.4,0.47,,0.038,0.016,6,,0,0.2321,0.0,0.0,26.9,0.4,21064.0
01029,AL,Cleburne County,30.5,2026,-21.8,,,26.0,4160,2022,,3.8,,,,,,,,,15.5,68.7,67.4,0.51,,,0.049,0,,0,0.2549,0.0,0.0,26.1,0.5,12335.0
01031,AL,Coffee County,49.5,2026,15.1,95.0,2011,35.5,3859,2022,,7.9,,93.3,10,2.533,22.74,0.92,1.26,20,13.5,71.4,70.5,0.35,0.056,0.018,0.172,2246,5.4,168,0.2924,0.0,0.0,29.6,0.4,22928.0
01033,AL,Colbert County,105.0,2026,19.3,,,31.0,3528,2022,,5.8,,157.5,17,0.194,9.81,1.06,0.78,5,8.0,69.9,68.1,0.47,0.042,0.001,0.539,294,0.6,140,0.3968,227.0,0.0,27.5,1.3,11813.0
