fips,state,county,rent_dry_usd_ac,rent_dry_year,rent_dry_chg10_pct,rent_irr_usd_ac,rent_irr_year,rent_pasture_usd_ac,value_usd_ac,value_year,value_flag,value_cagr_pct,rent_to_value_pct,corn_yield_median_bu_ac,corn_yield_years,corn_yield_trend_bu_yr,claims_per_100_usd,loss_ratio_last10,loss_ratio_all,years_loss_over_1,d2_week_share_pct,jul_low_recent_f,jul_low_normal_f,jul_low_trend_f_decade,irrigated_share_2022,tile_share_2022,notill_share_2022,crp_acres,crp_share_pct,crp_expiring_next3_acres,rented_share_2022,solar_mw,wind_mw,gs_rain_normal_in,hail_1in_days_yr,cattle_2022
05001,AR,Arkansas County,98.0,2025,11.4,158.0,2026,27.0,4364,2022,,6.7,,188.9,17,1.32,4.04,1.01,0.68,3,8.2,73.3,72.2,0.33,,,0.09,17912,5.0,5971,0.6553,81.0,0.0,23.2,1.1,1729.0
05003,AR,Ashley County,46.5,2017,,170.0,2026,37.5,4172,2022,,7.6,,187.8,16,0.577,8.9,1.21,0.85,7,11.7,72.8,71.6,0.39,,0.0,0.151,6656,5.8,432,0.6423,211.2,0.0,25.5,1.7,2779.0
05005,AR,Baxter County,25.5,2026,-13.6,,,19.5,3094,2022,,2.8,,,,,,,,,6.8,68.3,67.2,0.37,0.003,0.012,0.052,66,,0,0.3095,0.0,0.0,25.2,2.6,17440.0
05007,AR,Benton County,52.5,2026,1.0,,,30.0,9796,2022,,8.6,,,,,,,1.28,,5.7,69.0,67.8,0.4,0.013,0.005,0.029,6,,6,0.2554,3.0,0.0,27.1,3.4,75474.0
05009,AR,Boone County,35.5,2026,24.6,,,27.5,3933,2022,,8.3,,,,,,,1.36,,6.0,67.7,66.8,0.27,0.005,0.017,0.046,12,,12,0.2368,0.0,0.0,25.4,1.9,58619.0
05011,AR,Bradley County,12.0,2022,,,,13.0,3664,2022,,2.2,,,,,65.66,1.38,1.6,,9.7,72.2,71.1,0.48,0.125,,0.014,53,,0,0.0955,0.0,0.0,25.7,0.7,5042.0
05013,AR,Calhoun County,26.5,2025,,,,,2591,2022,,0.0,,,,,,,,,8.9,71.6,70.7,0.41,0.025,0.006,,36,,0,0.1496,12.0,0.0,26.0,0.8,3406.0
05015,AR,Carroll County,50.0,2026,47.1,,,37.5,3992,2022,,7.7,,,,,,,,,5.7,68.0,67.0,0.24,0.003,,0.025,71,,72,0.2464,2.2,0.0,26.0,1.3,75392.0
05017,AR,Chicot County,159.0,2026,63.9,165.0,2026,19.5,4081,2022,,6.6,,179.4,18,1.242,7.75,1.17,0.87,8,11.6,73.4,72.2,0.3,,,0.064,14054,5.5,1972,0.619,100.0,0.0,25.6,2.1,3443.0
05019,AR,Clark County,39.5,2026,146.9,,,13.0,3036,2022,,4.6,,,,,25.11,1.59,1.44,,9.9,71.6,70.3,0.57,,,0.018,227,1.2,0,0.2036,6.0,0.0,26.9,1.4,7852.0
