fips,state,county,rent_dry_usd_ac,rent_dry_year,rent_dry_chg10_pct,rent_irr_usd_ac,rent_irr_year,rent_pasture_usd_ac,value_usd_ac,value_year,value_flag,value_cagr_pct,rent_to_value_pct,corn_yield_median_bu_ac,corn_yield_years,corn_yield_trend_bu_yr,claims_per_100_usd,loss_ratio_last10,loss_ratio_all,years_loss_over_1,d2_week_share_pct,jul_low_recent_f,jul_low_normal_f,jul_low_trend_f_decade,irrigated_share_2022,tile_share_2022,notill_share_2022,crp_acres,crp_share_pct,crp_expiring_next3_acres,rented_share_2022,solar_mw,wind_mw,gs_rain_normal_in,hail_1in_days_yr,cattle_2022
04001,AZ,Apache County,,,,53.0,2025,3.7,329,2022,,3.7,,,,,,,,,46.3,58.3,57.0,0.72,0.994,0.003,0.093,4458,45.4,,0.0146,13.4,0.0,6.2,0.4,37055.0
04003,AZ,Cochise County,,,,93.0,2024,1.3,2695,2022,,6.1,,,,,7.67,2.05,1.42,6,34.3,66.1,65.3,0.4,1.0,0.0,0.025,63418,37.3,,0.3645,393.7,30.0,8.7,1.8,162200.0
04005,AZ,Coconino County,,,,,,,344,2022,,10.2,,,,,,,,,29.8,60.9,59.5,0.8,0.983,0.005,0.117,0,,,0.0079,0.0,716.4,6.2,2.4,41999.0
04007,AZ,Gila County,,,,,,5.7,356,2022,,-1.8,,,,,,,,,32.4,66.8,65.2,0.73,0.995,0.133,,0,,,0.0509,20.0,0.0,8.0,0.8,15170.0
04009,AZ,Graham County,,,,184.0,2025,4.2,736,2022,,2.6,,,,,9.76,1.08,1.09,13,38.8,68.5,66.9,0.73,1.0,0.0,0.103,11981,27.3,,0.0266,0.0,0.0,8.3,0.4,15201.0
04011,AZ,Greenlee County,,,,72.5,2019,,5515,2022,"{'own_pct': 253.8, 'nb_pct': 19.6, 'n': 5, 'dir': 'rose'}",,,,,,,,,,37.8,62.9,61.6,0.69,1.0,0.0,0.084,0,,,0.3901,0.0,0.0,9.3,0.1,2675.0
04012,AZ,La Paz County,,,,276.0,2026,,2604,2022,,5.3,,,,,11.07,1.72,1.2,,26.4,81.5,79.2,0.91,1.0,0.0,0.0,0,,,,32.5,0.0,2.2,0.0,
04013,AZ,Maricopa County,,,,266.0,2026,2.7,7203,2022,,-4.9,,,,,8.43,1.83,1.3,15,37.7,79.6,77.5,1.04,1.0,0.004,0.071,0,,,0.4878,3095.2,0.0,3.3,2.0,211891.0
04015,AZ,Mohave County,,,,122.0,2019,1.9,1045,2022,,4.5,,,,,,,0.23,,34.6,72.8,70.8,0.77,,0.0,,0,,,0.1121,102.8,360.0,3.8,1.1,19503.0
04017,AZ,Navajo County,,,,113.0,2023,1.0,325,2022,,8.0,,,,,,,,,45.4,60.1,59.0,0.76,0.988,0.003,0.042,0,,,0.0246,55.3,128.1,5.5,1.4,20363.0
04019,AZ,Pima County,,,,171.0,2025,1.4,504,2022,,-0.9,,,,,5.92,1.11,0.76,,29.6,73.8,72.4,0.67,1.0,0.0,,0,,,,475.4,0.0,6.2,2.8,18114.0
04021,AZ,Pinal County,,,,183.0,2026,4.1,2148,2022,,-4.9,,,,,21.16,2.12,1.75,22,34.3,77.2,75.3,0.88,1.0,0.012,0.016,0,,,0.2054,1441.4,0.0,5.1,1.2,273261.0
04023,AZ,Santa Cruz County,,,,,,3.1,2575,2022,,5.2,,,,,,,,,31.8,64.8,64.6,0.3,,0.0,0.009,19579,,,0.5723,6.0,0.0,11.1,0.9,10409.0
04025,AZ,Yavapai County,,,,92.5,2025,2.4,2325,2022,,7.1,,,,,,,,,34.1,66.5,64.9,0.85,0.996,0.0,0.05,0,,,0.1953,47.7,0.0,6.7,2.7,35229.0
04027,AZ,Yuma County,,,,747.0,2026,,8662,2022,,-1.3,,,,,6.98,1.1,0.75,,22.8,80.4,78.3,0.98,1.0,0.009,0.002,0,,,0.7545,1185.4,0.0,1.7,0.2,
