fips,state,county,rent_dry_usd_ac,rent_dry_year,rent_dry_chg10_pct,rent_irr_usd_ac,rent_irr_year,rent_pasture_usd_ac,value_usd_ac,value_year,value_flag,value_cagr_pct,rent_to_value_pct,corn_yield_median_bu_ac,corn_yield_years,corn_yield_trend_bu_yr,claims_per_100_usd,loss_ratio_last10,loss_ratio_all,years_loss_over_1,d2_week_share_pct,jul_low_recent_f,jul_low_normal_f,jul_low_trend_f_decade,irrigated_share_2022,tile_share_2022,notill_share_2022,crp_acres,crp_share_pct,crp_expiring_next3_acres,rented_share_2022,solar_mw,wind_mw,gs_rain_normal_in,hail_1in_days_yr,cattle_2022
06001,CA,Alameda County,27.0,2026,68.8,566.0,2025,14.5,13473,2022,,13.6,,,,,0.89,0.3,0.3,,26.2,58.8,58.1,0.35,0.851,,0.011,0,,,0.6023,16.5,207.4,2.4,0.0,12221.0
06003,CA,Alpine County,,,,,,,4950,2022,,1.6,,,,,,,,,26.8,50.8,48.9,0.91,,,,0,,,,0.0,0.0,7.1,0.1,
06005,CA,Amador County,65.0,2026,261.1,324.0,2025,20.0,6386,2022,,7.5,,,,,10.9,2.87,1.85,,24.4,62.1,59.5,0.98,0.945,,0.028,0,,,0.4402,1.0,0.0,6.2,0.1,12990.0
06007,CA,Butte County,23.5,2023,-38.2,437.0,2026,20.0,13981,2022,,3.0,,,,,7.03,1.85,1.22,12,27.9,63.5,61.4,0.74,0.981,0.003,0.016,0,,,0.3981,10.0,0.0,6.7,0.1,19927.0
06009,CA,Calaveras County,11.0,2022,-63.3,700.0,2026,14.5,4909,2022,,6.7,,,,,,,2.06,,24.4,62.4,59.8,0.93,0.928,0.857,0.017,0,,,0.5562,0.0,0.0,5.7,0.1,22889.0
06011,CA,Colusa County,28.0,2021,-52.5,375.0,2026,23.5,11119,2022,,6.9,,,,,8.07,2.89,1.89,9,27.0,63.5,61.5,0.59,0.953,0.014,0.036,225,0.1,0,0.5437,3.5,0.0,3.1,0.1,22909.0
06013,CA,Contra Costa County,30.5,2026,35.6,379.0,2026,23.5,9199,2022,,5.9,,,,,4.36,0.81,0.84,,28.9,59.1,58.1,0.34,0.872,,0.004,0,,,0.5921,89.3,116.2,2.2,0.0,29568.0
06015,CA,Del Norte County,,,,620.0,2026,12.5,10206,2022,,4.2,,,,,,,,,13.3,54.9,53.1,0.87,,,,0,,,,0.0,0.0,13.7,0.0,7047.0
06017,CA,El Dorado County,33.0,2026,,900.0,2026,14.0,11768,2022,,3.5,,,,,17.78,2.45,2.1,,22.6,59.8,57.3,1.05,0.882,0.009,0.075,0,,,0.4543,6.8,0.0,8.0,0.4,7497.0
06019,CA,Fresno County,22.0,2026,-45.0,305.0,2026,11.5,16378,2022,,7.6,,,,,5.95,1.2,0.99,10,31.3,60.8,58.7,1.1,0.982,0.025,0.018,0,,,0.3129,1822.6,0.0,3.2,0.1,467508.0
