fips,state,county,rent_dry_usd_ac,rent_dry_year,rent_dry_chg10_pct,rent_irr_usd_ac,rent_irr_year,rent_pasture_usd_ac,value_usd_ac,value_year,value_flag,value_cagr_pct,rent_to_value_pct,corn_yield_median_bu_ac,corn_yield_years,corn_yield_trend_bu_yr,claims_per_100_usd,loss_ratio_last10,loss_ratio_all,years_loss_over_1,d2_week_share_pct,jul_low_recent_f,jul_low_normal_f,jul_low_trend_f_decade,irrigated_share_2022,tile_share_2022,notill_share_2022,crp_acres,crp_share_pct,crp_expiring_next3_acres,rented_share_2022,solar_mw,wind_mw,gs_rain_normal_in,hail_1in_days_yr,cattle_2022
08001,CO,Adams County,19.5,2026,-7.1,146.0,2026,8.4,2918,2022,,12.6,0.75,68.8,16,-2.337,17.9,1.09,0.9,10,15.5,59.0,58.2,0.44,,0.0,0.613,24704,,4142,0.5392,157.5,0.0,11.5,3.6,15103.0
08003,CO,Alamosa County,21.0,2022,-40.0,191.0,2026,7.3,4456,2022,,16.0,,,,,8.91,1.04,1.03,13,28.4,49.4,48.3,0.47,0.91,0.013,0.042,4779,9.5,1281,0.3875,150.2,0.0,7.1,0.0,10252.0
08005,CO,Arapahoe County,13.5,2026,-10.0,,,8.4,2773,2022,,4.2,0.6,,,,18.66,1.09,1.02,11,14.5,58.6,57.5,0.51,0.057,,0.71,6993,32.7,3677,0.3016,150.7,0.0,12.2,4.9,7767.0
08007,CO,Archuleta County,20.5,2023,,68.0,2024,12.0,4985,2022,,9.9,,,,,,,,,26.8,50.7,49.5,0.64,0.966,0.027,0.075,32,,0,0.2805,0.0,0.0,10.5,0.3,7232.0
08009,CO,Baca County,31.0,2026,40.9,123.0,2023,6.4,1682,2022,,16.5,1.81,,,,27.77,0.98,1.15,14,35.6,61.8,61.9,0.12,,0.001,0.066,358646,,10219,0.2704,4.0,1.5,12.5,3.9,37007.0
08011,CO,Bent County,17.5,2026,,178.0,2026,6.2,1087,2022,,9.5,,147.9,14,0.424,34.41,1.22,1.63,11,35.6,62.7,62.5,0.13,0.811,0.08,0.053,94336,68.9,0,0.2602,0.0,75.0,10.8,1.9,25588.0
08013,CO,Boulder County,49.0,2025,,96.5,2026,9.4,18310,2022,,7.8,,,,,6.55,0.69,0.71,,11.3,52.4,51.8,0.36,0.749,0.069,0.106,73,,0,0.3556,16.2,0.0,13.2,2.2,3425.0
08014,CO,Broomfield County,21.5,2021,,,,,8319,2022,,8.8,,,,,,,,,12.4,59.0,58.1,0.42,,,,,,,,0.0,0.0,10.6,0.6,
08015,CO,Chaffee County,30.5,2026,,61.0,2026,18.5,6178,2022,,4.0,,,,,,,,,15.6,44.9,44.3,0.41,0.878,,0.074,0,,,0.2622,5.0,0.0,9.7,0.1,6387.0
08017,CO,Cheyenne County,32.0,2026,0.0,170.0,2025,9.2,1281,2022,,8.9,2.58,91.7,16,-3.085,23.77,0.94,1.12,15,23.9,60.9,60.7,0.06,0.063,0.0,0.323,139842,33.4,695,0.3371,0.0,498.4,12.8,4.1,24274.0
08019,CO,Clear Creek County,,,,,,,3896,2022,,4.3,,,,,,,,,11.8,45.4,44.6,0.5,,,,0,,,,0.0,0.0,15.0,0.3,
08021,CO,Conejos County,35.5,2026,22.4,134.0,2026,23.5,2984,2022,,12.1,,,,,6.43,0.82,0.79,,27.1,47.2,46.6,0.3,0.945,0.043,0.046,0,,0,0.1843,2.7,0.0,9.3,0.1,19837.0
08023,CO,Costilla County,9.3,2021,-63.5,210.0,2025,9.9,996,2022,"{'own_pct': -18.0, 'nb_pct': 71.9, 'n': 6, 'dir': 'fell'}",,,,,,7.56,0.92,0.95,,28.7,47.9,47.3,0.33,0.767,0.0,0.064,40,,0,0.0627,0.0,0.0,10.3,0.0,3939.0
08025,CO,Crowley County,,,,,,6.0,1003,2022,,14.5,,,,,,,1.71,,35.1,60.9,60.0,0.48,,0.012,0.023,69606,,2949,0.114,1.5,0.0,9.6,1.7,79842.0
08027,CO,Custer County,,,,61.5,2020,2.6,3662,2022,,13.5,,,,,,,,,23.3,48.1,47.2,0.44,0.857,,0.031,2428,22.9,,0.3557,0.0,0.0,11.9,0.6,3244.0
08029,CO,Delta County,16.5,2024,-45.0,120.0,2026,4.9,7364,2022,,8.9,,,,,16.96,0.87,1.11,4,27.6,56.8,55.3,0.62,0.927,0.042,0.047,0,,,0.2171,80.0,0.0,8.3,0.0,30710.0
08031,CO,Denver County,,,,,,,122408,2022,,13.9,,,,,18.42,0.75,0.73,,11.8,59.9,58.7,0.54,,,,0,,,,6.8,0.0,10.9,2.2,
08033,CO,Dolores County,,,,,,2.3,3270,2022,,12.9,,,,,18.42,1.22,1.14,,25.6,50.9,50.1,0.5,0.161,0.0,0.015,12424,31.9,762,0.2272,110.0,0.0,10.0,0.1,4059.0
08035,CO,Douglas County,14.0,2012,,,,12.0,12290,2022,,12.7,,,,,,,,,13.2,55.4,54.3,0.52,0.125,0.006,0.359,3136,38.3,0,0.1708,0.0,0.0,12.8,4.9,6144.0
08037,CO,Eagle County,,,,74.0,2024,1.9,6632,2022,,14.9,,,,,,,,,18.9,47.5,46.5,0.41,0.993,0.0,0.018,0,,,0.2955,0.0,0.0,11.1,0.0,5855.0
08041,CO,El Paso County,6.7,2024,-50.4,80.0,2017,5.7,2688,2022,,13.8,,,,,,,,,17.5,55.9,55.0,0.42,0.438,0.001,0.066,28184,78.2,0,0.4179,289.5,250.0,12.6,11.0,16451.0
