fips,state,county,rent_dry_usd_ac,rent_dry_year,rent_dry_chg10_pct,rent_irr_usd_ac,rent_irr_year,rent_pasture_usd_ac,value_usd_ac,value_year,value_flag,value_cagr_pct,rent_to_value_pct,corn_yield_median_bu_ac,corn_yield_years,corn_yield_trend_bu_yr,claims_per_100_usd,loss_ratio_last10,loss_ratio_all,years_loss_over_1,d2_week_share_pct,jul_low_recent_f,jul_low_normal_f,jul_low_trend_f_decade,irrigated_share_2022,tile_share_2022,notill_share_2022,crp_acres,crp_share_pct,crp_expiring_next3_acres,rented_share_2022,solar_mw,wind_mw,gs_rain_normal_in,hail_1in_days_yr,cattle_2022
09110,CT,Capitol planning region,,,,,,,,,,,,,,,,,0.53,,,,,,,,,,,,,0.0,0.0,,0.0,0.0
09001,CT,Fairfield County,,,,,,,11310,2022,,0.9,,,,,,,,,,65.7,63.7,1.05,0.08,0.012,0.059,0,,,0.4917,3.9,0.0,25.6,0.8,287.0
09003,CT,Hartford County,152.0,2026,33.3,,,,15160,2022,,-1.2,,,,,21.93,0.87,1.21,13,,63.7,61.8,0.87,,0.027,0.054,0,,,0.2732,240.8,0.0,25.2,0.9,2419.0
09005,CT,Litchfield County,47.0,2025,42.4,,,,14512,2022,,5.1,,,,,11.66,1.24,1.28,,,61.4,59.3,1.0,0.021,0.006,0.096,0,,,0.3011,37.3,5.0,26.2,1.3,9870.0
09130,CT,Lower Ct River Valley planning region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0
09007,CT,Middlesex County,67.5,2026,,,,,15325,2022,,0.5,,,,,,,0.47,,,64.4,62.8,0.9,,,0.022,0,,,0.2569,5.5,0.0,23.9,0.4,566.0
09140,CT,Naugatuck Valley planning region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0
09009,CT,New Haven County,80.0,2026,,,,,25431,2022,,1.6,,,,,10.38,0.61,0.91,,,64.7,63.2,0.93,0.139,,0.07,0,,,0.3737,30.5,0.0,24.8,0.5,1100.0
09011,CT,New London County,86.0,2026,77.3,,,,12043,2022,,1.0,,,,,,,0.39,,,64.6,62.7,1.0,,0.02,0.184,0,,,0.1801,76.8,0.0,23.3,0.6,12797.0
09150,CT,Northeastern planning region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0
09160,CT,Northwest Hills planning region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0
09170,CT,South Central planning region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0
09180,CT,Southeastern planning region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0
09013,CT,Tolland County,90.0,2026,8.4,,,,13021,2022,,6.1,,,,,11.73,0.54,0.7,,,62.4,60.7,0.88,0.061,0.016,0.306,0,,,0.2479,19.8,0.0,25.1,0.8,9505.0
09015,CT,Windham County,56.0,2026,30.2,,,,10546,2022,,2.2,,,,,8.37,1.2,1.03,,,62.8,61.1,0.9,0.023,0.012,0.165,0,,0,0.1923,78.1,0.0,24.4,0.4,9293.0
