fips,state,county,rent_dry_usd_ac,rent_dry_year,rent_dry_chg10_pct,rent_irr_usd_ac,rent_irr_year,rent_pasture_usd_ac,value_usd_ac,value_year,value_flag,value_cagr_pct,rent_to_value_pct,corn_yield_median_bu_ac,corn_yield_years,corn_yield_trend_bu_yr,claims_per_100_usd,loss_ratio_last10,loss_ratio_all,years_loss_over_1,d2_week_share_pct,jul_low_recent_f,jul_low_normal_f,jul_low_trend_f_decade,irrigated_share_2022,tile_share_2022,notill_share_2022,crp_acres,crp_share_pct,crp_expiring_next3_acres,rented_share_2022,solar_mw,wind_mw,gs_rain_normal_in,hail_1in_days_yr,cattle_2022
12001,FL,Alachua County,42.5,2026,11.8,164.0,2026,34.0,8209,2022,,0.9,,,,,6.68,1.4,1.27,,9.4,73.2,71.9,0.65,0.297,0.001,0.072,0,,,0.3269,154.2,0.0,34.4,0.9,44902.0
12003,FL,Baker County,,,,,,36.0,8182,2022,,12.3,,,,,0.33,0.13,0.13,,11.8,72.0,71.1,0.47,0.566,0.004,0.04,0,,,0.0862,298.0,0.0,32.5,0.3,3684.0
12005,FL,Bay County,,,,,,,5992,2022,"{'own_pct': 192.2, 'nb_pct': 35.6, 'n': 4, 'dir': 'rose'}",,,,,,,,,,10.7,74.4,73.5,0.33,,0.0,0.099,0,,,0.006,299.2,0.0,32.9,1.1,735.0
12007,FL,Bradford County,17.0,2025,-62.2,,,13.5,6042,2022,,4.8,,,,,,,,,10.5,72.4,71.5,0.5,,0.0,0.008,0,,,0.5651,0.0,0.0,33.7,0.4,7506.0
12009,FL,Brevard County,,,,,,22.0,7712,2022,,8.9,,,,,5.47,1.15,0.96,,9.4,75.4,74.1,0.63,0.81,0.06,0.2,0,,,0.5646,382.5,0.0,34.5,1.4,23448.0
12011,FL,Broward County,,,,,,45.5,35434,2022,,1.3,,,,,2.48,0.49,0.75,,8.3,75.5,74.4,0.51,0.516,0.029,0.036,0,,,0.7195,1.1,0.0,41.3,1.6,
12013,FL,Calhoun County,53.5,2024,-12.3,,,40.5,4502,2022,,15.9,,,,,25.92,1.37,1.13,,11.3,72.8,71.8,0.39,,0.0,0.189,201,0.7,19,0.1052,372.5,0.0,32.3,0.6,1724.0
12015,FL,Charlotte County,26.5,2026,,,,12.0,8300,2022,,3.0,,,,,11.6,3.86,2.86,10,9.7,74.8,73.5,0.66,0.94,,,0,,,0.5527,223.5,0.0,39.0,0.2,12609.0
12017,FL,Citrus County,21.0,2025,,,,10.0,13801,2022,,11.7,,,,,,,,,9.0,74.5,72.8,0.69,0.153,0.0,0.046,70,,0,0.3534,74.9,0.0,35.4,0.5,10361.0
12019,FL,Clay County,39.0,2016,,,,13.0,6932,2022,,3.9,,,,,,,,,10.8,73.3,72.1,0.57,0.065,0.032,0.0,0,,,0.1999,223.5,0.0,33.5,1.1,6664.0
12021,FL,Collier County,,,,351.0,2025,6.2,6076,2022,,5.1,,,,,7.03,1.69,1.03,9,9.2,75.4,74.0,0.57,0.934,,,0,,,0.3906,74.5,0.0,41.3,0.6,10033.0
12023,FL,Columbia County,35.0,2026,-19.5,129.0,2023,30.0,7637,2022,,11.9,,,,,20.09,1.53,1.31,,11.3,72.2,71.3,0.48,0.131,,0.127,78,,78,0.0979,298.8,0.0,33.1,0.5,29392.0
12027,FL,DeSoto County,40.5,2025,19.1,191.0,2025,17.5,6531,2022,,5.5,,,,,4.62,2.13,1.21,6,9.9,73.5,72.3,0.7,0.834,0.144,0.019,0,,,0.4683,546.5,0.0,39.0,0.0,65480.0
12029,FL,Dixie County,53.0,2012,,,,15.0,4694,2022,,4.7,,,,,9.55,1.29,1.7,,8.7,74.2,72.4,0.76,0.347,0.0,0.032,0,,,0.3656,0.0,0.0,36.7,0.2,3841.0
12031,FL,Duval County,,,,,,,13486,2022,,12.4,,,,,,,,,9.9,74.0,72.8,0.52,0.282,0.167,0.121,0,,,0.0771,38.1,0.0,32.4,1.9,2904.0
12033,FL,Escambia County,95.5,2026,3.8,135.0,2021,24.0,7806,2022,,4.7,1.1,,,,8.58,0.77,0.72,,10.5,74.0,72.6,0.46,0.06,0.029,0.036,440,1.0,29,0.3931,348.0,0.0,35.2,1.3,9675.0
12035,FL,Flagler County,,,,264.0,2020,6.4,6070,2022,,1.8,,,,,5.77,1.1,0.98,,9.5,74.2,72.8,0.62,0.736,0.006,0.214,0,,,0.431,0.0,0.0,34.0,1.2,4917.0
12037,FL,Franklin County,,,,,,,6207,2022,,12.3,,,,,,,,,9.2,73.7,72.9,0.51,0.067,,0.0,0,,,,0.0,0.0,33.6,0.2,327.0
12039,FL,Gadsden County,36.5,2019,17.7,,,35.0,4409,2022,,0.7,,,,,14.23,2.24,0.94,,12.3,72.1,71.1,0.54,0.217,0.005,0.133,0,,0,0.0555,153.0,0.0,31.3,0.4,4563.0
12041,FL,Gilchrist County,55.0,2026,-19.1,86.0,2026,49.0,6666,2022,,4.6,,,,,11.99,1.44,1.2,,9.0,73.3,71.7,0.72,0.562,0.0,0.128,0,,,0.4909,224.3,0.0,35.6,0.3,37733.0
12043,FL,Glades County,,,,,,41.0,4623,2022,,1.4,,,,,4.43,1.46,1.15,,13.2,74.2,72.8,0.64,0.916,,0.086,0,,,0.1358,0.0,0.0,37.3,0.4,64634.0
12045,FL,Gulf County,,,,,,,,2022,,,,,,,,,,,9.6,73.6,72.7,0.44,0.014,0.0,0.002,78,,0,,0.0,0.0,33.7,0.5,1390.0
12047,FL,Hamilton County,65.0,2026,52.9,113.0,2019,31.5,4547,2022,,3.3,,,,,15.19,1.42,1.19,,11.9,72.1,70.9,0.49,,0.004,0.091,79,,0,0.2639,149.8,0.0,31.2,0.4,7178.0
12049,FL,Hardee County,14.0,2024,-50.9,145.0,2021,13.5,6616,2022,,4.4,,,,,5.08,1.74,1.24,7,9.7,73.6,72.3,0.66,0.8,0.063,0.024,0,,,0.2415,149.8,0.0,38.7,0.3,71991.0
12051,FL,Hendry County,41.5,2026,,310.0,2025,27.0,4646,2022,,-1.1,,,,,5.66,1.6,1.13,11,11.6,74.4,73.2,0.58,,0.007,,0,,,0.4838,596.0,0.0,38.3,0.7,64720.0
12053,FL,Hernando County,51.0,2025,131.8,,,10.5,11831,2022,,2.4,,,,,1.1,0.33,0.11,,9.1,74.4,72.8,0.67,0.133,,0.015,0,,,0.3668,74.9,0.0,36.2,0.3,9372.0
12055,FL,Highlands County,51.5,2023,32.1,352.0,2026,23.0,5657,2022,,7.7,,,,,3.95,1.64,1.13,7,10.3,73.8,72.3,0.69,0.827,0.099,0.024,0,,,0.1894,45.0,0.0,37.4,0.4,74469.0
12057,FL,Hillsborough County,43.0,2026,83.0,569.0,2026,13.0,15276,2022,,5.5,,,,,8.21,1.34,1.08,14,8.0,75.3,73.9,0.68,0.585,0.023,0.068,0,,,0.5296,742.9,0.0,38.4,1.1,32943.0
12059,FL,Holmes County,48.0,2026,17.1,,,16.0,4558,2022,,6.5,,,,,34.24,1.16,1.19,9,14.2,72.5,71.6,0.37,0.083,,0.018,446,2.0,0,0.148,0.0,0.0,32.2,0.1,12401.0
12061,FL,Indian River County,62.0,2009,,,,24.5,6645,2022,,3.0,,,,,5.47,1.76,1.12,6,9.1,74.5,73.2,0.49,0.899,0.405,0.011,0,,,0.25,372.5,0.0,35.2,0.4,23234.0
12063,FL,Jackson County,57.5,2026,-1.7,164.0,2023,43.5,4146,2022,,2.3,,,,,26.42,1.18,1.25,22,12.6,72.9,72.0,0.34,0.207,0.0,0.163,1251,1.3,61,0.2997,223.5,0.0,30.1,0.4,34278.0
12065,FL,Jefferson County,44.0,2025,12.8,,,41.5,5049,2022,,7.8,,,,,11.45,1.45,0.82,,10.3,73.0,71.6,0.55,0.255,,0.045,99,,56,0.1989,0.0,0.0,31.7,0.4,29064.0
12067,FL,Lafayette County,49.0,2024,8.9,166.0,2023,37.5,4741,2022,,9.4,,,,,13.33,1.26,1.19,,8.6,73.2,71.5,0.64,0.594,0.0,0.183,0,,,0.5884,0.0,0.0,34.9,0.1,17387.0
12069,FL,Lake County,45.5,2026,,270.0,2021,10.5,11976,2022,,8.6,,,,,3.3,1.01,0.54,3,9.3,74.3,72.8,0.7,0.416,0.007,0.072,482,1.3,,0.3755,4.0,0.0,35.1,1.1,25550.0
12071,FL,Lee County,69.5,2022,,,,11.5,13080,2022,,1.4,,,,,6.21,2.23,1.0,9,9.4,75.7,74.4,0.68,0.578,0.05,0.039,0,,,0.6207,0.0,0.0,39.6,0.8,9946.0
12073,FL,Leon County,,,,,,23.0,7248,2022,,11.2,,,,,,,,,10.9,72.7,71.5,0.59,0.651,0.0,0.168,0,,0,0.1139,62.0,0.0,31.9,0.8,1936.0
12075,FL,Levy County,58.0,2026,11.5,133.0,2023,31.0,6275,2022,,6.4,,,,,5.14,0.87,1.14,5,8.7,74.6,72.7,0.91,0.322,0.006,0.168,0,,,0.3754,224.4,0.0,35.1,0.7,46261.0
12077,FL,Liberty County,,,,,,,4646,2022,,3.5,,,,,,,,,10.3,72.5,71.5,0.5,,0.0,0.099,0,,,0.0089,0.0,0.0,33.3,0.3,1220.0
12079,FL,Madison County,22.0,2026,-48.2,278.0,2024,19.5,4506,2022,,5.0,,,,,7.64,1.26,1.09,,9.2,72.8,71.3,0.61,0.401,,0.134,440,1.1,504,0.2253,224.3,0.0,31.7,0.3,26480.0
12081,FL,Manatee County,41.0,2026,-5.7,390.0,2017,12.5,9523,2022,,4.1,,,,,7.94,2.06,1.23,12,11.7,74.5,73.3,0.75,0.816,0.043,0.051,0,,,0.2996,596.0,0.0,39.3,0.3,38973.0
12083,FL,Marion County,30.0,2026,7.1,70.0,2019,22.0,12964,2022,,3.1,,,,,8.84,1.05,0.88,,9.8,73.8,72.2,0.76,0.15,0.011,0.093,0,,,0.2693,0.0,0.0,34.8,0.9,40796.0
12085,FL,Martin County,37.0,2019,,150.0,2016,10.0,7304,2022,,10.7,,,,,1.87,0.61,0.92,8,7.7,75.7,73.9,0.67,0.68,,0.037,0,,,0.5782,298.0,0.0,36.7,0.9,25376.0
12086,FL,Miami-Dade County,225.0,2020,,568.0,2023,,50161,2022,,6.0,,,,,5.77,0.82,1.03,11,6.9,76.3,75.0,0.55,0.731,0.005,0.038,0,,,0.4412,225.7,0.0,40.5,1.4,7668.0
12087,FL,Monroe County,,,,,,,,2022,,,,,,,,,,,6.0,77.6,76.1,0.58,,0.0,0.822,0,,,,0.0,0.0,37.6,0.0,
12089,FL,Nassau County,,,,,,,4919,2022,,5.6,,,,,,,,,11.6,73.4,72.3,0.52,0.036,0.074,,0,,,0.038,149.0,0.0,32.2,0.6,4736.0
12091,FL,Okaloosa County,43.5,2024,-38.7,,,40.0,8894,2022,,13.3,,,,,11.3,0.66,0.97,,11.0,73.4,72.0,0.52,0.113,,0.037,517,5.4,0,0.0431,179.0,0.0,34.4,0.4,2741.0
12093,FL,Okeechobee County,41.0,2026,,214.0,2019,17.5,5713,2022,,6.2,,,,,4.6,0.99,1.2,6,11.4,74.4,72.9,0.57,0.44,0.116,0.017,0,,,0.3237,521.5,0.0,35.9,0.4,157001.0
12095,FL,Orange County,,,,300.0,2025,20.0,10106,2022,,3.7,,,,,9.03,1.66,0.79,3,8.8,74.9,73.5,0.68,,0.022,0.032,0,,,0.6854,147.3,0.0,35.5,2.1,16382.0
12097,FL,Osceola County,,,,200.0,2023,7.6,4578,2022,,3.4,,,,,3.25,0.98,0.84,,8.0,74.7,73.2,0.65,,,0.024,0,,,0.5948,227.3,0.0,36.2,1.2,99418.0
12099,FL,Palm Beach County,50.5,2022,40.3,343.0,2026,58.0,7732,2022,,-1.6,,,,,4.04,0.8,0.9,12,8.8,75.0,73.8,0.55,0.905,0.001,0.286,0,,,0.3872,298.0,0.0,38.9,1.6,14545.0
