fips,state,county,rent_dry_usd_ac,rent_dry_year,rent_dry_chg10_pct,rent_irr_usd_ac,rent_irr_year,rent_pasture_usd_ac,value_usd_ac,value_year,value_flag,value_cagr_pct,rent_to_value_pct,corn_yield_median_bu_ac,corn_yield_years,corn_yield_trend_bu_yr,claims_per_100_usd,loss_ratio_last10,loss_ratio_all,years_loss_over_1,d2_week_share_pct,jul_low_recent_f,jul_low_normal_f,jul_low_trend_f_decade,irrigated_share_2022,tile_share_2022,notill_share_2022,crp_acres,crp_share_pct,crp_expiring_next3_acres,rented_share_2022,solar_mw,wind_mw,gs_rain_normal_in,hail_1in_days_yr,cattle_2022
13001,GA,Appling County,101.0,2026,20.2,254.0,2025,59.5,3332,2022,,0.5,,130.0,10,1.942,18.41,1.35,1.15,14,13.7,72.7,71.5,0.59,,0.081,0.268,586,1.0,403,0.3106,25.0,0.0,26.8,0.4,7167.0
13003,GA,Atkinson County,120.0,2026,55.8,265.0,2026,63.0,3362,2022,,3.0,,162.1,14,3.099,18.64,1.5,1.39,11,14.7,72.3,71.0,0.59,,0.01,0.085,166,0.4,34,0.3039,0.0,0.0,26.7,0.3,7838.0
13005,GA,Bacon County,87.5,2026,26.8,200.0,2026,65.0,3663,2022,"{'own_pct': -11.0, 'nb_pct': 18.6, 'n': 5, 'dir': 'fell'}",,,138.1,8,,22.61,1.11,1.15,12,14.0,72.8,71.4,0.65,0.209,0.058,0.307,292,0.9,67,0.2083,0.0,0.0,26.8,0.1,7406.0
13007,GA,Baker County,106.0,2026,48.3,271.0,2026,40.0,3716,2022,,10.8,,191.1,18,1.266,16.56,1.12,1.19,18,18.3,72.8,71.6,0.39,0.567,,0.04,185,0.5,74,0.2428,0.0,0.0,26.5,0.1,6479.0
13009,GA,Baldwin County,,,,,,,2901,2022,,6.0,,,,,,,,,20.3,71.3,70.4,0.54,,0.0,0.028,0,,,0.1502,0.0,0.0,23.3,0.3,2060.0
13011,GA,Banks County,27.5,2026,25.0,,,29.5,6926,2022,,5.2,,,,,,,,,19.7,70.0,68.8,0.44,,0.232,0.083,33,,0,0.1675,0.0,0.0,25.7,0.3,14264.0
13013,GA,Barrow County,31.0,2026,,,,23.5,10026,2022,,8.9,,,,,,,,,21.0,70.1,68.8,0.53,,0.0,0.044,0,,,0.2241,2.0,0.0,25.5,0.4,6910.0
13015,GA,Bartow County,46.0,2026,7.0,102.0,2010,36.0,7089,2022,,3.3,,159.7,12,3.793,5.83,0.68,0.48,,16.4,68.9,68.4,0.33,0.146,,0.223,967,4.5,0,0.2181,2.6,0.0,24.1,1.1,18065.0
13017,GA,Ben Hill County,95.0,2026,21.0,273.0,2026,38.5,3024,2022,,4.1,,172.6,8,,17.35,1.82,1.48,8,15.0,72.6,71.4,0.5,,0.029,0.029,1039,7.4,168,0.1214,0.0,0.0,24.8,0.4,1597.0
13019,GA,Berrien County,103.0,2026,36.4,269.0,2026,54.5,4188,2022,,6.0,,158.7,13,0.973,19.34,1.55,1.29,19,13.5,71.9,70.7,0.48,0.376,0.062,0.046,689,1.2,33,0.2658,0.0,0.0,26.7,0.4,9419.0
