fips,state,county,rent_dry_usd_ac,rent_dry_year,rent_dry_chg10_pct,rent_irr_usd_ac,rent_irr_year,rent_pasture_usd_ac,value_usd_ac,value_year,value_flag,value_cagr_pct,rent_to_value_pct,corn_yield_median_bu_ac,corn_yield_years,corn_yield_trend_bu_yr,claims_per_100_usd,loss_ratio_last10,loss_ratio_all,years_loss_over_1,d2_week_share_pct,jul_low_recent_f,jul_low_normal_f,jul_low_trend_f_decade,irrigated_share_2022,tile_share_2022,notill_share_2022,crp_acres,crp_share_pct,crp_expiring_next3_acres,rented_share_2022,solar_mw,wind_mw,gs_rain_normal_in,hail_1in_days_yr,cattle_2022
19001,IA,Adair County,237.0,2026,21.5,,,81.0,7226,2022,,6.7,2.88,169.2,16,2.368,2.95,0.47,0.75,6,9.5,63.4,63.3,0.0,0.0,0.564,0.618,22353,8.7,9408,0.3955,25.0,1109.4,26.3,1.8,33911.0
19003,IA,Adams County,232.0,2026,12.1,,,80.0,6476,2022,,5.4,3.55,168.8,12,2.944,2.08,0.31,0.52,3,9.1,64.0,63.8,0.04,,0.652,0.54,18706,10.8,8701,0.4579,0.0,193.0,26.1,1.3,41682.0
19005,IA,Allamakee County,252.0,2026,11.5,,,46.5,7375,2022,,6.7,3.23,185.6,18,2.662,2.22,0.45,0.65,5,5.7,62.6,61.8,0.3,0.0,0.075,0.333,20344,11.5,7098,0.3188,0.0,0.0,27.6,0.3,72317.0
19007,IA,Appanoose County,173.0,2026,9.5,,,65.5,4927,2022,,3.9,,153.0,15,4.567,5.03,0.42,1.09,5,11.7,65.1,64.8,-0.12,0.0,0.085,0.334,20402,16.4,6398,0.2735,0.0,7.9,26.7,1.1,29898.0
19009,IA,Audubon County,302.0,2026,16.6,,,89.0,9544,2022,,6.8,2.95,190.1,18,3.203,2.05,0.36,0.61,7,11.4,62.6,62.4,-0.08,,0.413,0.744,24794,10.8,10206,0.524,0.0,303.5,26.2,1.1,28496.0
19011,IA,Benton County,303.0,2026,29.5,,,75.0,10970,2022,,8.2,2.46,187.5,17,3.334,4.23,0.89,0.83,8,6.6,62.7,62.4,0.16,0.0,0.708,0.35,13264,4.0,4117,0.5963,0.0,0.0,26.1,2.0,25480.0
19013,IA,Black Hawk County,257.0,2026,1.2,,,74.0,9980,2022,,2.7,2.91,192.9,17,2.791,3.58,0.6,0.82,7,7.9,62.9,62.0,0.26,0.004,0.67,0.326,15530,5.7,7979,0.5482,4.5,0.0,26.5,1.4,15968.0
19015,IA,Boone County,263.0,2026,11.0,,,48.0,10746,2022,,6.2,2.36,192.4,18,3.06,2.2,0.4,0.62,5,10.3,64.0,63.3,0.15,0.002,0.725,0.082,12416,4.1,5211,0.5855,1.0,343.0,26.3,1.5,12052.0
19017,IA,Bremer County,291.0,2026,11.1,,,69.5,9905,2022,,4.4,2.9,200.0,18,2.697,2.72,0.45,0.75,7,8.0,62.5,61.5,0.28,,0.789,0.165,14410,6.5,5558,0.5111,3.6,37.7,27.2,1.1,16877.0
19019,IA,Buchanan County,293.0,2026,20.1,,,79.0,9819,2022,,4.5,2.58,191.1,18,3.181,2.17,0.41,0.65,6,6.2,62.1,61.6,0.25,0.009,0.721,0.197,11483,3.5,4680,0.5063,0.0,0.0,26.6,1.1,23412.0
19021,IA,Buena Vista County,260.0,2026,6.1,,,55.5,11332,2022,,7.1,2.44,190.7,17,2.142,1.82,0.38,0.61,5,15.7,63.3,62.1,0.41,0.0,0.619,0.188,9615,3.2,3859,0.535,0.0,369.6,23.0,1.1,20289.0
19023,IA,Butler County,301.0,2026,32.0,,,56.0,8547,2022,,3.6,3.21,193.1,18,2.528,3.8,0.62,0.85,7,8.0,62.8,62.0,0.23,0.005,0.578,0.215,26839,9.1,10509,0.5255,0.0,0.0,26.6,1.2,16947.0
19025,IA,Calhoun County,267.0,2026,6.4,,,53.5,10686,2022,,6.1,2.55,194.0,18,3.186,1.62,0.27,0.67,5,14.8,63.5,62.6,0.26,0.007,0.655,0.119,15240,5.3,6646,0.542,0.0,0.0,24.5,1.6,17467.0
19027,IA,Carroll County,305.0,2026,25.0,,,63.0,10742,2022,,6.0,2.56,195.7,17,3.016,2.67,0.42,0.89,7,13.6,63.3,62.5,0.11,0.006,0.586,0.382,10810,3.5,4753,0.4648,0.0,284.8,25.0,0.9,65394.0
19029,IA,Cass County,259.0,2026,19.9,,,87.5,8221,2022,,6.9,2.64,179.2,17,2.452,1.65,0.28,0.56,3,11.1,63.4,63.3,-0.06,,0.431,0.717,13761,5.5,5241,0.4701,0.0,489.3,26.4,1.3,46101.0
19031,IA,Cedar County,297.0,2026,14.7,,,72.0,10621,2022,,6.2,2.55,192.6,18,2.63,1.64,0.33,0.55,7,8.7,64.1,63.4,0.04,,0.648,0.382,10050,3.0,1762,0.6157,0.0,0.0,25.9,1.3,17876.0
19033,IA,Cerro Gordo County,260.0,2026,8.3,284.0,2025,52.5,9033,2022,,4.2,2.57,184.4,17,2.866,2.41,0.36,0.74,8,10.1,62.0,61.3,0.13,0.003,0.645,0.088,15311,4.9,3544,0.592,2.6,91.5,26.3,2.1,10420.0
19035,IA,Cherokee County,301.0,2026,21.9,,,59.5,11186,2022,,7.2,2.49,201.9,17,1.755,2.04,0.41,0.5,4,13.0,63.0,62.1,0.22,0.0,0.516,0.288,10403,3.7,5180,0.5376,0.0,211.7,22.9,1.8,55504.0
19037,IA,Chickasaw County,284.0,2026,7.6,,,69.0,9461,2022,,4.9,2.72,193.7,18,3.262,2.66,0.39,0.78,7,6.5,61.6,60.5,0.26,0.011,0.759,0.221,17475,7.1,6571,0.514,0.0,202.4,27.8,0.6,33446.0
19039,IA,Clarke County,167.0,2026,-21.2,,,67.5,5329,2022,,4.5,3.27,145.7,12,5.401,6.96,0.59,1.0,7,11.1,65.5,64.3,0.09,,0.087,0.328,27983,30.0,9568,0.236,0.0,0.0,26.6,1.9,25296.0
19041,IA,Clay County,248.0,2026,11.2,,,63.0,10321,2022,,5.3,2.6,184.8,18,1.218,3.55,0.61,0.67,6,13.0,62.6,61.7,0.36,0.002,0.622,0.229,26332,9.3,11887,0.5701,0.0,299.3,23.1,1.7,20694.0
19043,IA,Clayton County,266.0,2026,9.0,,,65.0,7648,2022,,6.6,3.32,194.2,18,2.925,1.63,0.33,0.58,5,5.7,62.6,61.7,0.22,0.0,0.334,0.386,42637,14.3,13291,0.3156,1.3,0.0,27.2,1.1,69297.0
19045,IA,Clinton County,304.0,2026,26.1,,,67.0,9600,2022,,4.9,2.86,196.6,18,2.911,1.71,0.31,0.51,7,6.4,65.0,63.6,0.23,0.001,0.496,0.409,9293,3.1,1942,0.509,1.3,0.0,25.4,1.4,50056.0
19047,IA,Crawford County,281.0,2026,14.2,,,73.5,9476,2022,,6.9,2.9,199.3,18,2.542,3.24,0.47,0.65,7,13.1,63.3,62.5,0.08,,0.18,0.644,18217,4.7,13251,0.5675,0.0,100.0,24.8,1.1,48996.0
19049,IA,Dallas County,241.0,2026,5.2,,,55.5,10688,2022,,5.5,2.41,183.7,17,2.771,2.6,0.44,0.65,5,8.7,64.5,63.9,0.04,0.001,0.698,0.228,9930,4.0,4081,0.5311,1.0,0.0,25.6,2.4,27413.0
19051,IA,Davis County,182.0,2026,19.7,,,67.5,5154,2022,,5.6,2.99,152.5,17,4.549,5.02,0.54,1.11,6,12.3,65.6,64.9,0.01,0.001,0.194,0.227,16588,13.7,6834,0.2735,1.6,0.0,26.3,0.7,28544.0
19053,IA,Decatur County,167.0,2026,2.5,,,62.0,5732,2022,,8.3,2.81,159.3,15,4.632,4.68,0.4,0.88,5,6.7,65.7,64.6,0.07,0.0,0.128,0.355,28933,22.1,8840,0.2937,0.0,0.0,26.8,0.9,39170.0
19055,IA,Delaware County,298.0,2026,21.1,,,63.0,10164,2022,,5.5,2.66,197.4,18,3.743,2.05,0.37,0.7,6,5.3,62.5,61.6,0.25,0.0,0.646,0.155,17030,5.8,6011,0.3149,0.0,104.1,26.8,0.9,104253.0
19057,IA,Des Moines County,253.0,2026,8.1,251.0,2023,79.0,7802,2022,,2.5,2.82,190.2,17,3.962,1.48,0.26,0.48,4,7.4,65.8,65.1,0.03,0.027,0.414,0.224,7600,6.3,2241,0.4349,0.0,0.0,25.3,1.3,5113.0
19059,IA,Dickinson County,247.0,2026,12.3,,,52.0,10588,2022,,7.3,2.13,179.3,18,1.46,4.11,0.72,0.72,5,11.4,62.3,61.5,0.45,0.009,0.723,0.127,8205,5.5,3685,0.5791,0.0,154.0,23.0,1.3,23291.0
19061,IA,Dubuque County,303.0,2026,16.1,,,70.0,10692,2022,,4.4,2.56,198.3,18,3.305,2.47,0.46,0.78,5,4.4,63.1,62.3,0.17,0.0,0.353,0.286,9320,3.8,1796,0.3664,3.8,0.0,26.7,1.5,122012.0
19063,IA,Emmet County,239.0,2026,6.7,,,62.0,9410,2022,,5.6,2.39,183.1,15,2.366,3.84,0.71,0.81,6,9.7,62.1,61.3,0.31,0.002,0.709,0.072,8013,4.0,1920,0.5286,0.0,1.7,23.5,0.9,9382.0
19065,IA,Fayette County,270.0,2026,13.0,203.0,2010,72.5,9138,2022,,5.0,2.77,191.8,17,2.961,2.2,0.39,0.68,7,6.9,61.7,60.9,0.23,0.004,0.655,0.256,29401,8.3,9292,0.4468,0.0,0.0,27.4,1.3,56930.0
19067,IA,Floyd County,293.0,2026,40.9,282.0,2025,53.0,9857,2022,,6.0,2.36,189.6,18,2.914,3.08,0.48,0.79,6,8.5,62.4,61.5,0.25,0.012,0.7,0.169,24968,8.9,6858,0.5617,0.0,80.0,27.2,1.6,19139.0
19069,IA,Franklin County,271.0,2026,9.7,,,62.0,10718,2022,,6.5,2.43,199.6,18,2.892,2.43,0.41,0.72,6,9.1,62.4,61.6,0.18,,0.649,0.175,13246,4.2,3995,0.6234,7.0,500.0,26.6,1.4,10572.0
19071,IA,Fremont County,215.0,2026,-1.8,221.0,2022,61.0,7991,2022,,5.9,2.97,191.5,17,3.757,2.91,0.37,0.63,7,10.0,65.8,65.7,0.04,0.047,0.094,0.545,7554,3.3,2788,0.6365,0.0,0.0,24.7,1.7,11578.0
19073,IA,Greene County,268.0,2026,18.1,,,60.0,10751,2022,,5.3,2.36,193.2,18,3.343,2.07,0.37,0.77,5,11.1,63.7,63.0,0.08,,0.704,0.239,13467,4.7,5307,0.5772,0.0,72.7,25.7,1.4,25724.0
19075,IA,Grundy County,322.0,2026,16.2,,,72.5,12121,2022,,5.9,2.51,198.5,17,2.563,1.9,0.4,0.55,5,8.0,63.0,62.1,0.25,,0.752,0.303,6575,2.1,1839,0.6456,0.0,231.6,26.4,1.0,9419.0
19077,IA,Guthrie County,248.0,2026,13.8,,,61.5,8494,2022,,6.2,2.61,176.1,15,3.537,2.8,0.42,0.71,6,9.0,63.4,63.0,0.04,0.005,0.382,0.554,29124,13.0,11141,0.4409,0.0,207.1,26.1,1.6,32814.0
