fips,state,county,rent_dry_usd_ac,rent_dry_year,rent_dry_chg10_pct,rent_irr_usd_ac,rent_irr_year,rent_pasture_usd_ac,value_usd_ac,value_year,value_flag,value_cagr_pct,rent_to_value_pct,corn_yield_median_bu_ac,corn_yield_years,corn_yield_trend_bu_yr,claims_per_100_usd,loss_ratio_last10,loss_ratio_all,years_loss_over_1,d2_week_share_pct,jul_low_recent_f,jul_low_normal_f,jul_low_trend_f_decade,irrigated_share_2022,tile_share_2022,notill_share_2022,crp_acres,crp_share_pct,crp_expiring_next3_acres,rented_share_2022,solar_mw,wind_mw,gs_rain_normal_in,hail_1in_days_yr,cattle_2022
16001,ID,Ada County,,,,208.0,2026,12.0,13084,2022,,6.6,,212.2,8,,3.22,0.86,0.88,,16.1,61.4,58.8,1.12,0.956,0.025,0.042,0,,,0.4042,260.0,0.0,4.2,0.4,58038.0
16003,ID,Adams County,30.0,2022,66.7,70.0,2026,30.0,2752,2022,,12.2,,,,,,,,,14.2,53.5,51.3,0.96,0.779,0.019,0.03,11,,0,0.4155,0.0,0.0,9.7,0.2,15491.0
16005,ID,Bannock County,22.5,2026,,167.0,2026,12.5,2753,2022,,7.1,,,,,5.48,0.83,0.83,,23.0,55.4,53.1,0.77,0.418,0.001,0.054,39742,39.6,4568,0.1167,0.0,0.0,8.2,0.8,17136.0
16007,ID,Bear Lake County,35.0,2026,66.7,78.5,2026,16.0,2768,2022,,14.0,,,,,28.46,2.51,1.69,,26.9,49.9,48.2,0.67,0.569,,0.034,6376,9.4,1011,0.2239,0.0,0.0,9.3,0.3,18118.0
16009,ID,Benewah County,80.0,2026,15.9,,,8.4,2747,2022,,7.2,2.66,,,,13.09,1.33,1.34,6,13.9,51.6,50.2,0.93,0.001,0.017,0.067,3135,5.0,867,0.3917,0.0,0.0,10.3,0.3,1004.0
16011,ID,Bingham County,33.5,2025,76.3,286.0,2026,22.0,3789,2022,,8.3,,,,,4.78,1.05,0.74,5,21.4,54.2,52.2,0.78,0.98,,0.134,11051,3.3,1988,0.35,0.0,160.0,6.6,0.5,74940.0
16013,ID,Blaine County,32.0,2026,,120.0,2026,15.5,3556,2022,,7.0,,,,,2.51,0.4,0.55,,32.1,52.3,50.3,0.83,0.994,,0.04,394,0.7,0,0.2851,0.0,0.0,6.5,0.2,11572.0
16015,ID,Boise County,,,,,,20.5,2053,2022,,7.5,,,,,,,,,13.5,52.7,50.3,0.91,,0.0,0.004,522,,0,0.3622,0.0,0.0,8.5,0.3,3212.0
16017,ID,Bonner County,53.0,2026,45.2,,,10.5,6142,2022,,4.1,,,,,,,,,13.0,52.0,50.2,0.78,0.042,,0.081,33,,0,0.166,0.0,0.0,11.9,0.6,3797.0
16019,ID,Bonneville County,33.0,2025,-19.5,146.0,2026,16.5,4884,2022,,10.9,,,,,6.31,0.93,0.74,7,19.3,51.6,50.0,0.56,0.675,0.0,0.224,20853,10.1,3152,0.3894,0.0,366.3,9.3,1.0,74787.0
16021,ID,Boundary County,81.0,2026,14.9,202.0,2020,17.5,5691,2022,,3.5,1.23,,,,6.96,1.0,0.92,,11.9,52.2,49.8,0.93,0.057,,0.278,0,,0,0.3793,0.0,0.0,13.2,0.1,4599.0
16023,ID,Butte County,,,,178.0,2026,1.9,3430,2022,,10.8,,,,,5.78,0.83,1.03,,27.6,52.1,50.5,0.8,0.997,,0.022,0,,,0.1882,0.0,0.0,6.2,0.2,7525.0
16025,ID,Camas County,22.0,2023,57.1,,,11.0,2055,2022,,8.9,,,,,,,0.84,,20.9,52.2,49.5,0.97,0.332,0.0,0.088,1075,1.4,0,0.1775,0.0,0.0,6.6,0.1,5333.0
16027,ID,Canyon County,46.0,2019,-37.8,300.0,2026,58.0,13588,2022,,10.5,,210.6,12,1.808,5.62,1.13,0.87,5,13.5,60.8,58.5,1.07,0.949,0.017,0.033,0,,,0.4877,0.0,0.0,3.7,0.3,139467.0
16029,ID,Caribou County,43.5,2026,-1.1,140.0,2026,8.3,2587,2022,,6.9,,,,,9.69,0.99,0.9,6,23.4,51.2,49.4,0.5,0.334,0.001,0.051,21892,13.2,722,0.2184,0.0,0.0,9.8,0.6,23951.0
16031,ID,Cassia County,35.0,2024,,405.0,2026,12.0,4486,2022,,7.1,,,,,2.51,0.77,0.66,6,28.2,56.9,54.6,0.94,0.911,,0.044,23528,7.4,3594,0.3421,0.0,52.8,7.3,0.5,264897.0
