fips,state,county,rent_dry_usd_ac,rent_dry_year,rent_dry_chg10_pct,rent_irr_usd_ac,rent_irr_year,rent_pasture_usd_ac,value_usd_ac,value_year,value_flag,value_cagr_pct,rent_to_value_pct,corn_yield_median_bu_ac,corn_yield_years,corn_yield_trend_bu_yr,claims_per_100_usd,loss_ratio_last10,loss_ratio_all,years_loss_over_1,d2_week_share_pct,jul_low_recent_f,jul_low_normal_f,jul_low_trend_f_decade,irrigated_share_2022,tile_share_2022,notill_share_2022,crp_acres,crp_share_pct,crp_expiring_next3_acres,rented_share_2022,solar_mw,wind_mw,gs_rain_normal_in,hail_1in_days_yr,cattle_2022
17001,IL,Adams County,238.0,2026,36.0,,,74.0,8631,2022,,5.8,2.06,174.8,16,3.959,2.04,0.28,0.79,6,5.7,67.2,66.2,0.03,0.026,0.232,0.217,13912,4.4,2642,0.3861,9.5,0.0,25.2,2.6,31426.0
17003,IL,Alexander County,189.0,2025,47.7,200.0,2024,27.0,5148,2022,,8.5,3.42,159.4,11,2.056,12.07,0.61,0.73,5,4.1,70.1,68.8,0.47,,,0.625,1451,3.4,776,0.4857,0.0,0.0,25.0,0.5,1156.0
17005,IL,Bond County,249.0,2026,45.6,,,46.0,7761,2022,,2.5,2.54,176.4,14,4.37,4.26,0.44,0.86,7,1.1,67.2,66.6,-0.01,0.0,0.024,0.246,6004,4.5,1642,0.4536,0.0,0.0,25.0,0.4,7752.0
17007,IL,Boone County,267.0,2026,7.7,301.0,2013,,9226,2022,,3.4,2.85,192.2,17,2.923,2.42,0.38,0.59,5,6.9,62.9,61.9,0.15,0.012,0.501,0.129,808,0.7,264,0.6911,17.5,0.0,24.7,1.1,4824.0
17009,IL,Brown County,233.0,2026,25.9,,,39.5,6571,2022,,3.3,3.13,178.2,16,3.93,2.05,0.28,0.75,5,4.1,66.3,65.3,0.0,0.004,0.209,0.325,11365,13.4,3810,0.304,0.0,1.5,24.5,1.0,5288.0
17011,IL,Bureau County,301.0,2026,23.4,310.0,2026,35.5,10199,2022,,4.4,2.86,199.2,18,3.396,1.96,0.37,0.5,4,6.6,63.9,63.2,0.15,,0.579,0.234,12354,3.0,3973,0.5983,41.0,663.8,24.4,1.7,7520.0
17013,IL,Calhoun County,201.0,2026,18.9,,,28.0,5497,2022,,5.6,3.64,173.8,14,2.493,7.78,0.64,0.84,5,3.6,68.1,67.1,0.26,,0.075,0.319,9015,15.9,2253,0.3263,0.0,0.0,24.5,0.6,4785.0
17015,IL,Carroll County,290.0,2026,15.1,356.0,2025,78.5,9704,2022,,3.8,2.94,204.6,18,3.306,1.07,0.23,0.39,2,6.9,63.9,62.4,0.38,0.043,0.26,0.279,10277,4.6,3179,0.4903,1.5,0.0,25.6,0.4,22052.0
17017,IL,Cass County,306.0,2026,23.4,293.0,2023,46.5,7711,2022,,3.8,,198.7,16,3.844,1.34,0.23,0.42,1,4.8,65.8,65.0,-0.09,,0.244,0.435,12066,9.3,4130,0.5097,153.0,0.0,24.0,0.8,2826.0
17019,IL,Champaign County,316.0,2026,19.2,297.0,2019,63.0,7187,2022,"{'own_pct': -22.9, 'nb_pct': 28.2, 'n': 5, 'dir': 'fell'}",,,191.3,16,3.841,1.06,0.22,0.5,3,3.2,65.1,64.1,0.24,0.027,0.72,0.186,9182,1.8,3014,0.6819,36.7,0.1,23.9,1.8,5423.0
17021,IL,Christian County,332.0,2026,29.7,,,65.0,10960,2022,,4.9,2.81,199.2,16,3.903,0.78,0.16,0.4,1,2.9,66.0,65.4,-0.03,,0.432,0.078,7757,2.3,3389,0.6282,7.6,0.0,24.0,1.7,3809.0
17023,IL,Clark County,248.0,2026,35.5,,,51.0,7770,2022,,6.4,2.93,198.1,15,4.583,1.6,0.2,0.61,3,1.0,66.4,65.4,0.11,0.061,0.113,0.065,9113,4.4,3284,0.5242,166.3,0.0,25.1,0.9,2458.0
17025,IL,Clay County,197.0,2025,32.2,,,45.0,6235,2022,,4.0,2.55,154.2,17,3.245,5.07,0.51,0.88,5,1.8,68.0,66.6,0.39,0.001,0.019,0.299,15423,8.3,3756,0.4519,252.0,0.0,25.9,0.7,4313.0
17027,IL,Clinton County,218.0,2023,47.3,,,40.0,9036,2022,,5.5,2.17,163.0,17,3.626,4.9,0.39,0.71,3,1.4,68.0,67.2,0.17,0.005,0.015,0.251,3485,1.4,1096,0.4449,18.0,0.0,24.8,0.9,44891.0
17029,IL,Coles County,286.0,2026,8.7,,,59.0,10272,2022,,5.5,2.85,195.6,16,4.422,0.83,0.13,0.5,2,2.0,65.9,65.2,0.04,0.0,0.564,0.151,6858,3.8,1812,0.5865,202.0,0.0,24.2,1.1,2209.0
17031,IL,Cook County,136.0,2026,,,,,18054,2022,"{'own_pct': -12.5, 'nb_pct': 15.8, 'n': 6, 'dir': 'fell'}",,,,,,11.96,1.34,1.13,,3.8,65.2,64.0,0.32,,0.28,0.542,6,,,0.7405,41.7,0.0,24.0,4.4,
17033,IL,Crawford County,200.0,2026,19.8,227.0,2026,35.0,6710,2022,,5.0,2.73,172.5,17,4.339,2.94,0.35,0.74,4,1.8,67.7,66.3,0.25,0.099,0.116,0.315,11548,5.6,3758,0.607,7.3,0.0,25.5,0.5,2031.0
17035,IL,Cumberland County,211.0,2026,16.6,,,47.5,8894,2022,,7.0,2.3,171.6,15,4.956,1.76,0.26,0.75,1,1.0,66.7,65.7,0.11,0.003,0.034,0.144,14124,10.6,4675,0.504,273.6,0.0,25.0,0.5,7800.0
17039,IL,De Witt County,301.0,2026,13.6,,,65.0,11261,2022,,6.1,2.63,201.1,13,4.048,0.53,0.13,0.37,2,5.7,65.0,64.1,0.08,,0.58,0.16,4851,2.8,1978,0.6656,0.0,738.3,23.5,0.6,3265.0
17037,IL,DeKalb County,318.0,2025,14.4,,,37.0,7704,2022,"{'own_pct': -18.2, 'nb_pct': 16.3, 'n': 7, 'dir': 'fell'}",,,190.3,17,3.303,1.82,0.37,0.45,5,6.3,63.3,62.4,0.11,0.002,0.712,0.133,5097,1.5,1695,0.7161,58.2,217.5,24.3,1.1,13480.0
17041,IL,Douglas County,313.0,2026,13.0,,,88.5,11812,2022,,5.4,2.52,208.6,17,4.146,0.73,0.13,0.52,2,2.6,65.9,65.0,0.25,0.0,0.603,0.11,3292,1.6,1636,0.7066,2.0,202.0,23.7,0.7,1994.0
17043,IL,DuPage County,150.0,2024,,,,,57683,2022,"{'own_pct': 243.2, 'nb_pct': 15.8, 'n': 4, 'dir': 'rose'}",,,,,,4.72,0.77,0.76,,4.5,64.7,63.5,0.35,0.24,0.392,0.431,0,,,0.0781,2.8,0.0,24.2,1.8,16.0
17045,IL,Edgar County,275.0,2026,1.9,,,38.0,10162,2022,,6.5,2.76,191.2,16,4.254,0.71,0.12,0.49,2,2.3,65.2,64.6,0.07,0.003,0.583,0.262,5512,1.8,2061,0.6327,6.0,0.0,24.1,0.9,5842.0
17047,IL,Edwards County,156.0,2026,24.8,,,24.0,5893,2022,,1.9,2.51,163.8,14,3.708,5.61,0.47,0.69,2,2.0,68.8,67.4,0.32,,0.197,0.628,3204,3.2,476,0.5633,0.0,0.0,26.1,0.4,2755.0
