fips,state,county,rent_dry_usd_ac,rent_dry_year,rent_dry_chg10_pct,rent_irr_usd_ac,rent_irr_year,rent_pasture_usd_ac,value_usd_ac,value_year,value_flag,value_cagr_pct,rent_to_value_pct,corn_yield_median_bu_ac,corn_yield_years,corn_yield_trend_bu_yr,claims_per_100_usd,loss_ratio_last10,loss_ratio_all,years_loss_over_1,d2_week_share_pct,jul_low_recent_f,jul_low_normal_f,jul_low_trend_f_decade,irrigated_share_2022,tile_share_2022,notill_share_2022,crp_acres,crp_share_pct,crp_expiring_next3_acres,rented_share_2022,solar_mw,wind_mw,gs_rain_normal_in,hail_1in_days_yr,cattle_2022
18001,IN,Adams County,235.0,2026,23.7,,,,10771,2022,,5.4,,169.8,17,3.347,2.4,0.32,0.56,5,3.5,63.8,63.0,0.21,,0.654,0.343,1364,0.7,429,0.5334,0.0,0.0,24.1,0.6,24950.0
18003,IN,Allen County,219.0,2026,36.9,,,49.0,7803,2022,,-0.4,2.43,178.8,18,2.92,2.81,0.37,0.58,5,4.2,63.4,62.5,0.19,0.001,0.635,0.422,2784,0.9,1146,0.6028,0.0,0.0,23.5,1.3,16490.0
18005,IN,Bartholomew County,224.0,2026,21.1,258.0,2026,60.5,6180,2022,,-1.6,,180.9,16,4.296,2.63,0.26,0.65,7,3.0,65.7,64.7,0.11,0.132,0.333,0.657,2118,1.9,629,0.5684,0.0,0.0,26.2,0.7,2375.0
18007,IN,Benton County,300.0,2026,20.0,,,49.5,10011,2022,,5.3,2.65,194.6,18,3.78,0.49,0.1,0.39,3,2.1,63.6,62.6,0.11,0.018,0.563,0.375,3674,1.8,1686,0.6522,0.0,1175.2,24.5,0.4,15694.0
18009,IN,Blackford County,246.0,2026,11.8,,,58.0,8810,2022,,5.9,2.5,173.2,16,3.288,2.05,0.26,0.52,4,3.9,64.1,63.1,0.08,,0.678,0.386,1146,1.6,865,0.646,0.0,0.0,24.1,0.4,1641.0
18011,IN,Boone County,264.0,2026,14.8,,,55.0,9472,2022,,4.4,2.67,187.1,18,3.847,1.74,0.29,0.63,4,2.0,64.0,63.0,0.19,0.001,0.683,0.386,787,0.4,209,0.6438,0.0,0.0,24.6,1.6,2144.0
18013,IN,Brown County,134.0,2026,,,,,7090,2022,,10.1,,,,,4.52,0.49,0.6,,3.0,65.1,64.1,0.05,0.012,0.328,0.408,118,2.0,23,0.2388,0.0,0.0,26.3,0.8,714.0
18015,IN,Carroll County,275.0,2026,10.9,,,52.5,9332,2022,,4.4,2.68,195.8,16,3.05,0.83,0.15,0.44,3,4.0,64.0,62.9,0.18,,0.619,0.225,1536,0.9,411,0.5377,0.0,0.0,24.9,0.4,12355.0
18017,IN,Cass County,237.0,2026,5.3,,,37.5,8138,2022,,5.4,2.88,189.6,15,3.008,1.2,0.22,0.52,2,4.3,63.6,62.6,0.14,,0.619,0.218,3271,1.6,740,0.5211,216.0,0.0,24.8,0.4,12117.0
18019,IN,Clark County,150.0,2026,20.0,,,59.5,6194,2022,,2.3,2.41,161.2,17,3.575,5.74,0.51,0.64,4,2.2,67.2,66.1,0.27,,0.071,0.655,216,0.4,4,0.4463,1.1,0.0,27.1,2.1,5976.0
