fips,state,county,rent_dry_usd_ac,rent_dry_year,rent_dry_chg10_pct,rent_irr_usd_ac,rent_irr_year,rent_pasture_usd_ac,value_usd_ac,value_year,value_flag,value_cagr_pct,rent_to_value_pct,corn_yield_median_bu_ac,corn_yield_years,corn_yield_trend_bu_yr,claims_per_100_usd,loss_ratio_last10,loss_ratio_all,years_loss_over_1,d2_week_share_pct,jul_low_recent_f,jul_low_normal_f,jul_low_trend_f_decade,irrigated_share_2022,tile_share_2022,notill_share_2022,crp_acres,crp_share_pct,crp_expiring_next3_acres,rented_share_2022,solar_mw,wind_mw,gs_rain_normal_in,hail_1in_days_yr,cattle_2022
22001,LA,Acadia Parish,53.5,2026,67.2,87.5,2026,20.5,3046,2022,,2.0,,,,,4.93,0.68,0.72,6,11.7,74.8,73.7,0.48,0.7,0.034,0.108,0,,,0.7233,0.0,0.0,33.0,0.8,10726.0
22003,LA,Allen Parish,30.5,2025,79.4,76.0,2026,12.5,3103,2022,,3.9,,,,,8.75,1.55,1.17,,10.8,74.2,72.8,0.58,0.859,0.04,0.117,0,,0,0.543,142.8,0.0,30.0,0.9,7747.0
22005,LA,Ascension Parish,46.0,2010,,,,18.5,5985,2022,,10.5,,,,,7.33,1.06,0.83,,8.0,74.5,73.3,0.51,0.002,0.003,0.151,0,,,0.7028,0.0,0.0,36.0,0.8,6029.0
22007,LA,Assumption Parish,44.5,2022,,,,,3251,2022,,2.0,1.37,,,,4.98,0.86,0.7,,9.1,75.1,73.8,0.57,,,0.007,0,,,0.6833,0.0,0.0,35.8,0.4,391.0
22009,LA,Avoyelles Parish,115.0,2026,45.6,155.0,2026,30.5,3193,2022,,4.6,,159.0,18,1.96,11.25,1.18,0.98,12,8.3,73.2,72.6,0.31,0.183,0.009,0.08,11410,6.2,1651,0.6163,0.0,0.0,28.2,0.5,27646.0
22011,LA,Beauregard Parish,22.0,2026,12.8,53.5,2025,16.0,4024,2022,,5.8,,,,,8.79,0.87,0.96,,10.3,73.7,72.5,0.53,0.071,0.083,0.021,376,1.5,0,0.3675,0.0,0.0,30.2,1.2,28414.0
22013,LA,Bienville Parish,20.0,2021,-4.8,,,23.0,3628,2022,,7.3,,,,,,,,,13.5,73.4,71.5,0.76,0.012,0.008,0.062,0,,,0.2313,0.0,0.0,25.9,0.7,2452.0
22015,LA,Bossier Parish,38.0,2026,15.2,,,19.5,3746,2022,,3.7,,,,,35.95,2.09,1.65,,13.0,74.0,72.4,0.66,0.078,0.0,0.189,0,,0,0.293,0.0,0.0,24.7,2.1,18540.0
22017,LA,Caddo Parish,71.0,2026,23.5,130.0,2026,38.0,4525,2022,,8.7,,140.8,12,0.753,14.24,1.64,1.22,11,11.6,73.8,72.8,0.52,0.392,,0.149,205,0.3,129,0.5759,72.5,0.0,24.2,2.8,30477.0
22019,LA,Calcasieu Parish,20.5,2026,46.4,80.0,2026,12.0,3891,2022,,2.3,,,,,9.85,1.32,1.25,,11.9,74.9,73.7,0.49,0.414,0.014,0.042,0,,,0.5798,0.0,0.0,33.1,1.9,38788.0
22021,LA,Caldwell Parish,48.5,2026,-32.6,107.0,2023,24.0,3147,2022,,4.7,,,,,15.38,1.16,1.0,,11.9,72.5,71.7,0.3,0.427,0.043,0.071,6548,33.5,1660,0.164,0.0,0.0,26.2,0.8,4808.0
22023,LA,Cameron Parish,12.0,2024,-50.0,84.0,2026,7.6,2737,2022,,2.0,,,,,28.19,3.94,2.8,,11.1,76.4,75.2,0.46,,0.48,0.057,0,,,0.6257,0.0,0.0,34.2,0.5,15735.0
22025,LA,Catahoula Parish,88.0,2026,27.5,147.0,2025,27.5,2908,2022,,1.5,,174.1,18,3.389,11.89,0.93,0.89,9,10.1,72.9,72.2,0.26,0.338,,0.124,24300,11.9,2801,0.614,0.0,0.0,26.7,1.0,4805.0
22027,LA,Claiborne Parish,19.0,2026,40.7,,,19.0,3379,2022,,7.2,,,,,,,,,12.0,72.8,71.1,0.6,0.001,0.0,,0,,,0.1284,0.0,0.0,25.7,0.8,10721.0
22029,LA,Concordia Parish,119.0,2026,20.2,185.0,2026,19.5,3245,2022,,3.0,,169.5,17,3.99,8.82,0.93,0.8,7,8.3,73.1,72.3,0.34,0.236,0.035,0.056,35329,15.8,1691,0.5555,0.0,0.0,27.1,0.8,2113.0
22031,LA,De Soto Parish,29.5,2026,5.4,,,17.5,3577,2022,,3.8,,,,,,,2.12,,11.9,73.3,72.2,0.6,0.007,0.002,0.052,185,0.6,82,0.2433,0.0,0.0,25.1,0.9,34199.0
22033,LA,East Baton Rouge Parish,18.0,2026,56.5,,,31.0,8027,2022,,-0.5,,,,,,,,,8.2,74.0,72.7,0.57,0.045,0.019,0.01,0,,,0.2484,0.0,0.0,33.3,1.9,14160.0
22035,LA,East Carroll Parish,130.0,2026,13.0,183.0,2026,,4631,2022,,4.5,,178.5,18,2.71,6.19,0.98,0.66,5,10.2,73.2,72.2,0.28,0.703,0.0,0.096,10845,6.2,1667,0.7268,0.0,0.0,26.1,0.8,142.0
22037,LA,East Feliciana Parish,22.0,2026,57.1,,,19.0,4244,2022,,8.7,,,,,,,,,8.3,73.1,71.7,0.58,0.001,,0.222,611,2.7,0,0.2905,0.0,0.0,31.9,0.6,29173.0
22039,LA,Evangeline Parish,43.5,2026,-57.4,89.5,2026,25.5,3186,2022,,5.5,,,,,7.13,1.14,0.98,6,10.2,73.7,72.9,0.41,0.678,0.024,0.165,1436,2.1,279,0.4797,0.0,0.0,29.8,0.3,15579.0
22041,LA,Franklin Parish,78.0,2026,-9.3,160.0,2026,39.0,3219,2022,,2.6,,185.3,18,1.255,7.54,0.97,0.76,8,10.9,72.7,72.0,0.21,0.627,0.0,0.066,25200,13.8,3387,0.5277,0.0,0.0,26.3,1.5,20435.0
22043,LA,Grant Parish,77.5,2025,10.7,93.0,2021,34.5,3170,2022,,3.0,,148.2,9,,17.89,1.65,1.34,,11.7,72.3,71.9,0.35,0.131,,0.208,1089,6.9,309,0.44,0.0,0.0,27.0,1.2,5942.0
22045,LA,Iberia Parish,94.0,2026,16.0,69.0,2025,38.0,3624,2022,,4.8,2.44,,,,4.47,0.88,0.67,,9.0,75.5,74.5,0.49,0.005,0.024,,0,,,0.8234,0.0,0.0,35.3,0.4,4833.0
22047,LA,Iberville Parish,31.5,2026,-11.3,,,16.0,2562,2022,,7.4,,,,,5.83,1.0,0.83,,7.7,74.5,73.3,0.53,,,0.18,71,,0,0.4544,0.0,0.0,34.3,0.8,6377.0
22049,LA,Jackson Parish,34.5,2026,,,,18.5,4299,2022,,1.4,,,,,,,,,12.6,72.6,71.2,0.53,0.004,0.014,,0,,,0.2362,0.0,0.0,26.4,0.6,3138.0
22053,LA,Jefferson Davis Parish,18.0,2026,44.0,70.5,2026,14.0,2980,2022,,6.0,,,,,8.14,1.07,0.93,5,11.1,75.3,73.9,0.53,0.856,0.018,0.139,28,,28,0.6743,0.0,0.0,33.1,0.4,18690.0
22051,LA,Jefferson Parish,,,,,,9.7,2176,2022,,-1.4,,,,,,,,,9.2,76.1,75.2,0.39,,0.0,0.0,0,,,0.9603,0.0,0.0,37.5,1.0,111.0
22059,LA,La Salle Parish,31.5,2021,,,,16.0,4051,2022,,4.9,,,,,,,,,11.1,72.5,71.9,0.31,0.006,,,12,,0,0.2226,0.0,0.0,26.4,0.8,2975.0
22055,LA,Lafayette Parish,73.5,2026,11.4,98.5,2026,35.5,8291,2022,,8.2,,,,,7.37,1.22,0.96,,10.1,74.5,73.8,0.46,0.108,0.009,0.189,0,,,0.4952,0.0,0.0,34.3,0.8,7442.0
22057,LA,Lafourche Parish,26.0,2026,,,,22.0,2909,2022,,0.1,,,,,6.2,0.86,0.69,,10.2,76.3,75.2,0.55,,,0.029,0,,,0.5071,0.0,0.0,37.6,0.6,15445.0
22061,LA,Lincoln Parish,22.0,2026,18.9,,,23.0,3861,2022,,3.8,,,,,,,,,12.8,72.7,71.1,0.52,0.007,0.0,0.023,0,,,0.2774,0.0,0.0,26.1,0.9,14006.0
22063,LA,Livingston Parish,15.0,2010,,,,18.0,6940,2022,,5.3,,,,,,,,,7.3,73.8,72.6,0.52,0.014,0.017,0.033,0,,,0.1444,0.0,0.0,35.2,1.4,4298.0
22065,LA,Madison Parish,143.0,2026,17.2,159.0,2026,13.5,3764,2022,,6.5,,176.2,18,3.189,8.98,1.04,0.85,17,9.9,72.8,72.1,0.25,0.519,,0.086,20934,10.7,4546,0.5781,0.0,0.0,26.2,0.7,2595.0
22067,LA,Morehouse Parish,75.0,2026,-16.2,150.0,2026,37.0,3492,2022,,1.9,,178.3,18,2.137,14.49,1.47,1.32,21,13.4,72.8,71.8,0.38,,,0.103,9381,4.7,371,0.6806,98.1,0.0,25.7,1.8,8550.0
22069,LA,Natchitoches Parish,57.5,2026,8.5,134.0,2026,30.5,3223,2022,,6.7,,144.2,14,0.258,19.41,2.04,1.57,11,13.3,72.9,72.0,0.48,0.255,0.012,0.023,9318,12.2,3910,0.455,0.0,0.0,26.6,1.8,25893.0
22071,LA,Orleans Parish,,,,,,,44661,2022,"{'own_pct': 331.3, 'nb_pct': 10.2, 'n': 4, 'dir': 'rose'}",,,,,,,,,,8.8,76.0,74.9,0.4,0.263,0.0,0.0,0,,,0.2222,24.5,0.0,36.6,0.5,0.0
22073,LA,Ouachita Parish,84.5,2026,8.3,130.0,2023,42.5,4018,2022,,-1.2,,172.3,11,4.249,12.43,1.07,0.89,5,11.9,72.7,71.7,0.32,0.524,0.007,0.008,2754,6.0,673,0.4303,100.0,0.0,26.3,1.9,5027.0
22075,LA,Plaquemines Parish,,,,,,8.6,2130,2022,,8.6,,,,,,,,,10.5,77.1,76.3,0.46,0.428,0.0,0.043,0,,,0.9806,0.0,0.0,35.7,0.4,1887.0
22077,LA,Pointe Coupee Parish,84.5,2026,20.7,182.0,2024,37.5,3727,2022,,3.8,2.67,179.3,17,1.098,6.62,1.05,0.85,7,8.3,74.2,73.0,0.56,0.085,0.0,0.117,0,,,0.6448,300.0,0.0,30.7,0.6,14175.0
22079,LA,Rapides Parish,114.0,2026,43.4,143.0,2026,29.5,3817,2022,,0.4,,152.3,16,1.533,10.45,1.14,0.92,8,10.5,72.8,72.2,0.37,0.319,0.005,0.183,3328,3.4,0,0.6159,0.0,0.0,28.3,1.6,17708.0
22081,LA,Red River Parish,77.5,2026,-1.3,125.0,2025,38.5,2663,2022,,3.5,,137.9,9,,13.66,1.46,1.31,,13.0,73.7,72.1,0.7,0.212,0.0,0.155,3567,12.2,1949,0.4034,0.0,0.0,25.8,0.8,22920.0
22083,LA,Richland Parish,79.5,2026,34.7,148.0,2026,46.0,3401,2022,,3.7,,180.2,17,3.542,12.72,1.18,1.03,13,11.8,72.8,72.0,0.27,0.636,0.098,0.068,19644,13.0,1696,0.6052,200.0,0.0,26.1,1.5,15722.0
22085,LA,Sabine Parish,20.5,2026,,,,14.5,3692,2022,,-0.5,,,,,,,,,11.3,72.6,71.7,0.53,0.001,0.0,0.035,20,,0,0.3599,0.0,0.0,26.2,1.3,18378.0
22087,LA,St. Bernard Parish,,,,,,,2086,2022,,3.6,,,,,,,,,9.1,76.6,75.6,0.43,0.005,0.0,0.018,0,,,0.5658,0.0,0.0,36.4,0.1,1701.0
22089,LA,St. Charles Parish,26.5,2023,,,,17.5,4463,2022,,5.0,,,,,,,,,9.4,75.3,74.3,0.44,,,,0,,,0.7803,0.0,0.0,37.6,0.5,2398.0
22091,LA,St. Helena Parish,24.0,2026,71.4,,,25.5,4232,2022,,0.3,,,,,,,,,7.5,72.7,71.4,0.51,,,0.013,237,4.0,53,0.1892,0.0,0.0,32.6,0.2,9667.0
22093,LA,St. James Parish,62.5,2026,,,,24.0,4097,2022,,6.0,,,,,5.01,0.92,0.59,,8.9,74.8,73.6,0.53,,0.0,0.027,0,,,0.7866,20.0,0.0,36.8,0.2,915.0
22095,LA,St. John the Baptist Parish,,,,,,,5674,2022,,10.1,,,,,7.7,0.98,0.79,,8.3,74.7,73.6,0.49,,0.0,0.0,0,,,0.4413,0.0,0.0,37.0,0.1,28.0
22097,LA,St. Landry Parish,89.0,2026,45.9,90.0,2026,27.0,3540,2022,,3.9,,167.4,17,2.936,12.35,1.23,1.02,13,9.7,73.9,73.2,0.41,0.21,0.027,0.197,3160,2.1,21,0.6169,135.0,0.0,31.3,0.8,28452.0
22099,LA,St. Martin Parish,72.5,2026,-3.3,95.0,2025,30.5,3630,2022,,2.5,2.33,,,,7.87,1.24,0.92,,8.0,74.6,73.7,0.5,0.089,0.016,0.094,41,,0,0.7676,0.0,0.0,34.4,0.6,3141.0
22101,LA,St. Mary Parish,80.5,2026,66.0,,,9.8,3498,2022,,1.2,2.23,,,,4.25,0.77,0.62,,9.8,76.2,75.0,0.62,0.0,0.0,,0,,,0.9284,0.0,0.0,34.8,0.6,2632.0
22103,LA,St. Tammany Parish,14.0,2026,,,,30.5,10879,2022,,0.3,,,,,,,,,7.8,74.0,72.7,0.49,0.028,0.014,0.027,0,,,0.2919,0.0,0.0,35.4,1.5,8730.0
22105,LA,Tangipahoa Parish,37.0,2026,60.9,,,29.5,7045,2022,,6.8,,,,,31.83,1.38,1.57,,6.6,73.1,71.9,0.49,0.048,0.014,0.053,78,,0,0.2873,100.0,0.0,34.3,1.3,26389.0
22107,LA,Tensas Parish,104.0,2026,-1.0,175.0,2026,27.0,2843,2022,,0.3,,172.8,18,3.513,7.76,0.94,0.73,7,8.8,72.8,72.0,0.21,,,0.098,23194,11.6,4451,0.7208,0.0,0.0,26.4,0.7,322.0
22109,LA,Terrebonne Parish,70.0,2017,,,,14.0,4411,2022,,1.4,,,,,5.25,0.83,0.65,,9.7,76.8,75.4,0.68,0.017,0.002,0.01,0,,,0.8351,0.0,0.0,36.6,0.6,1403.0
22111,LA,Union Parish,26.5,2026,-34.6,,,24.0,3928,2022,,5.2,,,,,,,,,12.2,72.5,71.4,0.41,0.003,0.0,0.01,0,,,0.1835,0.0,0.0,26.0,1.7,21205.0
22113,LA,Vermilion Parish,87.0,2026,38.1,86.0,2026,25.0,2876,2022,,-0.0,,,,,13.78,1.73,1.54,10,10.6,75.8,74.7,0.54,0.528,0.019,0.115,0,,,0.7276,0.0,0.0,35.1,0.4,23326.0
22115,LA,Vernon Parish,20.5,2026,,,,22.5,5108,2022,,6.6,,,,,,,,,10.6,72.7,71.6,0.52,0.008,0.002,0.037,0,,0,0.2862,9.5,0.0,28.4,1.3,8163.0
22117,LA,Washington Parish,34.5,2026,46.8,,,31.5,3980,2022,,2.0,,,,,30.77,1.31,1.21,,6.3,72.9,71.5,0.55,0.035,0.013,0.087,217,0.9,0,0.1926,100.0,0.0,34.2,0.6,25934.0
22119,LA,Webster Parish,22.0,2025,209.9,,,27.5,4320,2022,,8.0,,,,,,,,,11.9,73.7,71.8,0.68,0.029,0.02,0.001,0,,,0.1423,0.0,0.0,25.4,1.6,5400.0
22121,LA,West Baton Rouge Parish,66.5,2023,6.4,,,33.5,4693,2022,,10.7,,,,,1.93,0.47,0.46,,7.8,74.4,73.0,0.58,,,,0,,0,0.733,50.0,0.0,32.7,0.4,1483.0
22123,LA,West Carroll Parish,97.5,2026,47.7,176.0,2026,41.5,3030,2022,,-1.7,,169.1,18,3.134,11.72,1.12,0.92,10,11.8,73.1,72.2,0.3,,0.009,0.118,34038,35.8,5446,0.3683,0.0,0.0,25.9,1.4,5156.0
22125,LA,West Feliciana Parish,19.5,2026,-11.4,,,21.5,3197,2022,,1.7,,,,,17.9,0.97,0.97,,8.3,73.8,72.4,0.61,0.001,0.0,0.001,131,2.7,131,0.2665,0.0,0.0,30.6,0.3,10505.0
22127,LA,Winn Parish,33.5,2023,,,,,2837,2022,,0.2,,,,,,,,,12.7,72.5,71.6,0.5,0.06,,0.056,366,17.1,0,0.0665,0.0,0.0,26.3,0.9,4349.0
