fips,state,county,rent_dry_usd_ac,rent_dry_year,rent_dry_chg10_pct,rent_irr_usd_ac,rent_irr_year,rent_pasture_usd_ac,value_usd_ac,value_year,value_flag,value_cagr_pct,rent_to_value_pct,corn_yield_median_bu_ac,corn_yield_years,corn_yield_trend_bu_yr,claims_per_100_usd,loss_ratio_last10,loss_ratio_all,years_loss_over_1,d2_week_share_pct,jul_low_recent_f,jul_low_normal_f,jul_low_trend_f_decade,irrigated_share_2022,tile_share_2022,notill_share_2022,crp_acres,crp_share_pct,crp_expiring_next3_acres,rented_share_2022,solar_mw,wind_mw,gs_rain_normal_in,hail_1in_days_yr,cattle_2022
25001,MA,Barnstable County,37.5,2026,,433.0,2026,,58917,2022,,14.0,,,,,9.47,1.68,1.65,,2.9,65.3,63.5,0.94,0.866,0.042,0.026,0,,,0.2199,54.9,9.6,21.3,0.3,55.0
25003,MA,Berkshire County,58.0,2026,96.6,114.0,2026,18.0,8606,2022,,2.4,,,,,9.05,1.35,1.13,,2.9,59.3,57.0,0.95,0.02,0.02,0.08,0,,,0.1371,80.3,51.1,25.9,1.2,6700.0
25005,MA,Bristol County,101.0,2026,,273.0,2025,72.0,21221,2022,,3.1,,,,,,,1.06,,3.0,65.2,63.2,1.03,,0.017,0.054,0,,,0.2185,148.3,5.0,23.1,0.5,4149.0
25007,MA,Dukes County,51.0,2026,,86.0,2021,,8824,2022,,-5.0,,,,,,,,,2.8,65.4,63.9,0.82,,0.0,0.01,0,,,0.1027,3.1,0.0,21.2,0.1,122.0
25009,MA,Essex County,77.5,2026,,345.0,2026,,20111,2022,,2.9,,,,,,,,,5.2,63.2,61.8,0.75,0.136,0.051,0.113,0,,,0.2691,54.8,5.6,22.8,0.8,1835.0
25011,MA,Franklin County,141.0,2026,66.9,331.0,2026,34.0,8637,2022,,6.1,,,,,20.68,1.13,1.76,,4.4,60.7,58.6,0.92,0.09,0.022,0.06,9,,0,0.1453,61.4,0.0,25.8,1.1,4788.0
25013,MA,Hampden County,130.0,2026,,265.0,2023,,13611,2022,,5.6,,,,,27.28,1.12,1.33,3,5.7,61.8,59.9,0.87,0.166,0.017,0.063,0,,,0.1488,185.2,5.0,25.6,1.4,1490.0
25015,MA,Hampshire County,129.0,2026,95.5,268.0,2026,25.0,10568,2022,,6.6,,,,,19.22,1.0,1.48,,5.4,61.3,59.2,0.87,0.069,0.025,0.084,0,,,0.1543,98.2,0.0,25.7,1.1,3919.0
25017,MA,Middlesex County,64.5,2026,,122.0,2026,,22138,2022,,6.8,,,,,9.39,0.69,0.62,,4.9,63.0,61.3,0.86,0.153,0.059,0.083,0,,,0.1708,106.2,0.0,23.3,0.8,2513.0
25019,MA,Nantucket County,,,,,,,14302,2022,,-18.2,,,,,,,,,2.3,64.7,62.8,0.79,0.802,0.0,0.0,0,,,0.1262,0.0,0.0,19.9,0.0,0.0
25021,MA,Norfolk County,73.0,2021,,451.0,2026,,20134,2022,,3.3,,,,,,,,,4.2,64.0,62.2,0.94,,0.022,0.009,0,,,0.0792,67.2,0.0,23.6,0.6,398.0
25023,MA,Plymouth County,81.5,2026,26.4,295.0,2017,,14377,2022,,8.5,,,,,1.71,0.68,0.77,,3.5,65.1,63.0,0.99,0.754,0.067,0.028,0,,,0.1049,175.7,11.0,23.1,0.6,773.0
25025,MA,Suffolk County,,,,,,,52340,2022,"{'own_pct': -77.2, 'nb_pct': 17.4, 'n': 3, 'dir': 'fell'}",,,,,,,,,,4.6,64.7,63.3,0.89,0.607,0.173,0.252,0,,,0.034,4.8,2.7,22.9,0.3,42.0
25027,MA,Worcester County,60.5,2026,132.7,320.0,2025,41.0,15447,2022,,4.7,,,,,12.15,1.11,0.87,,5.7,61.9,60.1,0.94,0.061,0.015,0.044,0,,,0.1319,463.0,9.8,24.6,2.1,6309.0
