fips,state,county,rent_dry_usd_ac,rent_dry_year,rent_dry_chg10_pct,rent_irr_usd_ac,rent_irr_year,rent_pasture_usd_ac,value_usd_ac,value_year,value_flag,value_cagr_pct,rent_to_value_pct,corn_yield_median_bu_ac,corn_yield_years,corn_yield_trend_bu_yr,claims_per_100_usd,loss_ratio_last10,loss_ratio_all,years_loss_over_1,d2_week_share_pct,jul_low_recent_f,jul_low_normal_f,jul_low_trend_f_decade,irrigated_share_2022,tile_share_2022,notill_share_2022,crp_acres,crp_share_pct,crp_expiring_next3_acres,rented_share_2022,solar_mw,wind_mw,gs_rain_normal_in,hail_1in_days_yr,cattle_2022
24001,MD,Allegany County,28.0,2026,19.1,,,9.9,6375,2022,,2.7,,121.2,10,1.081,,,1.06,,2.6,62.3,61.3,0.47,,0.046,0.097,621,5.7,3,0.137,19.8,54.9,23.3,1.1,3512.0
24003,MD,Anne Arundel County,66.0,2026,,,,21.0,12289,2022,,3.6,0.57,159.5,17,1.998,2.8,0.35,0.44,,5.6,70.7,69.2,0.85,0.01,0.003,0.501,0,,2,0.3432,23.2,0.0,25.0,1.1,862.0
24510,MD,Baltimore City,,,,,,,,,,,,,,,,,,,5.2,70.8,68.9,0.88,,,,0,,,,8.3,0.0,25.6,0.4,0.0
24005,MD,Baltimore County,156.0,2026,108.0,,,44.0,13587,2022,,-1.7,0.72,161.7,13,1.733,3.37,0.38,0.43,,3.9,68.1,66.2,0.89,0.025,0.006,0.662,399,0.9,180,0.4371,42.6,0.0,25.8,2.5,4551.0
24009,MD,Calvert County,68.0,2026,5.4,,,,11544,2022,,2.4,0.36,113.8,14,3.54,8.84,0.64,0.75,,6.1,70.5,68.7,0.92,0.002,,0.461,72,,35,0.4126,0.0,0.0,25.0,0.7,813.0
24011,MD,Caroline County,140.0,2026,27.3,234.0,2026,,9891,2022,,6.8,,157.1,17,2.301,4.05,0.44,0.65,4,5.5,68.8,67.0,0.88,0.322,0.12,0.597,1530,1.7,476,0.4691,0.8,0.0,24.3,0.2,2389.0
24013,MD,Carroll County,132.0,2024,50.0,,,59.0,10420,2022,,5.0,,155.2,18,1.753,4.96,0.44,0.51,3,3.6,65.8,64.3,0.75,,0.044,0.618,4584,5.3,1538,0.3958,16.2,0.0,24.8,1.4,17128.0
24015,MD,Cecil County,131.0,2026,39.4,,,83.5,10443,2022,,5.4,1.5,163.9,16,3.171,2.24,0.27,0.33,0,5.2,69.2,67.1,0.95,0.032,0.007,0.453,1296,2.3,276,0.4363,13.8,0.0,25.4,0.4,7230.0
24017,MD,Charles County,44.0,2026,12.8,,,35.0,7951,2022,,-3.4,0.62,112.2,11,3.552,7.35,0.54,0.72,,4.8,70.5,68.6,0.95,,,0.467,383,1.6,236,0.377,43.3,0.0,24.3,0.9,1234.0
24019,MD,Dorchester County,117.0,2026,9.3,270.0,2025,,7614,2022,,6.1,,167.4,17,2.064,4.78,0.55,0.54,2,5.7,70.2,68.6,0.89,0.396,0.014,0.595,2733,2.9,670,0.3596,129.8,0.0,24.4,0.3,128.0
24021,MD,Frederick County,123.0,2026,17.1,,,87.0,11000,2022,,2.9,0.76,146.9,18,1.756,10.37,0.64,0.68,5,2.9,66.2,64.9,0.66,0.007,0.045,0.538,2902,2.2,1009,0.4567,80.7,0.0,24.5,1.4,35336.0
24023,MD,Garrett County,44.5,2026,36.9,,,30.0,5541,2022,,4.0,,137.4,16,0.097,12.13,1.17,1.03,,2.4,60.0,58.2,0.64,0.001,0.097,0.251,561,1.5,72,0.236,188.2,190.0,26.7,0.7,12068.0
24025,MD,Harford County,171.0,2026,42.5,,,62.5,11928,2022,,1.8,1.39,165.9,17,2.254,1.47,0.19,0.29,,5.0,69.0,66.8,0.96,,0.013,0.473,594,1.5,136,0.449,58.9,0.0,25.4,1.1,7318.0
24027,MD,Howard County,72.5,2017,,,,23.5,12622,2022,,6.6,,175.7,12,4.182,1.6,0.13,0.19,,4.9,67.2,65.7,0.78,,0.014,0.585,247,1.4,114,0.3053,43.0,0.0,25.2,0.8,2222.0
24029,MD,Kent County,191.0,2026,69.0,282.0,2026,117.0,7782,2022,,3.3,,164.1,18,3.844,2.45,0.31,0.54,4,5.4,70.4,68.3,0.99,0.102,0.013,0.605,4213,3.9,1362,0.4064,11.5,0.0,24.4,0.3,8017.0
24031,MD,Montgomery County,111.0,2026,76.2,,,42.0,10739,2022,,5.5,0.78,139.1,11,3.12,3.94,0.45,0.49,,4.6,67.9,66.4,0.7,,0.013,0.654,500,1.1,211,0.5641,21.0,0.0,24.5,1.9,2844.0
24033,MD,Prince George's County,50.5,2026,,,,,9684,2022,,3.6,,91.0,9,,10.9,0.91,1.0,,4.9,69.5,67.9,0.87,0.017,,0.59,119,0.7,11,0.5567,54.4,0.0,24.9,1.1,1387.0
24035,MD,Queen Anne's County,177.0,2026,30.1,259.0,2026,133.0,8163,2022,,2.2,,162.2,15,3.95,2.33,0.31,0.46,1,5.1,69.7,67.8,0.9,,0.043,0.588,5369,4.1,1086,0.4553,166.8,0.0,24.3,0.3,3580.0
24039,MD,Somerset County,102.0,2026,15.3,,,,7951,2022,,6.8,1.28,147.2,17,3.111,3.65,0.48,0.61,,5.8,71.2,69.7,0.88,,0.093,0.558,1517,3.8,752,0.3551,122.8,0.0,24.2,0.2,334.0
24037,MD,St. Mary's County,52.5,2026,-3.7,,,,8652,2022,,-2.8,0.69,133.6,13,3.509,4.41,0.35,0.58,1,5.5,70.8,68.9,0.88,0.02,0.003,0.462,634,2.0,396,0.3261,0.0,0.0,24.8,1.1,3276.0
24041,MD,Talbot County,136.0,2026,25.9,,,54.5,9250,2022,,5.6,,148.1,16,3.147,3.84,0.45,0.59,4,5.5,70.1,68.7,0.77,,0.008,0.678,2896,3.8,887,0.4903,1.5,0.0,24.3,0.2,982.0
24043,MD,Washington County,128.0,2026,70.7,,,42.0,8668,2022,,1.5,0.99,145.1,16,1.55,9.61,0.54,0.73,4,3.2,65.2,63.8,0.68,0.006,0.002,0.502,1753,2.3,377,0.4076,62.2,0.0,22.9,1.3,36191.0
24045,MD,Wicomico County,114.0,2026,39.9,193.0,2025,69.0,7641,2022,,1.7,,135.2,16,3.724,6.54,0.53,0.7,4,6.9,69.7,68.1,0.92,0.303,0.034,0.626,2936,5.9,941,0.4332,20.6,0.0,24.5,0.4,598.0
24047,MD,Worcester County,118.0,2026,33.3,104.0,2013,,8232,2022,,9.2,1.36,151.1,18,2.243,3.15,0.41,0.45,2,5.8,70.5,68.6,0.87,0.076,0.016,0.642,3536,4.8,612,0.3857,18.4,0.0,23.9,0.3,394.0
