fips,state,county,rent_dry_usd_ac,rent_dry_year,rent_dry_chg10_pct,rent_irr_usd_ac,rent_irr_year,rent_pasture_usd_ac,value_usd_ac,value_year,value_flag,value_cagr_pct,rent_to_value_pct,corn_yield_median_bu_ac,corn_yield_years,corn_yield_trend_bu_yr,claims_per_100_usd,loss_ratio_last10,loss_ratio_all,years_loss_over_1,d2_week_share_pct,jul_low_recent_f,jul_low_normal_f,jul_low_trend_f_decade,irrigated_share_2022,tile_share_2022,notill_share_2022,crp_acres,crp_share_pct,crp_expiring_next3_acres,rented_share_2022,solar_mw,wind_mw,gs_rain_normal_in,hail_1in_days_yr,cattle_2022
23001,ME,Androscoggin County,43.5,2026,42.6,,,,5591,2022,,9.7,,,,,9.34,0.77,1.19,,4.2,59.9,58.2,0.84,,0.079,,0,,,0.1059,63.1,0.0,23.8,0.9,4861.0
23003,ME,Aroostook County,108.0,2026,46.9,,,,2403,2022,,6.7,3.56,,,,6.4,0.57,0.74,10,3.9,55.2,54.0,0.71,,0.03,0.035,1906,1.5,27,0.2125,79.7,190.0,22.4,2.3,7042.0
23005,ME,Cumberland County,66.5,2026,60.2,,,,9968,2022,,7.9,,,,,,,0.63,,5.5,60.2,58.5,0.83,0.047,0.017,0.035,0,,,0.1541,46.8,0.0,23.9,1.3,5134.0
23007,ME,Franklin County,71.5,2026,,,,,3583,2022,,7.6,,,,,,,,,5.2,55.3,53.8,0.64,0.008,0.031,0.144,60,,15,0.0914,102.7,166.2,25.2,0.9,2482.0
23009,ME,Hancock County,125.0,2022,,,,,4058,2022,,7.7,,,,,,,1.11,,4.1,58.5,57.4,0.6,0.037,0.011,0.045,0,,,0.1264,33.8,158.1,22.4,0.4,270.0
23011,ME,Kennebec County,48.5,2026,102.1,,,,4356,2022,,7.6,,,,,6.82,0.58,0.78,,4.7,59.9,58.1,0.81,0.016,0.027,0.087,0,,,0.2048,102.3,0.0,22.6,0.9,14140.0
23013,ME,Knox County,,,,,,,5875,2022,,4.5,,,,,,,,,5.7,59.9,58.2,0.78,0.026,0.031,0.019,0,,,0.1937,11.5,4.5,23.0,0.1,685.0
23015,ME,Lincoln County,45.0,2024,,,,,6410,2022,,6.7,,,,,,,,,5.5,60.5,58.6,0.86,0.036,0.017,0.041,0,,,0.1285,12.5,0.0,22.9,0.3,1260.0
23017,ME,Oxford County,24.0,2026,-11.1,,,,3166,2022,,1.7,,,,,3.1,0.29,0.57,,4.3,56.7,54.9,0.75,,0.018,,48,,0,0.0996,44.7,108.7,24.9,1.4,2334.0
23019,ME,Penobscot County,52.5,2026,52.2,,,,3836,2022,,9.2,,,,,2.03,0.39,0.42,,3.6,57.6,56.2,0.55,0.05,0.047,0.121,70,,0,0.1388,75.8,132.0,22.1,1.6,11354.0
23021,ME,Piscataquis County,43.0,2021,,,,,2593,2022,,13.0,,,,,,,,,3.6,55.5,54.2,0.54,0.007,0.002,0.119,0,,,0.1086,24.5,186.0,23.5,0.8,2601.0
23023,ME,Sagadahoc County,,,,,,,4880,2022,,3.4,,,,,,,,,5.4,60.8,59.0,0.9,0.047,0.029,0.048,0,,,0.1193,10.6,0.0,23.2,0.1,2032.0
23025,ME,Somerset County,25.5,2026,10.9,,,,2253,2022,,8.8,,,,,,,0.55,,4.1,55.7,54.5,0.55,0.044,0.014,0.117,0,,,0.2375,98.1,58.8,24.1,0.8,9627.0
23027,ME,Waldo County,27.5,2026,31.0,,,,4188,2022,,6.9,,,,,,,,,4.9,59.3,57.8,0.78,,0.005,0.068,0,,,0.1532,131.3,4.5,22.4,0.4,5109.0
23029,ME,Washington County,89.5,2014,,,,,2136,2022,,6.8,,,,,16.1,1.63,0.86,,2.9,57.5,56.2,0.59,,0.002,0.007,0,,,0.0655,11.8,208.5,22.7,0.4,241.0
23031,ME,York County,58.0,2026,110.9,,,,7643,2022,,8.3,,,,,,,1.34,,6.0,60.2,58.6,0.76,,0.045,0.096,0,,,0.0946,110.7,0.0,23.9,0.8,3103.0
