fips,state,county,rent_dry_usd_ac,rent_dry_year,rent_dry_chg10_pct,rent_irr_usd_ac,rent_irr_year,rent_pasture_usd_ac,value_usd_ac,value_year,value_flag,value_cagr_pct,rent_to_value_pct,corn_yield_median_bu_ac,corn_yield_years,corn_yield_trend_bu_yr,claims_per_100_usd,loss_ratio_last10,loss_ratio_all,years_loss_over_1,d2_week_share_pct,jul_low_recent_f,jul_low_normal_f,jul_low_trend_f_decade,irrigated_share_2022,tile_share_2022,notill_share_2022,crp_acres,crp_share_pct,crp_expiring_next3_acres,rented_share_2022,solar_mw,wind_mw,gs_rain_normal_in,hail_1in_days_yr,cattle_2022
26001,MI,Alcona County,45.0,2026,87.5,,,10.0,3069,2022,,3.5,0.98,,,,9.84,0.54,0.76,,2.7,58.0,56.4,0.72,0.001,0.104,0.067,336,2.1,,0.2501,0.0,0.0,18.8,0.5,1431.0
26003,MI,Alger County,20.0,2026,,,,,2348,2022,,2.9,0.85,,,,,,,,2.1,54.7,54.0,0.25,0.001,0.0,0.054,0,,,0.2074,0.0,0.0,19.5,0.9,1364.0
26005,MI,Allegan County,155.0,2026,19.2,292.0,2023,45.0,6684,2022,,2.2,,160.8,16,1.269,4.97,0.52,0.67,7,2.0,61.5,60.7,0.33,0.131,0.234,0.199,1031,0.7,195,0.4744,20.0,0.0,21.6,0.6,50868.0
26007,MI,Alpena County,55.0,2026,69.2,,,18.0,3837,2022,,8.6,0.86,122.0,17,3.067,5.63,0.41,0.72,,2.4,58.0,56.5,0.76,0.006,0.098,0.194,506,1.4,,0.346,0.0,0.0,18.6,0.3,7233.0
26009,MI,Antrim County,41.0,2026,-18.0,,,26.0,5870,2022,,6.9,,115.1,14,1.475,10.85,1.06,0.8,,0.9,58.1,56.6,0.73,0.202,0.031,0.046,0,,0,0.1154,0.0,0.0,19.4,0.6,3670.0
26011,MI,Arenac County,128.0,2026,50.6,,,,4500,2022,,6.0,2.13,155.7,17,0.911,4.04,0.45,0.67,3,2.1,60.8,58.5,0.94,0.008,0.684,0.059,3077,4.9,542,0.3416,0.0,0.0,19.1,0.6,10508.0
26013,MI,Baraga County,,,,,,,6098,2022,"{'own_pct': 178.6, 'nb_pct': 55.7, 'n': 3, 'dir': 'rose'}",,,,,,,,,,2.8,54.3,52.9,0.46,,,0.016,0,,,0.2836,0.0,0.0,19.7,0.5,1552.0
26015,MI,Barry County,129.0,2026,18.3,228.0,2023,30.0,6027,2022,,4.7,1.91,153.0,18,2.436,4.27,0.5,0.57,4,1.5,61.6,59.9,0.34,0.053,0.184,0.25,2381,2.4,646,0.3967,0.0,0.0,22.0,0.4,37045.0
26017,MI,Bay County,185.0,2026,40.2,325.0,2026,38.0,5313,2022,,1.0,2.84,164.4,17,1.558,3.08,0.45,0.56,6,2.7,62.3,60.1,0.77,,0.722,0.065,2994,1.8,889,0.4781,0.0,0.0,19.4,0.8,3398.0
26019,MI,Benzie County,80.5,2026,,,,,6283,2022,,9.7,,117.5,12,3.183,6.78,0.45,0.71,,1.1,59.5,57.7,0.83,0.113,0.001,0.079,19,,19,0.1954,0.0,0.0,19.0,0.1,593.0
