fips,state,county,rent_dry_usd_ac,rent_dry_year,rent_dry_chg10_pct,rent_irr_usd_ac,rent_irr_year,rent_pasture_usd_ac,value_usd_ac,value_year,value_flag,value_cagr_pct,rent_to_value_pct,corn_yield_median_bu_ac,corn_yield_years,corn_yield_trend_bu_yr,claims_per_100_usd,loss_ratio_last10,loss_ratio_all,years_loss_over_1,d2_week_share_pct,jul_low_recent_f,jul_low_normal_f,jul_low_trend_f_decade,irrigated_share_2022,tile_share_2022,notill_share_2022,crp_acres,crp_share_pct,crp_expiring_next3_acres,rented_share_2022,solar_mw,wind_mw,gs_rain_normal_in,hail_1in_days_yr,cattle_2022
27001,MN,Aitkin County,18.5,2026,-51.3,,,14.5,2854,2022,,6.2,,129.9,11,2.93,13.52,0.87,1.32,,6.8,57.3,56.4,0.49,0.092,0.045,0.019,26,,0,0.2585,0.0,0.0,21.2,1.9,7879.0
27003,MN,Anoka County,70.5,2026,16.5,125.0,2010,,9535,2022,,4.7,,137.2,16,1.341,11.23,0.74,0.98,,6.7,62.2,61.5,0.26,0.224,0.147,0.079,111,0.6,0,0.3519,10.7,0.0,23.4,1.3,886.0
27005,MN,Becker County,127.0,2026,21.0,,,26.0,3413,2022,,3.3,3.9,157.2,14,3.32,4.79,0.39,0.5,5,5.2,58.6,57.5,0.46,0.037,0.107,0.016,21581,8.2,3982,0.3794,0.0,0.0,19.3,3.3,30827.0
27007,MN,Beltrami County,54.0,2026,125.0,,,15.0,3063,2022,,9.3,1.34,,,,9.92,0.65,0.75,3,12.3,57.2,55.7,0.45,0.055,0.084,0.047,1464,1.9,115,0.248,0.0,0.0,18.1,3.3,13648.0
27009,MN,Benton County,128.0,2026,53.3,288.0,2021,27.0,5147,2022,,3.2,,154.3,18,3.073,10.19,0.7,0.94,12,5.6,60.7,59.7,0.38,0.202,0.133,0.05,2648,2.7,696,0.3058,21.0,0.0,21.6,0.9,44073.0
27011,MN,Big Stone County,184.0,2026,11.5,156.0,2019,51.0,4825,2022,,2.1,3.4,171.6,18,1.916,6.34,0.78,0.72,11,4.2,61.4,60.4,0.41,0.01,0.198,0.049,7534,3.4,1463,0.5105,0.0,0.0,18.8,1.4,4375.0
27013,MN,Blue Earth County,252.0,2026,15.1,,,60.0,7755,2022,,1.5,,187.4,18,1.892,4.14,0.73,0.66,6,8.5,62.9,61.9,0.35,0.007,0.737,0.057,7715,1.7,1435,0.617,34.0,0.0,24.5,1.3,5372.0
27015,MN,Brown County,236.0,2026,12.9,251.0,2026,38.5,8310,2022,,4.8,,185.1,18,1.581,4.56,0.73,0.65,7,8.8,62.7,61.6,0.28,0.013,0.636,0.059,13943,5.1,2627,0.4942,0.0,0.0,22.9,0.8,33601.0
27017,MN,Carlton County,19.0,2026,31.0,,,13.0,3040,2022,,7.1,,131.7,9,,,,,,6.7,55.9,54.9,0.47,,0.002,0.027,50,,4,0.1459,1.0,0.0,21.8,1.4,7167.0
27019,MN,Carver County,252.0,2026,29.2,,,47.5,8140,2022,,3.8,2.65,185.9,18,1.279,3.69,0.48,0.81,6,4.9,62.3,61.9,0.16,,0.66,0.014,3899,2.9,847,0.4666,40.4,0.0,23.6,1.2,19459.0
27021,MN,Cass County,30.0,2026,22.4,151.0,2021,22.5,3049,2022,,4.0,,,,,9.05,0.65,0.91,,11.6,58.7,57.6,0.54,,0.0,0.033,272,0.6,54,0.2779,15.2,0.0,19.8,2.8,15184.0
27023,MN,Chippewa County,212.0,2026,12.8,177.0,2017,30.5,7742,2022,,5.6,2.89,184.6,16,1.797,5.77,0.84,0.69,8,4.7,61.9,60.8,0.29,0.008,0.63,0.013,10020,3.1,2395,0.6458,20.0,44.6,20.7,0.9,16299.0
27025,MN,Chisago County,81.0,2026,17.4,,,27.5,7018,2022,,8.9,1.01,145.1,17,1.712,8.02,0.64,0.88,7,5.7,60.9,60.2,0.31,0.038,0.042,0.126,431,0.8,134,0.3619,180.3,0.0,23.0,0.8,5723.0
27027,MN,Clay County,172.0,2026,31.3,,,16.0,4738,2022,,3.7,3.19,156.5,17,2.354,4.16,0.39,0.5,6,2.7,60.0,59.0,0.35,0.006,0.1,0.052,15902,3.2,2108,0.6169,6.0,55.1,18.6,2.4,7952.0
27029,MN,Clearwater County,48.0,2026,60.0,,,19.0,2881,2022,,7.3,,110.5,8,,10.85,0.76,0.8,5,7.2,57.5,56.3,0.47,0.111,,0.006,444,0.7,177,0.2999,0.0,0.0,18.4,1.4,16505.0
27031,MN,Cook County,,,,,,,7495,2022,,4.8,,,,,,,,,10.5,52.1,51.4,0.36,0.075,,0.124,0,,,0.0649,0.0,0.0,19.6,0.4,49.0
27033,MN,Cottonwood County,231.0,2026,19.1,,,52.5,8224,2022,,5.4,2.77,181.7,18,2.159,3.62,0.66,0.6,5,8.8,62.3,61.0,0.47,0.008,0.746,0.061,11546,3.2,1905,0.5449,0.0,286.8,23.0,1.5,18565.0
27035,MN,Crow Wing County,44.5,2026,32.8,,,15.5,3187,2022,,3.5,,134.7,11,0.771,15.66,0.75,0.86,,8.0,59.3,58.2,0.47,,0.02,0.213,4,,0,0.2845,7.2,0.0,21.0,2.3,6631.0
27037,MN,Dakota County,252.0,2026,33.3,285.0,2026,62.5,8295,2022,,3.7,,189.2,18,1.363,4.3,0.57,0.72,7,6.5,63.2,62.4,0.39,0.341,0.196,0.106,1763,1.0,569,0.4217,109.5,2.5,24.2,2.8,33205.0
