fips,state,county,rent_dry_usd_ac,rent_dry_year,rent_dry_chg10_pct,rent_irr_usd_ac,rent_irr_year,rent_pasture_usd_ac,value_usd_ac,value_year,value_flag,value_cagr_pct,rent_to_value_pct,corn_yield_median_bu_ac,corn_yield_years,corn_yield_trend_bu_yr,claims_per_100_usd,loss_ratio_last10,loss_ratio_all,years_loss_over_1,d2_week_share_pct,jul_low_recent_f,jul_low_normal_f,jul_low_trend_f_decade,irrigated_share_2022,tile_share_2022,notill_share_2022,crp_acres,crp_share_pct,crp_expiring_next3_acres,rented_share_2022,solar_mw,wind_mw,gs_rain_normal_in,hail_1in_days_yr,cattle_2022
29001,MO,Adair County,121.0,2026,31.5,,,42.0,4098,2022,,8.0,,134.0,13,5.0,3.57,0.28,0.75,7,7.2,66.1,65.4,-0.09,0.009,0.035,0.385,7543,6.8,769,0.3022,250.0,0.0,27.6,1.2,32947.0
29003,MO,Andrew County,175.0,2026,15.9,,,51.0,5070,2022,,5.7,3.14,148.0,10,4.134,3.56,0.39,0.61,4,9.7,66.9,66.4,0.06,0.014,0.184,0.708,5144,4.6,1125,0.3969,0.0,0.0,26.5,0.7,11939.0
29005,MO,Atchison County,247.0,2026,28.6,256.0,2023,62.5,6221,2022,,4.9,3.26,184.1,15,3.504,2.61,0.3,0.56,8,7.8,66.1,65.9,0.05,0.079,0.213,0.658,4464,1.8,436,0.5228,0.0,800.4,25.0,1.4,5280.0
29007,MO,Audrain County,179.0,2026,35.6,193.0,2024,42.5,6387,2022,,8.5,2.52,146.0,17,3.606,4.29,0.4,0.8,9,5.5,67.3,66.5,0.17,0.06,0.04,0.381,4729,1.8,719,0.5085,330.0,0.0,26.0,1.3,29363.0
29009,MO,Barry County,45.0,2026,3.4,,,32.5,4384,2022,,5.0,,118.0,14,0.635,16.38,0.95,1.79,,6.0,68.0,67.1,0.28,,,0.23,2,,2,0.2234,0.0,0.0,27.1,3.3,94412.0
29011,MO,Barton County,83.0,2026,12.2,170.0,2024,38.5,4126,2022,,8.4,1.88,148.7,17,2.326,14.23,0.92,1.06,8,10.4,68.9,68.7,-0.02,0.082,0.007,0.379,2826,1.2,510,0.3897,0.0,149.4,28.8,1.5,61329.0
29013,MO,Bates County,155.0,2026,69.4,,,46.5,4006,2022,,5.3,3.22,153.1,11,1.66,8.32,0.55,0.78,5,7.9,68.5,68.5,-0.07,0.018,0.015,0.307,2437,1.1,755,0.4326,2.8,0.0,28.5,1.8,78509.0
29015,MO,Benton County,74.5,2026,9.6,,,32.0,4020,2022,,8.0,,141.3,10,3.63,8.95,0.63,0.85,5,7.9,67.8,67.3,0.09,0.005,0.019,0.228,83,,7,0.2892,0.0,0.0,27.4,1.8,42334.0
29017,MO,Bollinger County,68.0,2026,-0.7,,,24.5,3609,2022,,7.6,,147.1,12,2.327,11.08,0.94,0.87,6,3.5,68.7,67.4,0.39,,0.004,0.248,1153,2.2,267,0.2907,0.0,0.0,26.0,1.3,23232.0
29019,MO,Boone County,143.0,2026,1.4,179.0,2025,42.0,5608,2022,,-0.2,2.55,136.3,15,3.974,6.18,0.51,0.74,5,6.9,68.7,67.5,0.18,0.044,0.026,0.379,1575,1.4,147,0.4111,10.0,0.0,26.5,2.1,16663.0
29021,MO,Buchanan County,164.0,2026,13.9,,,43.5,5382,2022,,5.8,2.32,158.3,14,3.208,3.8,0.41,0.57,5,9.1,67.3,67.2,-0.02,0.014,0.115,0.653,2864,3.0,699,0.417,0.0,0.0,26.5,1.2,8226.0
29023,MO,Butler County,74.5,2026,-17.7,226.0,2025,14.0,5085,2022,,1.6,,160.9,10,2.995,7.6,1.06,0.87,7,6.6,70.5,69.3,0.4,0.639,0.069,0.114,442,0.2,170,0.6129,0.0,0.0,25.7,1.7,5867.0
29025,MO,Caldwell County,158.0,2026,-0.6,,,46.5,4467,2022,,7.1,4.01,143.3,16,3.602,6.62,0.48,0.8,5,9.2,67.0,66.5,0.12,,0.13,0.468,19197,14.3,5295,0.3077,0.0,0.0,27.2,0.9,23718.0
29027,MO,Callaway County,131.0,2026,14.9,202.0,2016,29.5,4653,2022,,3.3,,145.2,12,2.642,6.5,0.56,0.77,6,4.4,68.4,67.0,0.21,0.047,0.019,0.403,7489,6.3,1079,0.3065,0.0,0.0,26.3,2.2,31507.0
29029,MO,Camden County,16.0,2026,-25.6,,,14.0,2851,2022,,5.2,,,,,,,,,5.9,68.8,67.4,0.35,,0.01,0.064,5,,5,0.1641,0.0,0.0,26.5,2.3,22982.0
