fips,state,county,rent_dry_usd_ac,rent_dry_year,rent_dry_chg10_pct,rent_irr_usd_ac,rent_irr_year,rent_pasture_usd_ac,value_usd_ac,value_year,value_flag,value_cagr_pct,rent_to_value_pct,corn_yield_median_bu_ac,corn_yield_years,corn_yield_trend_bu_yr,claims_per_100_usd,loss_ratio_last10,loss_ratio_all,years_loss_over_1,d2_week_share_pct,jul_low_recent_f,jul_low_normal_f,jul_low_trend_f_decade,irrigated_share_2022,tile_share_2022,notill_share_2022,crp_acres,crp_share_pct,crp_expiring_next3_acres,rented_share_2022,solar_mw,wind_mw,gs_rain_normal_in,hail_1in_days_yr,cattle_2022
28001,MS,Adams County,62.0,2023,,,,12.0,3265,2022,,2.0,,,,,25.25,1.5,1.17,,7.0,72.9,71.7,0.45,,0.007,,1328,9.8,68,0.3101,0.0,0.0,27.5,0.4,2495.0
28003,MS,Alcorn County,59.5,2026,16.7,,,20.5,2375,2022,,2.2,,145.2,11,5.002,15.19,0.96,0.89,,6.6,70.3,69.0,0.32,,,0.17,3204,8.7,427,0.3073,0.0,0.0,28.2,0.8,7237.0
28005,MS,Amite County,21.0,2026,50.0,,,21.0,3315,2022,,0.8,,,,,,,1.25,,6.9,72.1,70.8,0.45,,,0.028,1620,14.8,130,0.1023,0.0,0.0,31.1,0.6,13336.0
28007,MS,Attala County,85.0,2026,50.4,,,22.0,2239,2022,,3.9,,,,,13.59,1.25,0.88,,6.9,72.0,70.0,0.44,0.002,0.013,0.088,7206,32.3,1399,0.0821,0.0,0.0,27.3,1.4,5115.0
28009,MS,Benton County,77.0,2026,49.5,,,23.5,2707,2022,,7.0,,144.8,15,1.707,7.36,0.81,0.68,,6.4,70.5,69.3,0.21,0.029,0.013,0.561,2560,8.8,352,0.2556,0.0,0.0,27.4,0.6,5531.0
28011,MS,Bolivar County,123.0,2026,23.6,182.0,2026,18.5,4310,2022,,7.3,,179.4,18,3.037,8.76,1.13,1.01,15,9.1,73.5,72.3,0.32,,0.01,0.082,9978,2.4,1095,0.6976,0.0,0.0,24.9,1.9,2375.0
28013,MS,Calhoun County,132.0,2026,-0.8,146.0,2026,17.0,2428,2022,,6.5,5.07,155.6,16,3.225,5.39,0.54,0.54,2,7.0,71.5,70.1,0.37,0.007,0.008,0.314,13006,13.0,2074,0.4067,0.0,0.0,27.7,0.7,9916.0
28015,MS,Carroll County,76.5,2026,-19.9,197.0,2026,21.0,2905,2022,,6.3,,173.4,18,2.724,10.38,1.19,0.97,5,7.0,72.9,70.8,0.54,0.447,0.008,0.115,6628,17.2,1111,0.3282,100.0,0.0,26.8,1.2,17887.0
28017,MS,Chickasaw County,88.5,2026,-24.4,165.0,2026,26.0,2388,2022,,3.6,4.61,125.8,14,2.542,10.88,0.74,1.01,4,6.6,71.9,70.2,0.42,,,0.13,18737,22.4,953,0.3355,3.1,0.0,27.4,0.6,23746.0
28019,MS,Choctaw County,30.5,2026,22.0,,,22.5,2144,2022,,3.1,,,,,,,,,6.4,71.4,69.7,0.41,,0.021,0.006,3607,46.3,355,0.0586,0.0,0.0,27.6,0.9,3945.0
28021,MS,Claiborne County,102.0,2026,48.9,,,16.5,2979,2022,,1.9,,156.9,12,3.014,6.06,0.68,0.64,,7.1,72.6,71.5,0.34,0.047,,,4355,32.3,206,0.1449,0.0,0.0,26.6,0.8,5029.0
28023,MS,Clarke County,23.0,2026,9.5,,,18.5,3758,2022,,10.9,,,,,,,,,5.4,72.5,70.5,0.61,,0.325,0.328,31,,0,0.1895,78.5,0.0,27.8,1.1,7747.0
28025,MS,Clay County,30.0,2026,-16.7,,,18.0,2289,2022,,4.0,,138.4,9,,11.52,0.9,0.82,,8.0,72.4,70.6,0.47,0.004,0.0,0.013,5983,14.8,1772,0.2414,0.0,0.0,26.8,0.9,16433.0
28027,MS,Coahoma County,155.0,2026,25.0,193.0,2026,8.5,3910,2022,,3.4,,180.4,15,2.291,10.98,1.2,1.03,12,8.0,73.3,72.1,0.34,0.718,0.001,0.04,10147,4.7,2429,0.6654,0.0,184.5,24.9,0.8,626.0
28029,MS,Copiah County,72.5,2026,222.2,,,31.0,3412,2022,,5.9,,,,,10.48,1.21,1.04,,6.0,72.4,70.8,0.44,0.008,0.0,0.057,2403,19.9,307,0.1417,0.0,0.0,27.9,2.2,17749.0
28031,MS,Covington County,59.5,2026,,,,31.0,4040,2022,,2.3,,,,,16.44,1.26,1.16,,5.0,71.9,70.4,0.55,0.003,,0.067,203,1.2,59,0.2415,0.0,0.0,29.1,0.8,32943.0
28033,MS,DeSoto County,110.0,2026,73.2,103.0,2010,18.5,4266,2022,,7.2,,148.5,13,2.879,9.98,1.11,0.87,5,7.0,72.5,71.6,0.23,,,0.195,2589,3.8,197,0.5236,100.0,0.0,27.0,1.9,4501.0
