fips,state,county,rent_dry_usd_ac,rent_dry_year,rent_dry_chg10_pct,rent_irr_usd_ac,rent_irr_year,rent_pasture_usd_ac,value_usd_ac,value_year,value_flag,value_cagr_pct,rent_to_value_pct,corn_yield_median_bu_ac,corn_yield_years,corn_yield_trend_bu_yr,claims_per_100_usd,loss_ratio_last10,loss_ratio_all,years_loss_over_1,d2_week_share_pct,jul_low_recent_f,jul_low_normal_f,jul_low_trend_f_decade,irrigated_share_2022,tile_share_2022,notill_share_2022,crp_acres,crp_share_pct,crp_expiring_next3_acres,rented_share_2022,solar_mw,wind_mw,gs_rain_normal_in,hail_1in_days_yr,cattle_2022
30001,MT,Beaverhead County,18.5,2026,23.3,121.0,2026,11.0,1883,2022,,7.4,,,,,4.02,0.66,0.7,,27.9,47.2,45.6,0.71,0.905,,0.015,0,,0,0.1607,80.0,0.0,11.0,0.5,114774.0
30003,MT,Big Horn County,27.5,2026,37.5,102.0,2026,6.9,649,2022,,10.6,,,,,8.71,0.79,0.89,9,24.0,56.7,55.4,0.81,0.188,0.001,0.327,4685,2.2,0,0.2718,3.0,0.0,10.4,2.7,89583.0
30005,MT,Blaine County,29.0,2026,38.1,74.0,2024,9.6,849,2022,,7.5,,,,,23.97,1.3,1.02,15,22.5,54.4,53.1,0.55,0.138,,0.41,39999,12.1,2478,0.3079,0.0,0.0,10.6,1.3,52508.0
30007,MT,Broadwater County,24.0,2024,-2.0,215.0,2026,13.5,1894,2022,,10.1,,,,,6.78,0.91,0.85,,24.9,52.4,50.8,0.69,0.409,0.0,0.37,8535,11.4,627,0.2849,0.0,0.0,10.2,0.6,16264.0
30009,MT,Carbon County,32.5,2026,109.7,116.0,2026,10.0,1923,2022,,5.3,,156.5,8,,3.37,0.42,0.88,,27.6,54.3,52.5,0.77,0.757,0.006,0.072,11437,13.7,0,0.2856,0.0,239.8,10.9,1.3,52213.0
30011,MT,Carter County,21.5,2026,13.2,,,10.5,753,2022,,7.0,,,,,30.99,1.45,1.21,7,23.8,57.4,56.0,0.46,,0.0,0.2,4339,2.9,0,0.2742,0.0,0.0,12.1,3.6,72647.0
30013,MT,Cascade County,45.5,2026,65.5,99.5,2026,14.0,1234,2022,,0.4,,,,,11.82,0.88,0.79,10,25.5,51.6,50.5,0.63,0.104,0.002,0.585,23571,8.5,8844,0.3348,3.0,9.7,12.0,2.8,69727.0
30015,MT,Chouteau County,36.5,2026,17.7,74.0,2017,10.5,1356,2022,,7.8,2.54,,,,12.06,0.78,0.82,9,25.9,53.2,52.3,0.57,0.025,0.001,0.731,88860,9.9,3175,0.4787,0.0,0.0,10.2,1.4,33127.0
30017,MT,Custer County,18.0,2023,24.1,103.0,2026,5.9,1017,2022,,13.7,,,,,10.56,1.03,0.91,,22.8,59.0,57.1,0.66,0.281,,0.121,5259,5.2,,0.3274,0.0,207.9,11.0,2.7,87693.0
30019,MT,Daniels County,33.0,2026,17.9,,,10.5,1076,2022,,11.2,2.7,,,,20.58,1.22,1.02,7,14.8,53.5,52.2,0.34,,0.0,0.462,60046,12.9,14562,0.4768,0.0,0.0,11.2,1.4,7115.0
