fips,state,county,rent_dry_usd_ac,rent_dry_year,rent_dry_chg10_pct,rent_irr_usd_ac,rent_irr_year,rent_pasture_usd_ac,value_usd_ac,value_year,value_flag,value_cagr_pct,rent_to_value_pct,corn_yield_median_bu_ac,corn_yield_years,corn_yield_trend_bu_yr,claims_per_100_usd,loss_ratio_last10,loss_ratio_all,years_loss_over_1,d2_week_share_pct,jul_low_recent_f,jul_low_normal_f,jul_low_trend_f_decade,irrigated_share_2022,tile_share_2022,notill_share_2022,crp_acres,crp_share_pct,crp_expiring_next3_acres,rented_share_2022,solar_mw,wind_mw,gs_rain_normal_in,hail_1in_days_yr,cattle_2022
37001,NC,Alamance County,52.5,2026,69.4,100.0,2022,29.0,8217,2022,,6.5,,120.8,17,2.989,20.75,1.21,1.32,,8.8,69.2,68.1,0.57,0.014,0.018,0.202,73,,0,0.241,31.2,0.0,24.8,1.1,11760.0
37003,NC,Alexander County,55.5,2026,-4.3,,,49.0,6886,2022,,4.1,,130.1,13,0.755,26.23,1.41,1.55,,12.1,67.2,66.2,0.48,0.014,,0.325,0,,0,0.2961,11.0,0.0,25.6,0.6,20979.0
37005,NC,Alleghany County,99.0,2026,1.5,,,49.0,5959,2022,,3.8,,,,,,,1.07,,8.1,61.2,59.5,0.53,0.116,0.012,0.224,0,,,0.2822,0.0,0.0,30.3,0.7,20054.0
37007,NC,Anson County,72.0,2026,7.5,,,51.0,5138,2022,,4.7,,99.8,14,2.0,12.68,1.11,1.02,5,9.7,71.0,69.8,0.58,0.017,0.007,0.563,858,3.2,54,0.1881,137.2,0.0,25.0,0.3,9072.0
37009,NC,Ashe County,91.5,2026,1.7,235.0,2023,32.5,6859,2022,,5.5,,,,,,,2.95,,8.3,59.4,58.1,0.43,,0.03,0.075,0,,,0.2424,0.0,0.0,29.6,1.3,9152.0
37011,NC,Avery County,80.0,2026,,,,,8717,2022,,6.1,0.8,,,,,,,,10.8,59.8,58.5,0.39,0.034,0.006,0.031,0,,,0.1933,0.0,0.0,30.7,0.4,783.0
37013,NC,Beaufort County,130.0,2026,49.4,,,,4329,2022,,4.8,2.7,136.1,17,2.121,12.09,0.81,0.98,12,4.6,71.7,70.9,0.51,,0.034,0.278,215,0.2,51,0.599,142.5,0.0,31.1,1.1,637.0
37015,NC,Bertie County,133.0,2026,,81.5,2010,,4072,2022,,6.1,3.24,122.8,17,3.676,6.56,0.61,0.74,9,5.9,70.8,69.3,0.78,0.072,0.04,0.21,273,0.2,21,0.5191,45.0,0.0,29.2,0.4,239.0
37017,NC,Bladen County,82.5,2026,-7.3,136.0,2026,22.0,4093,2022,,4.2,,111.9,18,2.82,26.43,1.68,1.45,17,6.1,71.4,70.5,0.48,0.155,0.161,0.188,332,0.7,0,0.1597,343.5,0.0,30.4,1.6,4358.0
37019,NC,Brunswick County,78.0,2026,14.7,,,39.5,4930,2022,,4.7,1.47,119.8,18,1.921,23.55,1.06,1.24,6,5.9,72.8,71.5,0.58,0.038,0.059,0.415,30,,0,0.3802,9.9,0.0,32.8,1.2,1676.0
