fips,state,county,rent_dry_usd_ac,rent_dry_year,rent_dry_chg10_pct,rent_irr_usd_ac,rent_irr_year,rent_pasture_usd_ac,value_usd_ac,value_year,value_flag,value_cagr_pct,rent_to_value_pct,corn_yield_median_bu_ac,corn_yield_years,corn_yield_trend_bu_yr,claims_per_100_usd,loss_ratio_last10,loss_ratio_all,years_loss_over_1,d2_week_share_pct,jul_low_recent_f,jul_low_normal_f,jul_low_trend_f_decade,irrigated_share_2022,tile_share_2022,notill_share_2022,crp_acres,crp_share_pct,crp_expiring_next3_acres,rented_share_2022,solar_mw,wind_mw,gs_rain_normal_in,hail_1in_days_yr,cattle_2022
38001,ND,Adams County,44.5,2026,23.6,,,23.0,1552,2022,,7.8,2.51,74.9,12,0.498,14.76,0.73,0.74,8,22.0,56.8,55.9,0.33,,0.001,0.689,34955,9.6,2501,0.5237,0.0,155.5,12.3,2.7,32584.0
38003,ND,Barnes County,111.0,2026,28.3,137.0,2024,34.0,2861,2022,,4.4,3.34,137.4,17,2.39,12.93,0.99,0.88,10,5.9,59.0,57.6,0.62,0.004,0.028,0.066,41609,6.7,4018,0.5804,0.0,258.9,16.6,3.5,17223.0
38005,ND,Benson County,68.5,2026,30.5,79.0,2017,22.0,1514,2022,,2.0,3.76,115.2,16,2.088,10.35,0.6,0.74,12,4.6,58.0,56.2,0.69,0.003,0.009,0.29,11020,2.4,2122,0.5273,0.0,0.0,14.9,2.4,22906.0
38007,ND,Billings County,37.0,2026,13.8,,,16.5,1167,2022,,4.9,,76.8,9,,21.55,1.15,1.07,7,18.3,56.8,55.4,0.24,0.0,0.0,0.207,1933,2.2,4,0.2506,0.0,0.0,12.3,1.3,25096.0
38009,ND,Bottineau County,63.0,2026,34.0,,,19.5,2086,2022,,6.2,2.47,104.0,15,1.67,10.26,0.6,0.88,12,13.2,57.2,55.8,0.68,0.0,0.006,0.272,16203,2.2,4304,0.5971,0.0,0.0,13.5,2.1,16109.0
38011,ND,Bowman County,43.0,2026,34.4,,,22.0,1283,2022,,4.5,,70.8,8,,20.21,1.03,0.9,8,23.4,56.8,55.5,0.33,0.001,0.014,0.454,34502,11.8,998,0.4391,0.0,219.5,12.2,2.2,38395.0
38013,ND,Burke County,37.0,2026,8.8,,,11.5,1445,2022,,6.5,2.8,,,,16.53,0.87,1.04,14,15.4,55.3,54.4,0.46,0.0,0.0,0.431,27923,9.3,7660,0.5019,0.0,199.4,13.6,1.6,16327.0
38015,ND,Burleigh County,72.0,2026,38.5,101.0,2009,28.5,1991,2022,,0.9,2.96,99.8,16,1.468,13.18,0.77,0.76,8,5.0,58.4,57.1,0.49,,,0.508,27997,7.8,221,0.5437,0.0,201.4,14.2,3.3,68229.0
38017,ND,Cass County,163.0,2026,38.1,,,35.5,4110,2022,,2.0,3.16,149.7,18,3.004,6.88,0.58,0.66,9,4.9,59.6,58.7,0.4,0.014,0.067,0.05,15484,1.9,2266,0.7064,0.0,0.0,17.2,3.8,6118.0
38019,ND,Cavalier County,84.0,2026,28.2,,,13.0,2507,2022,,3.8,,107.9,9,,12.14,0.6,0.77,18,6.6,56.8,55.3,0.62,0.004,0.012,0.15,13206,1.8,3472,0.5971,0.0,199.5,15.7,1.6,786.0
