fips,state,county,rent_dry_usd_ac,rent_dry_year,rent_dry_chg10_pct,rent_irr_usd_ac,rent_irr_year,rent_pasture_usd_ac,value_usd_ac,value_year,value_flag,value_cagr_pct,rent_to_value_pct,corn_yield_median_bu_ac,corn_yield_years,corn_yield_trend_bu_yr,claims_per_100_usd,loss_ratio_last10,loss_ratio_all,years_loss_over_1,d2_week_share_pct,jul_low_recent_f,jul_low_normal_f,jul_low_trend_f_decade,irrigated_share_2022,tile_share_2022,notill_share_2022,crp_acres,crp_share_pct,crp_expiring_next3_acres,rented_share_2022,solar_mw,wind_mw,gs_rain_normal_in,hail_1in_days_yr,cattle_2022
31001,NE,Adams County,144.0,2026,-3.4,307.0,2026,40.5,6544,2022,,4.2,,195.9,17,1.964,4.12,0.74,0.66,4,21.2,64.5,64.2,0.16,0.727,,0.48,1782,0.6,222,0.6721,1.5,1.7,20.2,3.5,62608.0
31003,NE,Antelope County,173.0,2026,31.1,320.0,2026,50.5,5999,2022,,5.5,,190.5,12,3.086,2.99,0.47,0.54,2,16.4,63.4,62.3,0.21,0.701,0.003,0.466,8698,2.3,2640,0.4956,0.0,818.2,20.5,2.0,131008.0
31005,NE,Arthur County,,,,174.0,2025,19.0,1091,2022,,6.4,,,,,13.25,1.8,1.2,,29.2,60.5,59.4,0.13,0.354,0.0,0.25,14455,34.5,,0.3179,0.0,0.0,16.1,1.9,29610.0
31007,NE,Banner County,30.5,2026,10.9,177.0,2026,12.5,1242,2022,,7.3,,,,,16.84,0.97,1.03,9,30.4,58.1,57.0,0.42,,0.0,0.243,90983,,8728,0.3225,0.0,0.0,12.9,2.3,57778.0
31009,NE,Blaine County,39.0,2023,-9.3,187.0,2025,22.0,1317,2022,,5.8,,,,,6.14,1.07,1.0,,23.1,61.5,60.6,0.13,,0.0,0.066,25,,0,0.4213,0.0,0.0,19.1,2.9,36191.0
31011,NE,Boone County,204.0,2026,17.2,295.0,2026,42.0,6452,2022,,7.7,,187.9,14,2.53,2.79,0.39,0.48,4,15.6,64.0,62.8,0.26,0.548,0.004,0.651,9602,3.1,474,0.4352,0.0,120.4,20.1,1.9,104998.0
31013,NE,Box Butte County,38.0,2026,33.3,203.0,2026,13.5,2034,2022,,8.8,,150.7,18,0.229,8.52,0.87,0.82,10,33.2,58.3,57.3,0.25,0.501,0.0,0.309,176750,40.7,6466,0.3893,8.8,0.0,13.8,4.2,54930.0
31015,NE,Boyd County,126.0,2026,13.5,207.0,2017,36.5,2664,2022,,5.6,,150.2,14,1.985,10.91,0.75,0.96,6,15.2,63.1,62.4,0.11,0.028,0.003,0.494,9284,11.7,65,0.4538,0.0,0.0,19.6,1.5,45552.0
31017,NE,Brown County,62.0,2025,148.0,186.0,2026,26.0,1674,2022,,7.4,,198.6,15,2.843,3.69,0.52,0.52,4,18.9,61.3,60.6,0.19,0.436,,0.12,14721,13.7,0,0.5208,0.0,59.4,18.9,3.1,136229.0
31019,NE,Buffalo County,138.0,2026,36.6,271.0,2026,44.0,4857,2022,,2.0,,195.4,17,1.426,3.21,0.48,0.64,6,20.7,63.4,62.8,0.12,0.732,0.0,0.327,1903,0.5,632,0.5501,5.8,0.0,19.6,4.7,103788.0
31021,NE,Burt County,252.0,2026,8.6,276.0,2026,79.0,7150,2022,,3.0,,184.2,18,1.931,3.68,0.47,0.59,5,14.8,64.7,64.1,0.1,0.198,0.043,0.609,8460,4.1,4337,0.5953,0.7,0.0,22.6,1.3,26858.0
31023,NE,Butler County,226.0,2026,18.9,324.0,2026,54.5,6462,2022,,2.6,,186.4,18,1.748,3.93,0.65,0.54,6,14.0,64.6,64.7,-0.11,0.431,0.016,0.577,6750,2.2,2529,0.5937,0.0,0.0,22.1,2.0,48777.0
31025,NE,Cass County,226.0,2026,12.4,304.0,2025,45.5,6946,2022,,4.4,3.2,176.6,17,2.838,2.54,0.39,0.52,5,9.9,66.1,65.8,0.03,0.009,0.15,0.749,2642,1.0,735,0.587,0.0,0.0,24.0,2.9,7730.0
31027,NE,Cedar County,247.0,2026,2.1,352.0,2026,76.0,6435,2022,,4.4,,183.4,18,2.68,4.09,0.53,0.69,4,15.8,63.4,62.7,0.12,0.455,0.05,0.501,11733,3.3,5451,0.5156,0.0,0.0,21.2,1.8,99336.0
31029,NE,Chase County,58.0,2026,31.8,258.0,2026,19.5,2558,2022,,4.2,,173.3,18,0.433,7.26,0.79,0.86,7,27.0,61.7,61.2,0.1,0.611,0.0,0.401,41036,14.9,1769,0.6035,0.0,0.0,14.9,3.6,145431.0
31031,NE,Cherry County,36.0,2022,75.6,176.0,2026,17.5,1224,2022,,5.6,,180.5,11,1.489,5.98,0.58,0.71,2,18.7,60.5,59.4,0.36,0.179,,0.066,47462,11.8,6,0.2518,0.0,1.9,17.1,8.9,337095.0
31033,NE,Cheyenne County,42.5,2026,23.2,190.0,2026,14.0,1455,2022,,7.4,,109.7,9,,13.56,0.92,0.92,8,29.9,58.9,58.9,0.09,0.117,,0.445,110654,29.3,1845,0.4216,3.8,0.0,14.0,5.4,52669.0
31035,NE,Clay County,157.0,2026,2.6,320.0,2026,42.0,6744,2022,,6.8,,190.9,17,1.25,2.93,0.51,0.49,3,19.0,64.9,64.6,0.16,0.792,,0.339,1594,0.5,171,0.5857,0.0,0.0,20.9,3.6,50961.0
31037,NE,Colfax County,249.0,2026,20.3,317.0,2026,60.5,8261,2022,,5.9,,186.3,18,2.436,4.34,0.69,0.78,4,13.7,64.8,64.2,0.12,0.349,0.022,0.738,2731,1.5,1226,0.578,0.0,0.0,21.6,1.3,83930.0
31039,NE,Cuming County,289.0,2026,9.9,344.0,2026,77.0,7508,2022,,4.3,,193.2,18,1.933,5.73,0.75,0.84,7,14.7,64.2,63.5,0.12,0.187,0.033,0.699,3953,1.3,2346,0.4939,0.0,2.5,22.2,1.4,346446.0
