fips,state,county,rent_dry_usd_ac,rent_dry_year,rent_dry_chg10_pct,rent_irr_usd_ac,rent_irr_year,rent_pasture_usd_ac,value_usd_ac,value_year,value_flag,value_cagr_pct,rent_to_value_pct,corn_yield_median_bu_ac,corn_yield_years,corn_yield_trend_bu_yr,claims_per_100_usd,loss_ratio_last10,loss_ratio_all,years_loss_over_1,d2_week_share_pct,jul_low_recent_f,jul_low_normal_f,jul_low_trend_f_decade,irrigated_share_2022,tile_share_2022,notill_share_2022,crp_acres,crp_share_pct,crp_expiring_next3_acres,rented_share_2022,solar_mw,wind_mw,gs_rain_normal_in,hail_1in_days_yr,cattle_2022
33001,NH,Belknap County,29.0,2024,,,,,5541,2022,,2.4,,,,,,,,,5.6,59.8,57.8,0.88,0.041,0.014,0.049,0,,0,0.0687,0.0,0.0,24.3,0.6,1749.0
33003,NH,Carroll County,28.0,2021,,,,,5885,2022,,8.4,,,,,,,,,4.2,57.4,55.4,0.83,0.038,0.016,0.078,0,,,0.06,0.0,0.0,26.2,1.4,1187.0
33005,NH,Cheshire County,71.0,2026,,,,,7375,2022,,14.2,,,,,,,,,3.3,59.5,57.5,0.9,0.019,0.01,0.055,0,,,0.105,0.0,0.0,25.0,1.9,3583.0
33007,NH,Coos County,41.0,2026,,,,,4071,2022,,9.7,,,,,,,,,2.7,54.3,52.8,0.67,0.005,0.009,0.061,0,,,0.1358,0.0,113.3,25.9,1.5,5054.0
33009,NH,Grafton County,57.5,2025,36.9,,,,4312,2022,,2.0,,,,,,,,,2.8,55.9,54.2,0.82,0.005,0.014,0.046,0,,,0.0974,0.0,48.0,25.5,2.1,5208.0
33011,NH,Hillsborough County,69.0,2025,,,,,10594,2022,,6.4,,,,,13.9,1.16,0.81,,5.6,61.0,59.0,0.92,0.103,0.015,0.049,0,,,0.1668,2.4,28.8,24.0,1.9,1670.0
33013,NH,Merrimack County,66.0,2026,,,,,7512,2022,,5.3,,,,,,,1.32,,5.9,60.2,58.0,0.95,0.04,0.027,0.082,0,,,0.119,0.0,0.0,24.1,1.3,3685.0
33015,NH,Rockingham County,122.0,2025,,,,,17929,2022,,9.7,,,,,14.6,0.99,1.07,,6.4,61.9,60.1,0.92,0.034,0.02,0.073,0,,,0.1234,0.0,0.0,23.3,1.9,1681.0
33017,NH,Strafford County,40.0,2023,,,,,10359,2022,,9.8,,,,,,,,,7.1,60.8,59.1,0.9,0.036,0.013,0.052,0,,,0.0865,2.0,0.0,24.0,0.7,1599.0
33019,NH,Sullivan County,80.0,2025,,,,,5219,2022,,1.7,,,,,,,,,5.0,58.1,56.1,0.92,0.016,0.04,0.049,0,,,0.1446,0.0,24.0,24.1,0.9,4231.0
