fips,state,county,rent_dry_usd_ac,rent_dry_year,rent_dry_chg10_pct,rent_irr_usd_ac,rent_irr_year,rent_pasture_usd_ac,value_usd_ac,value_year,value_flag,value_cagr_pct,rent_to_value_pct,corn_yield_median_bu_ac,corn_yield_years,corn_yield_trend_bu_yr,claims_per_100_usd,loss_ratio_last10,loss_ratio_all,years_loss_over_1,d2_week_share_pct,jul_low_recent_f,jul_low_normal_f,jul_low_trend_f_decade,irrigated_share_2022,tile_share_2022,notill_share_2022,crp_acres,crp_share_pct,crp_expiring_next3_acres,rented_share_2022,solar_mw,wind_mw,gs_rain_normal_in,hail_1in_days_yr,cattle_2022
34001,NJ,Atlantic County,,,,236.0,2026,,14983,2022,,3.3,,,,,11.03,2.48,1.39,,4.6,68.4,66.7,0.85,0.768,0.007,0.027,17,,2,0.1782,33.7,7.5,23.8,0.5,165.0
34003,NJ,Bergen County,,,,,,,188137,2022,,13.6,,,,,,,,,3.5,67.6,65.5,0.98,0.417,0.0,0.065,0,,,0.0169,13.1,0.0,25.6,0.9,14.0
34005,NJ,Burlington County,79.0,2026,69.9,160.0,2026,53.0,12875,2022,,5.1,,118.2,8,,8.16,0.88,0.75,,4.6,67.8,66.2,0.79,0.262,0.238,0.313,2,,2,0.2643,181.6,0.0,24.8,0.8,978.0
34007,NJ,Camden County,,,,83.5,2024,,18360,2022,,2.3,,,,,9.77,1.71,1.82,,4.5,68.7,67.1,0.85,,,0.065,0,,,0.3395,58.8,0.0,24.7,0.8,113.0
34009,NJ,Cape May County,,,,,,,19256,2022,,5.7,,,,,,,,,4.6,69.3,67.7,0.88,,0.033,0.062,0,,,0.2298,2.5,0.0,23.5,0.4,207.0
34011,NJ,Cumberland County,99.5,2026,73.0,159.0,2026,,11056,2022,,2.4,,141.5,8,,7.13,0.65,0.49,,4.9,68.8,67.2,0.96,0.437,0.013,0.259,137,0.3,64,0.3319,50.1,0.0,24.1,0.5,1127.0
34013,NJ,Essex County,,,,,,,471343,2022,"{'own_pct': 458.3, 'nb_pct': 40.1, 'n': 5, 'dir': 'rose'}",,,,,,,,,,3.3,68.1,65.6,1.11,,,,0,,,,32.1,0.0,25.9,0.3,0.0
34015,NJ,Gloucester County,108.0,2026,,112.0,2026,,14091,2022,,2.1,,134.0,9,,9.29,0.79,0.77,,4.6,69.2,67.6,0.87,0.289,0.045,0.26,62,,2,0.4182,51.3,0.0,24.8,0.5,2047.0
34017,NJ,Hudson County,,,,,,,256000,2022,"{'own_pct': 408.9, 'nb_pct': 89.1, 'n': 3, 'dir': 'rose'}",,,,,,,,,,2.7,70.3,68.2,0.96,,,,0,,,,25.2,1.5,25.0,0.1,0.0
34019,NJ,Hunterdon County,65.5,2026,27.2,,,82.5,17886,2022,,2.8,0.29,135.0,9,,10.14,0.97,0.82,,3.4,64.7,62.7,0.95,0.04,0.018,0.27,351,0.7,183,0.3528,82.3,0.0,26.8,0.4,3417.0
34021,NJ,Mercer County,54.5,2026,,297.0,2024,,26811,2022,,8.2,0.25,128.8,9,,9.12,1.01,0.7,,3.5,66.9,65.3,0.82,0.06,0.089,0.295,22,,0,0.4403,77.3,0.0,25.4,0.4,632.0
34023,NJ,Middlesex County,70.5,2026,,,,,26828,2022,,4.3,,130.0,9,,5.84,0.64,0.58,,3.6,67.8,65.6,1.04,,0.02,0.34,0,,0,0.2663,142.6,0.0,25.4,0.4,45.0
34025,NJ,Monmouth County,101.0,2026,50.7,158.0,2026,44.0,25361,2022,,3.9,,,,,8.77,0.97,0.83,,3.9,68.0,66.0,1.0,0.186,0.111,0.309,1,,,0.2637,125.8,0.0,24.9,0.9,287.0
34027,NJ,Morris County,55.0,2022,,130.0,2024,,30022,2022,,7.0,,,,,3.82,0.34,0.34,,2.5,64.5,62.1,1.05,0.252,,0.065,23,,0,0.2075,62.2,0.0,26.8,0.9,352.0
34029,NJ,Ocean County,,,,,,,23893,2022,,4.7,,,,,,,,,4.5,67.7,65.9,0.87,,0.004,0.133,0,,,0.2169,76.5,0.0,24.4,1.2,532.0
34031,NJ,Passaic County,,,,,,,43712,2022,,6.5,,,,,,,,,3.9,65.3,63.0,1.03,0.426,0.0,0.051,0,,,0.0098,3.8,0.0,25.9,0.3,16.0
34033,NJ,Salem County,89.0,2026,30.9,164.0,2026,21.0,10421,2022,,4.4,,144.8,9,,6.25,0.67,0.61,3,5.1,69.3,67.8,0.86,0.253,0.052,0.335,1233,1.6,136,0.3963,20.0,0.0,24.6,0.2,6125.0
34035,NJ,Somerset County,34.5,2026,,,,30.0,21660,2022,,1.8,0.18,,,,13.39,1.27,1.45,,3.8,66.0,63.9,1.03,0.046,0.009,0.133,123,0.9,0,0.3182,55.9,0.0,26.4,0.4,1556.0
34037,NJ,Sussex County,41.5,2025,-8.8,180.0,2022,20.0,13039,2022,,2.5,,,,,,,0.99,,3.6,62.6,60.5,0.9,0.03,0.011,0.176,19,,0,0.2597,34.0,0.0,25.8,0.6,4665.0
34039,NJ,Union County,,,,,,,105823,2022,"{'own_pct': -32.4, 'nb_pct': 40.1, 'n': 5, 'dir': 'fell'}",,,,,,,,,,3.6,68.5,66.1,1.17,0.234,0.0,0.0,0,,,0.0719,29.3,0.0,25.7,0.1,22.0
34041,NJ,Warren County,129.0,2026,68.6,160.0,2017,,13941,2022,,2.7,0.62,145.0,9,,6.53,1.02,0.65,,2.9,63.5,61.1,1.05,0.045,0.009,0.238,144,0.4,29,0.3299,80.3,0.0,26.7,0.5,3252.0
