fips,state,county,rent_dry_usd_ac,rent_dry_year,rent_dry_chg10_pct,rent_irr_usd_ac,rent_irr_year,rent_pasture_usd_ac,value_usd_ac,value_year,value_flag,value_cagr_pct,rent_to_value_pct,corn_yield_median_bu_ac,corn_yield_years,corn_yield_trend_bu_yr,claims_per_100_usd,loss_ratio_last10,loss_ratio_all,years_loss_over_1,d2_week_share_pct,jul_low_recent_f,jul_low_normal_f,jul_low_trend_f_decade,irrigated_share_2022,tile_share_2022,notill_share_2022,crp_acres,crp_share_pct,crp_expiring_next3_acres,rented_share_2022,solar_mw,wind_mw,gs_rain_normal_in,hail_1in_days_yr,cattle_2022
35001,NM,Bernalillo County,,,,110.0,2020,1.0,2788,2022,,0.2,,,,,,,,,34.6,61.5,59.9,0.8,0.94,0.001,0.023,0,,,,460.6,0.0,7.2,1.5,3672.0
35003,NM,Catron County,,,,,,1.2,620,2022,,8.1,,,,,,,,,36.3,53.3,51.9,0.9,0.643,,0.032,0,,,0.4087,0.0,100.0,9.5,0.1,35250.0
35005,NM,Chaves County,,,,175.0,2026,2.8,887,2022,,13.4,,,,,10.03,1.66,1.29,,39.4,66.6,64.4,0.9,0.847,0.002,0.05,27968,32.8,,0.3698,174.3,15.0,9.4,3.4,144617.0
35006,NM,Cibola County,,,,,,1.5,406,2022,,5.1,,,,,,,,,30.7,55.7,54.2,0.87,0.989,0.004,0.008,0,,0,0.1787,64.0,0.0,7.6,0.6,15356.0
35007,NM,Colfax County,,,,47.0,2024,5.4,977,2022,,14.1,,,,,,,,,41.0,52.7,52.3,0.36,0.847,0.0,0.142,29813,79.9,0,0.4035,40.1,0.0,12.4,4.2,39316.0
35009,NM,Curry County,27.5,2026,52.8,81.0,2026,8.8,763,2022,,1.9,,,,,32.45,1.51,1.44,21,30.4,64.8,63.3,0.74,,0.0,0.135,176470,,6783,0.2817,5.0,564.6,12.1,2.9,243083.0
35011,NM,De Baca County,,,,194.0,2026,3.7,385,2022,,0.5,,,,,,,,,28.7,65.6,64.1,0.81,0.873,0.01,0.158,90662,91.8,530,0.4132,0.0,0.0,9.7,1.6,17719.0
35013,NM,Doña Ana County,,,,296.0,2026,3.7,2316,2022,,-1.4,,,,,7.01,3.23,1.48,6,33.5,69.1,67.3,0.99,0.9,0.003,0.042,0,,,0.2589,219.3,0.0,6.7,1.1,41400.0
35015,NM,Eddy County,,,,110.0,2026,1.5,907,2022,,8.9,,,,,5.29,0.49,0.65,1,35.1,68.9,67.3,0.82,0.948,0.0,0.124,0,,,0.4348,30.1,0.0,9.3,3.9,33286.0
35017,NM,Grant County,,,,,,2.8,575,2022,,3.4,,,,,,,,,36.7,62.1,60.4,0.72,0.844,,0.042,0,,,0.2352,1.0,0.0,9.0,0.8,27976.0
35019,NM,Guadalupe County,,,,122.0,2023,3.5,379,2022,,4.0,,,,,,,,,29.3,62.1,60.9,0.62,,0.0,0.016,65783,,,0.247,0.0,235.0,10.4,1.9,20575.0
35021,NM,Harding County,,,,,,4.3,447,2022,,4.1,,,,,,,,,31.1,61.4,60.8,0.44,,,,59163,,159,0.2557,0.0,0.0,11.9,1.6,23092.0
35023,NM,Hidalgo County,,,,117.0,2020,,414,2022,,5.3,,,,,2.52,0.6,0.46,,36.2,65.9,64.8,0.58,,,0.02,6985,,,0.2741,0.0,0.0,7.5,0.1,18935.0
35025,NM,Lea County,,,,129.0,2024,1.8,979,2022,,18.9,,,,,40.09,2.13,1.83,15,28.6,67.1,65.8,0.72,0.824,0.0,0.158,7810,16.2,2400,0.5305,45.1,307.0,10.4,3.9,100315.0
35027,NM,Lincoln County,,,,,,2.8,915,2022,,12.9,,,,,,,,,33.3,61.0,58.8,0.84,,0.739,0.003,0,,,0.2088,3.0,727.0,9.7,2.1,30556.0
35028,NM,Los Alamos County,,,,,,,24134,2022,,4.7,,,,,,,,,35.7,54.9,53.6,0.57,,,,0,,,,1.0,0.0,11.0,0.3,
35029,NM,Luna County,,,,248.0,2026,3.9,796,2022,,9.1,,,,,20.46,3.71,1.85,,39.4,67.6,66.0,0.76,,,0.089,0,,,0.7004,94.0,50.4,6.4,0.3,37589.0
35031,NM,McKinley County,,,,,,1.5,605,2022,,7.2,,,,,,,,,44.7,57.1,55.8,0.76,0.718,0.03,0.005,0,,,0.0532,508.0,0.0,6.6,0.0,16343.0
35033,NM,Mora County,15.0,2022,87.5,85.0,2025,5.3,1359,2022,,19.7,,,,,,,,,41.8,53.4,52.5,0.54,0.795,0.021,0.176,22631,80.2,,0.1248,0.0,0.0,13.3,2.3,13647.0
35035,NM,Otero County,,,,,,2.0,754,2022,,11.4,,,,,8.11,2.19,1.81,,36.3,64.5,62.8,0.8,0.938,0.01,0.045,0,,,0.3819,138.0,0.0,8.9,1.7,20008.0
35037,NM,Quay County,11.0,2026,-24.1,62.0,2026,4.9,783,2022,,17.3,,,,,50.68,1.41,1.39,15,27.0,65.3,64.3,0.58,,,0.055,235180,,7335,0.2391,25.0,356.4,11.7,3.5,41764.0
35039,NM,Rio Arriba County,14.0,2025,-28.2,43.5,2024,2.1,1689,2022,,14.5,,,,,,,,,38.6,52.8,51.6,0.69,0.886,0.031,0.052,0,,0,0.1447,244.0,0.0,9.0,0.7,17943.0
35041,NM,Roosevelt County,19.0,2026,46.2,122.0,2026,4.9,1039,2022,,17.9,,,,,50.33,2.07,1.58,19,29.4,65.2,64.0,0.74,,,0.062,185820,,16391,0.2371,0.0,942.0,11.6,2.7,156761.0
