fips,state,county,rent_dry_usd_ac,rent_dry_year,rent_dry_chg10_pct,rent_irr_usd_ac,rent_irr_year,rent_pasture_usd_ac,value_usd_ac,value_year,value_flag,value_cagr_pct,rent_to_value_pct,corn_yield_median_bu_ac,corn_yield_years,corn_yield_trend_bu_yr,claims_per_100_usd,loss_ratio_last10,loss_ratio_all,years_loss_over_1,d2_week_share_pct,jul_low_recent_f,jul_low_normal_f,jul_low_trend_f_decade,irrigated_share_2022,tile_share_2022,notill_share_2022,crp_acres,crp_share_pct,crp_expiring_next3_acres,rented_share_2022,solar_mw,wind_mw,gs_rain_normal_in,hail_1in_days_yr,cattle_2022
32510,NV,Carson City,,,,,,,13675,2022,,7.4,,,,,,,,,31.0,57.2,54.8,1.03,,,,0,,,,0.0,0.0,3.2,0.1,425.0
32001,NV,Churchill County,,,,199.0,2026,10.0,2955,2022,,9.1,,,,,5.64,0.63,0.6,,42.9,58.9,57.2,0.88,1.0,0.066,0.095,0,,,0.0906,72.9,0.0,2.7,0.1,61993.0
32003,NV,Clark County,,,,237.0,2026,,3863,2022,,4.4,,,,,,,,,32.0,76.2,74.2,0.84,1.0,0.011,0.055,0,,,,4200.5,0.0,2.2,1.4,2532.0
32005,NV,Douglas County,,,,75.0,2012,,2627,2022,,5.0,,,,,,,,,32.1,55.8,53.6,1.05,0.975,,0.063,0,,,0.0853,0.0,0.0,3.7,0.1,13072.0
32007,NV,Elko County,,,,91.0,2026,8.9,647,2022,,3.3,,,,,,,,,31.6,53.3,51.4,0.8,1.0,0.002,0.022,0,,,0.1888,0.0,0.0,6.1,0.6,128070.0
32009,NV,Esmeralda County,,,,,,,3086,2022,,8.2,,,,,,,4.93,,39.9,62.2,60.8,1.01,1.0,0.0,,0,,,0.1569,0.0,0.0,2.3,0.0,1126.0
32011,NV,Eureka County,,,,76.0,2023,,577,2022,,2.9,,,,,,,,,38.8,53.8,51.8,0.89,1.0,0.0,0.034,0,,0,0.1177,200.0,0.0,5.2,0.3,19983.0
32013,NV,Humboldt County,,,,123.0,2026,,1164,2022,,5.6,,,,,15.44,1.43,1.06,5,39.5,58.4,56.0,0.86,1.0,,0.032,0,,,0.2262,101.0,0.0,4.2,0.1,59243.0
32015,NV,Lander County,,,,,,,1115,2022,,1.2,,,,,,,,,40.9,56.2,54.4,0.82,1.0,0.015,0.012,0,,,,5.8,0.0,4.6,0.1,16023.0
32017,NV,Lincoln County,,,,207.0,2025,,3230,2022,,4.6,,,,,,,,,32.7,64.6,62.9,0.88,1.0,0.0,0.024,0,,,0.2128,185.0,0.0,4.1,0.2,14031.0
32019,NV,Lyon County,,,,178.0,2023,,3107,2022,,6.3,,,,,1.56,0.73,0.47,,36.2,58.8,56.5,1.06,1.0,,0.04,0,,,0.0906,19.9,0.0,2.7,0.1,40360.0
32021,NV,Mineral County,,,,79.0,2026,,374,2022,,5.0,,,,,,,,,38.3,58.8,56.6,1.01,,,,0,,,,50.0,0.0,2.7,0.1,1820.0
32023,NV,Nye County,,,,,,,3089,2022,,12.3,,,,,,,,,37.4,61.4,59.5,0.95,1.0,,,250,2.0,,0.1452,242.0,0.0,3.3,0.1,23989.0
32027,NV,Pershing County,,,,138.0,2011,9.0,1164,2022,,7.8,,,,,19.54,1.03,1.66,8,44.2,60.2,58.0,0.92,0.992,,0.034,0,,,0.3558,0.0,0.0,3.4,0.0,23826.0
32029,NV,Storey County,,,,,,,77197,2022,,7.2,,,,,,,,,36.8,60.7,58.3,1.26,,,,0,,,,7.7,0.0,3.1,0.0,0.0
32031,NV,Washoe County,,,,183.0,2016,,1083,2022,,1.1,,,,,,,,,44.8,58.1,55.7,1.07,0.999,0.009,0.064,2718,25.3,,0.0229,395.1,0.0,4.0,0.3,12859.0
32033,NV,White Pine County,,,,95.5,2023,10.5,1791,2022,,6.2,,,,,,,,,29.8,55.0,53.3,0.72,1.0,0.0,0.038,0,,,0.2437,0.0,150.0,5.9,0.2,19159.0
