fips,state,county,rent_dry_usd_ac,rent_dry_year,rent_dry_chg10_pct,rent_irr_usd_ac,rent_irr_year,rent_pasture_usd_ac,value_usd_ac,value_year,value_flag,value_cagr_pct,rent_to_value_pct,corn_yield_median_bu_ac,corn_yield_years,corn_yield_trend_bu_yr,claims_per_100_usd,loss_ratio_last10,loss_ratio_all,years_loss_over_1,d2_week_share_pct,jul_low_recent_f,jul_low_normal_f,jul_low_trend_f_decade,irrigated_share_2022,tile_share_2022,notill_share_2022,crp_acres,crp_share_pct,crp_expiring_next3_acres,rented_share_2022,solar_mw,wind_mw,gs_rain_normal_in,hail_1in_days_yr,cattle_2022
36001,NY,Albany County,48.0,2024,174.3,,,12.0,5894,2022,,5.8,0.86,137.7,9,,,,1.91,,0.0,61.4,59.7,0.73,0.015,0.02,0.111,49,,23,0.3986,98.6,0.0,23.0,1.3,5764.0
36003,NY,Allegany County,85.0,2026,39.3,,,26.0,3316,2022,,10.5,0.97,134.3,10,-1.372,11.64,1.25,1.13,,1.5,58.0,55.6,0.57,,0.052,0.028,466,0.9,29,0.1874,59.9,0.0,22.9,0.5,16172.0
36005,NY,Bronx County,,,,,,,,2022,,,,,,,,,,,3.2,70.1,68.4,0.89,,,,0,,,,0.0,0.0,24.6,0.1,0.0
36007,NY,Broome County,65.5,2026,101.5,,,13.0,3269,2022,,1.1,1.39,153.2,14,2.388,3.97,0.41,0.47,,0.0,59.4,58.3,0.47,0.009,0.025,0.169,1086,3.6,35,0.166,72.5,111.8,24.7,1.7,10644.0
36009,NY,Cattaraugus County,83.5,2026,49.1,,,33.0,2954,2022,,5.2,2.06,146.6,13,1.555,6.38,0.73,0.75,,0.7,57.8,55.6,0.54,0.007,0.1,0.076,697,1.0,115,0.1831,47.8,0.0,24.7,0.5,35712.0
36011,NY,Cayuga County,133.0,2026,39.3,,,16.5,4355,2022,,1.9,3.4,151.0,17,1.224,5.1,0.82,0.76,2,1.5,61.1,60.0,0.47,,0.376,0.166,260,0.2,0,0.3379,47.2,0.0,22.6,1.2,82794.0
36013,NY,Chautauqua County,95.5,2026,20.9,125.0,2014,26.5,3536,2022,,6.0,2.11,155.2,15,1.543,8.15,0.76,0.9,4,0.6,60.4,58.5,0.56,0.011,0.16,0.032,156,0.1,0,0.2407,65.3,309.9,24.0,1.0,45350.0
36015,NY,Chemung County,55.0,2026,74.6,,,20.0,3542,2022,,6.2,1.06,139.5,9,,5.49,0.58,0.41,,1.5,59.6,57.9,0.65,0.021,0.033,0.062,280,1.0,151,0.1945,19.8,0.0,21.9,0.9,7472.0
36017,NY,Chenango County,63.0,2026,37.0,,,14.5,2434,2022,,3.4,1.77,128.7,14,0.937,3.7,0.55,0.7,,0.0,58.1,57.2,0.52,,0.037,0.083,370,0.6,60,0.2357,23.3,0.0,25.5,1.0,30208.0
36019,NY,Clinton County,62.5,2026,27.6,,,17.5,3464,2022,,5.5,1.46,,,,11.86,0.95,1.12,7,0.5,59.3,57.9,0.56,0.01,0.385,0.135,121,0.2,2,0.1712,31.8,494.3,22.1,0.9,47039.0
36021,NY,Columbia County,54.0,2026,4.9,71.5,2019,18.0,6536,2022,,9.3,0.73,138.6,14,0.93,11.28,0.59,1.13,4,1.3,62.5,60.6,0.92,,0.037,0.153,14,,7,0.4512,36.8,0.0,24.3,0.8,14966.0
36023,NY,Cortland County,75.5,2026,24.8,,,39.5,3103,2022,,6.0,1.95,142.8,15,1.402,3.88,0.71,0.83,,0.0,58.5,57.5,0.51,0.005,0.103,0.049,1315,2.7,187,0.2447,65.0,0.0,24.5,0.7,26055.0
36025,NY,Delaware County,49.5,2026,80.0,,,15.0,3035,2022,,1.1,,127.2,10,0.987,,,,,0.0,57.3,55.8,0.7,,0.011,0.127,1696,3.2,792,0.3138,2.3,0.0,26.4,1.0,19254.0
36027,NY,Dutchess County,54.0,2026,77.0,32.5,2021,20.0,10698,2022,,3.4,,146.5,9,,25.78,1.49,1.49,,3.5,64.1,61.7,1.1,0.031,0.048,0.09,0,,,0.2834,44.8,0.0,24.8,1.3,5552.0
36029,NY,Erie County,86.5,2026,43.0,90.5,2026,23.0,4873,2022,,1.3,1.29,137.7,16,1.399,11.24,0.87,1.01,5,2.0,61.2,59.8,0.55,0.025,0.146,0.059,39,,32,0.3221,83.7,36.5,22.1,0.8,24267.0
36031,NY,Essex County,45.0,2026,233.3,,,,3086,2022,,5.3,,,,,17.97,1.15,1.1,,0.4,56.3,54.9,0.64,0.013,0.139,0.009,384,2.6,75,0.2549,22.5,0.0,24.6,1.3,2684.0
36033,NY,Franklin County,64.0,2026,17.4,,,14.0,3299,2022,,5.8,,,,,2.38,0.53,0.48,,0.0,56.6,55.4,0.47,,0.202,0.171,275,0.4,24,0.1444,16.6,184.2,24.1,0.6,32313.0
36035,NY,Fulton County,49.5,2026,70.7,,,127.0,2916,2022,,0.9,,,,,11.41,0.77,1.27,,0.0,58.6,57.1,0.71,0.004,0.151,0.054,0,,,0.1413,61.8,0.0,26.3,0.8,1908.0
36037,NY,Genesee County,131.0,2026,79.5,,,,4099,2022,,4.1,,145.6,17,1.883,6.8,0.85,0.85,5,2.6,61.4,60.4,0.56,,0.39,0.144,293,0.2,81,0.3407,68.9,0.0,20.6,0.1,62823.0
36039,NY,Greene County,35.5,2025,44.9,,,4.5,5674,2022,,12.4,,,,,,,,,0.4,59.0,57.7,0.65,,,0.048,30,,13,0.1768,24.0,0.0,24.8,0.4,5109.0
36041,NY,Hamilton County,,,,,,,4967,2022,,8.3,,,,,,,,,0.0,54.8,53.5,0.61,0.292,0.082,0.0,0,,,,0.0,0.0,26.2,0.4,
36043,NY,Herkimer County,72.5,2026,48.0,,,40.0,3172,2022,,6.7,1.67,136.8,14,0.645,7.94,0.67,0.92,,0.0,56.8,55.7,0.66,0.001,0.057,0.111,299,0.6,246,0.2133,13.0,74.0,26.3,1.3,21431.0
36045,NY,Jefferson County,49.0,2026,12.6,,,30.5,2496,2022,,-1.4,3.12,131.6,18,0.876,12.0,0.98,0.88,3,0.4,61.0,59.6,0.68,,0.095,0.071,878,0.5,65,0.3175,65.6,0.0,21.5,0.4,48315.0
36047,NY,Kings County,,,,,,,588578,2022,,5.8,,,,,,,,,3.1,70.9,69.0,0.86,,,,0,,,,0.0,0.0,24.5,0.1,0.0
36049,NY,Lewis County,79.0,2026,27.4,,,36.0,2328,2022,,3.0,3.37,137.3,16,0.657,2.12,0.36,0.64,,0.5,57.7,56.1,0.77,0.001,0.136,0.088,23,,0,0.2763,11.7,586.8,24.2,0.3,48525.0
36051,NY,Livingston County,141.0,2026,108.9,,,74.0,4585,2022,,4.3,2.79,161.1,16,1.125,7.03,0.75,0.74,6,2.0,61.0,59.5,0.63,0.004,0.314,0.158,604,0.4,277,0.3744,217.6,0.0,20.5,0.5,55686.0
36053,NY,Madison County,68.5,2026,26.9,57.0,2021,35.0,3841,2022,,7.9,1.43,139.1,17,0.62,9.51,1.05,1.19,,0.0,58.9,57.7,0.61,,0.107,0.081,529,0.6,128,0.289,35.5,76.0,24.6,1.1,35174.0
36055,NY,Monroe County,80.5,2026,41.2,90.0,2016,56.0,4622,2022,,1.4,1.58,158.0,16,2.366,9.7,1.01,1.11,11,2.4,63.0,61.7,0.59,,0.341,0.125,55,,71,0.3753,112.2,0.0,19.1,0.6,2922.0
