fips,state,county,rent_dry_usd_ac,rent_dry_year,rent_dry_chg10_pct,rent_irr_usd_ac,rent_irr_year,rent_pasture_usd_ac,value_usd_ac,value_year,value_flag,value_cagr_pct,rent_to_value_pct,corn_yield_median_bu_ac,corn_yield_years,corn_yield_trend_bu_yr,claims_per_100_usd,loss_ratio_last10,loss_ratio_all,years_loss_over_1,d2_week_share_pct,jul_low_recent_f,jul_low_normal_f,jul_low_trend_f_decade,irrigated_share_2022,tile_share_2022,notill_share_2022,crp_acres,crp_share_pct,crp_expiring_next3_acres,rented_share_2022,solar_mw,wind_mw,gs_rain_normal_in,hail_1in_days_yr,cattle_2022
39001,OH,Adams County,136.0,2026,57.2,,,38.0,5254,2022,,6.2,,150.8,16,1.877,8.63,0.73,0.75,5,1.8,64.6,63.3,0.35,,0.02,0.407,1305,1.8,329,0.1819,0.0,0.0,25.2,0.8,23646.0
39003,OH,Allen County,226.0,2026,27.0,,,,8341,2022,,2.8,2.55,169.9,17,3.915,2.85,0.35,0.59,5,1.9,65.1,63.1,0.44,0.005,0.671,0.383,3815,2.4,641,0.5272,0.0,0.0,23.2,0.8,8576.0
39005,OH,Ashland County,129.0,2026,13.2,,,32.0,7886,2022,,5.4,1.38,149.7,13,1.689,4.63,0.59,0.6,4,0.4,62.4,60.7,0.56,,0.465,0.306,906,0.9,261,0.3979,0.0,0.0,23.0,1.3,25615.0
39007,OH,Ashtabula County,53.0,2026,-27.9,,,28.5,5435,2022,,4.4,0.95,160.1,18,2.525,5.64,0.42,0.71,5,0.4,62.2,60.4,0.58,0.003,0.292,0.093,131,0.2,2,0.2673,0.0,0.0,23.9,1.1,10743.0
39009,OH,Athens County,55.0,2026,0.0,,,14.5,4123,2022,,5.1,,151.8,18,1.426,8.47,0.8,0.77,,1.7,63.9,62.3,0.52,,0.037,0.199,796,3.5,248,0.1809,0.0,0.0,24.0,0.9,7389.0
39011,OH,Auglaize County,234.0,2026,14.7,,,,10250,2022,,4.7,2.08,171.8,18,3.985,2.9,0.4,0.58,4,1.3,64.6,63.0,0.36,,0.705,0.398,4947,2.4,1315,0.4479,17.5,0.0,23.5,0.8,29091.0
39013,OH,Belmont County,26.5,2026,-26.4,,,17.5,4446,2022,,3.0,,125.0,10,3.582,,,,,1.9,63.2,61.9,0.52,0.002,0.016,0.028,0,,,0.2064,0.0,0.0,24.0,1.1,22441.0
39015,OH,Brown County,161.0,2026,43.8,,,31.0,5850,2022,,5.8,2.5,172.9,18,2.447,6.16,0.59,0.59,3,2.1,64.1,63.1,0.29,0.003,0.052,0.562,948,0.9,389,0.294,200.0,0.0,25.5,0.7,14328.0
39017,OH,Butler County,165.0,2026,37.5,,,42.0,9017,2022,,1.8,1.72,167.5,17,2.885,4.23,0.35,0.75,3,2.2,65.5,64.4,0.25,0.012,0.314,0.392,767,1.3,136,0.2932,0.0,0.0,24.3,1.6,9237.0
39019,OH,Carroll County,64.5,2026,-1.5,,,23.5,5992,2022,,4.9,0.96,123.5,17,1.574,15.49,1.15,0.93,,1.3,63.0,61.2,0.72,0.001,0.064,0.358,60,,1,0.311,0.0,0.0,23.9,0.8,14076.0
