fips,state,county,rent_dry_usd_ac,rent_dry_year,rent_dry_chg10_pct,rent_irr_usd_ac,rent_irr_year,rent_pasture_usd_ac,value_usd_ac,value_year,value_flag,value_cagr_pct,rent_to_value_pct,corn_yield_median_bu_ac,corn_yield_years,corn_yield_trend_bu_yr,claims_per_100_usd,loss_ratio_last10,loss_ratio_all,years_loss_over_1,d2_week_share_pct,jul_low_recent_f,jul_low_normal_f,jul_low_trend_f_decade,irrigated_share_2022,tile_share_2022,notill_share_2022,crp_acres,crp_share_pct,crp_expiring_next3_acres,rented_share_2022,solar_mw,wind_mw,gs_rain_normal_in,hail_1in_days_yr,cattle_2022
40001,OK,Adair County,41.5,2026,59.6,,,30.0,3426,2022,,7.4,,,,,,,,,7.9,69.7,68.6,0.41,0.017,0.0,0.039,210,0.8,116,0.1797,0.0,0.0,28.4,1.3,52205.0
40003,OK,Alfalfa County,40.5,2026,-6.9,,,19.0,1964,2022,,2.9,2.42,76.9,10,1.003,17.38,0.98,1.09,9,24.9,70.2,69.8,0.18,0.009,,0.254,2851,1.1,235,0.4927,0.0,0.0,20.7,1.5,53980.0
40005,OK,Atoka County,23.0,2026,100.0,,,13.5,2051,2022,,2.3,,,,,,,,,15.5,72.8,71.4,0.48,0.034,,0.043,144,0.3,,0.1605,0.0,0.0,25.3,1.8,81756.0
40007,OK,Beaver County,20.0,2026,14.3,86.0,2026,10.5,1100,2022,,4.1,,,,,18.15,0.94,0.99,10,28.4,67.6,67.2,0.11,0.165,0.0,0.119,108141,49.8,3242,0.4994,0.0,797.7,14.9,4.5,72140.0
40009,OK,Beckham County,28.0,2026,27.3,30.0,2022,16.5,1768,2022,,5.8,,,,,20.45,1.05,1.14,8,29.5,70.2,69.7,0.16,0.2,0.001,0.198,4688,5.7,386,0.3759,0.0,0.0,17.6,3.1,46870.0
40011,OK,Blaine County,32.0,2026,4.9,129.0,2024,20.5,2025,2022,,4.5,1.8,,,,15.41,0.87,0.96,9,22.2,70.5,70.4,0.08,0.018,,0.122,1230,0.7,42,0.4634,0.0,0.0,20.5,2.2,74612.0
40013,OK,Bryan County,32.5,2026,75.7,29.5,2014,18.5,2928,2022,,5.3,,,,,14.07,0.77,1.3,,17.9,73.7,72.2,0.46,0.072,0.002,0.069,180,0.2,135,0.2958,10.0,0.0,23.4,2.1,79360.0
40015,OK,Caddo County,36.5,2026,5.8,123.0,2026,22.5,2275,2022,,5.6,,,,,12.11,0.72,1.0,10,22.5,71.3,71.1,0.14,0.278,0.003,0.242,988,0.6,7,0.4148,11.0,903.8,21.3,4.7,105368.0
40017,OK,Canadian County,38.5,2026,6.9,47.0,2026,23.0,3406,2022,,7.7,1.09,,,,13.1,0.67,0.88,7,16.4,70.9,71.0,0.09,0.036,,0.108,0,,49,0.5207,2.5,423.7,22.5,3.9,76721.0
40019,OK,Carter County,12.5,2025,4.2,,,15.0,2570,2022,,4.8,,,,,,,,,19.7,72.7,71.9,0.28,0.057,0.006,0.084,0,,,0.2766,0.0,0.0,22.5,3.3,48744.0
40021,OK,Cherokee County,31.5,2026,21.2,,,28.0,3676,2022,,8.2,,,,,,,0.0,,8.8,70.4,69.9,0.27,,0.001,0.039,79,,38,0.247,0.0,0.0,27.9,1.6,48123.0
40023,OK,Choctaw County,33.0,2026,,,,22.5,2605,2022,,8.0,,136.2,10,4.513,25.3,1.4,1.28,,18.9,72.9,71.2,0.7,,,0.056,0,,,0.2246,0.0,0.0,24.7,1.3,63112.0
40025,OK,Cimarron County,28.5,2026,32.6,100.0,2025,11.0,1186,2022,,7.5,,,,,32.32,1.23,1.23,14,36.1,62.7,62.9,0.07,0.188,0.0,0.04,216598,56.3,183,0.4971,0.0,0.0,12.6,2.9,117812.0
40027,OK,Cleveland County,41.0,2026,57.7,,,16.5,6757,2022,,6.9,,,,,,,1.5,,15.8,71.3,71.1,0.19,0.087,,0.039,0,,,0.3218,2.0,0.0,24.1,4.7,16740.0
40029,OK,Coal County,18.5,2026,5.7,,,18.0,2116,2022,,3.0,,,,,,,,,15.5,72.5,71.4,0.39,0.009,0.0,0.021,0,,,0.247,0.0,0.0,26.0,1.2,35636.0
40031,OK,Comanche County,36.0,2026,18.0,,,21.5,2715,2022,,7.1,,,,,42.18,1.31,1.38,11,24.9,72.2,71.8,0.33,0.018,,0.176,367,0.5,0,0.4832,0.0,225.7,20.3,5.9,68810.0
40033,OK,Cotton County,35.5,2026,14.5,,,19.0,1876,2022,,6.7,,,,,30.65,0.97,1.19,11,26.3,72.5,72.2,0.33,,0.0,0.245,240,0.2,0,0.5312,0.0,0.0,19.4,1.8,47741.0
40035,OK,Craig County,31.5,2026,34.0,,,30.0,2579,2022,,4.1,,76.0,14,1.839,21.69,1.29,1.24,,11.0,70.6,70.2,0.04,,,0.111,2296,2.5,0,0.3713,0.0,0.0,28.3,1.3,115225.0
40037,OK,Creek County,19.0,2026,8.6,,,15.0,2971,2022,,6.3,,,,,,,,,12.4,70.9,70.5,0.24,0.015,0.006,0.05,284,0.6,,0.1701,0.0,0.0,25.7,2.4,41318.0
40039,OK,Custer County,39.0,2026,-2.5,136.0,2025,15.0,1869,2022,,5.2,,,,,18.67,0.96,1.16,10,26.6,70.1,70.0,0.13,0.061,0.002,0.153,1187,0.7,24,0.4728,0.0,1146.0,19.2,3.2,64181.0
40041,OK,Delaware County,44.0,2026,54.4,,,28.5,3409,2022,,4.6,,105.6,9,,12.1,0.77,0.79,,7.4,70.0,69.4,0.21,0.006,,0.12,252,0.4,6,0.2074,0.0,0.0,27.8,1.4,89857.0
40043,OK,Dewey County,29.5,2026,-7.8,,,15.0,1539,2022,,2.3,,,,,27.67,1.37,1.3,8,27.7,69.4,69.3,0.1,,,0.119,9960,10.4,870,0.3713,0.0,881.2,19.1,2.0,42513.0
40045,OK,Ellis County,24.0,2026,50.0,100.0,2026,12.5,1200,2022,,3.8,,,,,25.62,1.11,1.09,,26.5,68.3,68.0,0.09,0.187,,0.109,26190,38.3,2703,0.4734,0.0,475.0,16.6,2.8,63017.0
40047,OK,Garfield County,46.5,2026,24.0,92.0,2021,19.0,2072,2022,,3.6,2.15,66.8,16,-0.93,18.03,0.98,1.11,11,23.7,70.7,70.5,0.15,0.007,0.002,0.443,1380,0.4,47,0.5486,260.0,1144.3,22.5,3.8,65380.0
40049,OK,Garvin County,26.0,2026,18.2,44.5,2010,21.5,2714,2022,,7.2,,83.2,10,1.373,13.53,0.59,1.07,,16.6,71.9,71.1,0.23,0.016,,0.104,0,,,0.3516,0.0,0.0,23.4,3.0,63985.0
40051,OK,Grady County,32.5,2026,,65.5,2026,24.5,3107,2022,,8.2,,106.0,12,2.925,13.13,0.64,0.93,5,16.6,71.4,71.2,0.22,0.075,0.026,0.106,23,,23,0.3632,4.0,407.1,22.4,4.8,128974.0
40053,OK,Grant County,46.5,2026,22.4,,,23.0,1664,2022,,0.7,2.46,56.1,12,0.267,20.2,0.93,1.08,15,23.6,70.5,70.0,0.18,,0.002,0.395,12223,3.7,1806,0.5574,0.0,299.0,22.1,1.8,43465.0
40055,OK,Greer County,30.5,2026,,65.0,2020,17.0,1439,2022,,4.5,,,,,39.38,1.23,1.4,10,33.3,71.3,70.9,0.2,0.127,,0.178,4270,8.6,0,0.4525,0.0,0.0,18.0,2.1,30197.0
40057,OK,Harmon County,33.0,2026,34.7,141.0,2023,14.5,1346,2022,,1.5,,,,,41.8,1.47,1.58,14,34.2,71.5,70.8,0.25,0.16,0.0,0.139,10290,14.8,0,0.4747,0.0,0.0,17.4,2.1,35874.0
40059,OK,Harper County,26.5,2026,26.2,19.0,2021,10.5,1147,2022,,0.8,,,,,34.87,1.46,1.16,5,28.7,68.5,68.4,0.11,,0.0,0.149,46019,,5077,0.4291,0.0,233.4,16.0,1.8,81608.0
40061,OK,Haskell County,20.0,2026,33.3,,,16.5,2498,2022,,5.6,,,,,,,1.48,,10.9,71.8,70.7,0.35,0.011,0.016,0.062,0,,,0.2695,0.0,0.0,27.2,0.9,62314.0
40063,OK,Hughes County,20.0,2026,37.9,,,19.5,2225,2022,,6.9,,,,,,,1.63,,12.2,71.6,70.8,0.25,,,0.067,6,,0,0.1919,0.0,0.0,26.6,1.7,56197.0
40065,OK,Jackson County,38.0,2026,33.3,138.0,2026,18.0,1760,2022,,4.7,1.82,,,,42.19,1.31,1.58,15,33.5,72.3,71.8,0.24,0.083,0.024,0.605,4494,3.6,0,0.5666,0.0,0.0,18.0,3.2,25554.0
40067,OK,Jefferson County,30.5,2026,3.4,,,18.0,1957,2022,,4.8,,,,,,,0.93,,24.0,72.7,72.1,0.25,,0.026,0.088,0,,12,0.3147,0.0,0.0,21.0,1.8,78668.0
