fips,state,county,rent_dry_usd_ac,rent_dry_year,rent_dry_chg10_pct,rent_irr_usd_ac,rent_irr_year,rent_pasture_usd_ac,value_usd_ac,value_year,value_flag,value_cagr_pct,rent_to_value_pct,corn_yield_median_bu_ac,corn_yield_years,corn_yield_trend_bu_yr,claims_per_100_usd,loss_ratio_last10,loss_ratio_all,years_loss_over_1,d2_week_share_pct,jul_low_recent_f,jul_low_normal_f,jul_low_trend_f_decade,irrigated_share_2022,tile_share_2022,notill_share_2022,crp_acres,crp_share_pct,crp_expiring_next3_acres,rented_share_2022,solar_mw,wind_mw,gs_rain_normal_in,hail_1in_days_yr,cattle_2022
41001,OR,Baker County,75.5,2024,24.8,118.0,2026,12.0,1942,2022,,9.2,,,,,7.78,1.45,0.89,,24.8,54.4,51.9,1.0,0.905,,0.01,171874,66.8,329,0.3309,17.8,53.0,7.1,0.5,67278.0
41003,OR,Benton County,128.0,2026,61.0,162.0,2026,23.5,12931,2022,,15.0,,,,,,,0.97,,12.6,52.7,52.0,0.46,0.424,0.184,0.164,654,1.1,71,0.4161,1.2,0.0,11.6,0.0,6645.0
41005,OR,Clackamas County,148.0,2026,49.5,358.0,2026,65.0,29522,2022,,6.5,,,,,0.8,0.77,0.2,,10.8,52.5,51.3,0.65,0.318,0.25,0.062,138,0.2,3,0.2522,89.3,0.0,18.9,0.3,13391.0
41007,OR,Clatsop County,82.5,2025,,,,48.0,9702,2022,,6.3,,,,,,,,,2.5,51.8,51.2,0.48,,0.101,0.031,20,,9,0.3,0.0,0.0,19.5,0.1,4102.0
41009,OR,Columbia County,99.5,2026,42.1,167.0,2016,32.0,10651,2022,,4.2,,,,,,,,,4.9,52.8,52.4,0.54,0.151,0.085,0.041,305,3.0,57,0.2109,0.0,0.0,12.5,0.1,6250.0
41011,OR,Coos County,94.0,2025,,102.0,2024,34.0,4016,2022,,5.7,,,,,2.15,0.78,1.52,,15.0,53.0,52.4,0.44,0.622,0.06,0.03,90,,55,0.1952,0.0,0.0,13.5,0.0,24272.0
41013,OR,Crook County,18.5,2016,,129.0,2026,10.5,1808,2022,,13.6,,,,,,,1.25,,26.8,50.3,48.1,0.87,0.923,,0.013,551,1.2,188,0.2251,166.3,0.0,5.4,0.3,47878.0
41015,OR,Curry County,39.5,2022,,225.0,2026,40.0,5104,2022,,7.6,,,,,,,1.13,,13.1,54.0,52.9,0.57,0.75,0.185,0.077,504,17.2,245,0.3612,0.0,0.0,15.3,0.1,6258.0
41017,OR,Deschutes County,,,,133.0,2026,39.0,12883,2022,,8.3,,,,,,,,,26.8,47.9,45.9,0.88,0.973,,0.048,18,,18,0.1909,39.7,0.0,6.5,1.6,12246.0
41019,OR,Douglas County,67.0,2025,,158.0,2025,21.0,4442,2022,,5.4,,,,,4.2,0.87,0.79,,16.9,53.4,52.4,0.63,0.363,0.022,0.026,1576,4.2,342,0.283,0.0,0.0,11.8,0.5,40215.0
41021,OR,Gilliam County,55.0,2026,64.2,,,5.1,1338,2022,,13.2,,,,,12.77,1.06,1.49,11,17.6,56.3,55.0,0.88,0.046,,0.399,99356,54.7,4365,0.2562,162.0,1708.9,4.1,0.1,10778.0
