fips,state,county,rent_dry_usd_ac,rent_dry_year,rent_dry_chg10_pct,rent_irr_usd_ac,rent_irr_year,rent_pasture_usd_ac,value_usd_ac,value_year,value_flag,value_cagr_pct,rent_to_value_pct,corn_yield_median_bu_ac,corn_yield_years,corn_yield_trend_bu_yr,claims_per_100_usd,loss_ratio_last10,loss_ratio_all,years_loss_over_1,d2_week_share_pct,jul_low_recent_f,jul_low_normal_f,jul_low_trend_f_decade,irrigated_share_2022,tile_share_2022,notill_share_2022,crp_acres,crp_share_pct,crp_expiring_next3_acres,rented_share_2022,solar_mw,wind_mw,gs_rain_normal_in,hail_1in_days_yr,cattle_2022
42001,PA,Adams County,91.0,2026,34.8,108.0,2017,27.0,9138,2022,,5.8,0.98,131.1,18,2.44,28.25,1.09,1.1,16,1.6,65.4,63.9,0.68,0.02,0.206,0.437,653,0.5,198,0.4372,80.0,0.0,24.6,0.6,22905.0
42003,PA,Allegheny County,24.0,2022,6.7,,,,10009,2022,,2.7,,122.0,11,0.845,,,,,0.0,63.5,61.9,0.61,,0.011,0.056,2,,0,0.1779,3.0,0.0,23.3,2.4,1613.0
42005,PA,Armstrong County,31.5,2026,26.0,,,17.0,4502,2022,,4.3,0.61,128.8,18,0.597,11.02,0.79,0.72,,0.0,61.0,59.4,0.53,0.004,0.087,0.314,935,1.4,226,0.3563,0.0,0.0,25.4,0.8,14689.0
42007,PA,Beaver County,70.5,2026,143.1,,,50.5,7099,2022,,3.2,0.92,124.1,15,0.815,8.73,0.72,0.59,,0.2,62.4,61.3,0.42,,0.108,0.234,369,1.7,54,0.1853,55.5,0.0,23.5,1.1,5011.0
42009,PA,Bedford County,77.0,2026,30.5,,,27.5,5010,2022,,4.2,1.77,137.3,15,1.086,8.32,0.67,0.64,4,0.7,61.5,60.1,0.49,,0.025,0.362,1639,1.8,293,0.2568,0.0,0.0,23.0,0.6,41483.0
42011,PA,Berks County,155.0,2026,36.0,,,87.0,13449,2022,,3.7,0.68,162.3,15,2.761,6.07,0.6,0.61,4,3.7,65.7,63.6,0.91,0.012,0.026,0.492,1591,1.1,206,0.3419,24.2,0.0,26.5,1.5,62607.0
42013,PA,Blair County,175.0,2026,43.4,165.0,2016,64.5,6711,2022,,-0.1,2.67,161.1,17,2.652,8.5,0.62,0.67,3,0.0,61.4,59.8,0.7,,0.035,0.554,917,1.5,116,0.3475,0.0,250.6,23.6,0.7,48058.0
42015,PA,Bradford County,30.0,2026,3.4,,,18.5,4433,2022,,4.1,0.62,120.7,8,,10.37,0.9,0.73,,0.0,59.8,58.2,0.56,,0.076,0.197,9666,7.0,3546,0.272,0.0,0.0,23.1,1.1,43450.0
42017,PA,Bucks County,45.0,2026,2.3,195.0,2024,32.0,15277,2022,,10.2,0.32,113.3,17,2.352,6.11,0.71,0.68,,3.9,66.5,64.3,1.01,,0.029,0.18,13,,0,0.5238,3.0,0.0,26.3,0.8,6638.0
42019,PA,Butler County,39.0,2026,18.2,58.0,2016,25.0,7134,2022,,6.2,0.67,131.0,15,0.777,8.98,0.65,0.6,2,0.0,61.2,59.6,0.62,,0.148,0.351,625,0.9,68,0.3669,0.0,0.0,24.6,1.4,13886.0
42021,PA,Cambria County,48.0,2026,60.0,,,21.0,4911,2022,,1.2,0.74,127.0,15,0.934,10.02,0.8,0.88,,0.0,60.1,58.4,0.66,,0.066,0.39,778,1.7,137,0.405,100.0,247.5,25.5,0.8,12285.0
42023,PA,Cameron County,,,,,,,2594,2022,,-1.8,,,,,,,,,0.1,58.6,57.0,0.39,0.0,,,4,,0,0.062,0.0,0.0,24.6,0.1,262.0
42025,PA,Carbon County,60.0,2026,,,,,8381,2022,,4.8,0.43,,,,24.77,2.43,1.63,,1.5,61.5,59.6,0.96,0.008,0.007,0.166,106,0.8,43,0.2872,20.1,0.0,28.4,0.4,1098.0
42027,PA,Centre County,107.0,2026,37.2,85.0,2017,27.0,8311,2022,,4.4,1.14,149.9,18,2.001,5.27,0.55,0.49,,0.4,61.4,59.7,0.67,0.004,0.015,0.462,1304,2.1,291,0.2372,1.5,0.0,24.4,0.8,20375.0
42029,PA,Chester County,199.0,2026,35.4,269.0,2026,43.0,13004,2022,,1.4,1.27,172.8,18,2.063,1.89,0.3,0.32,,4.4,66.8,65.0,0.9,0.012,0.024,0.424,518,0.6,115,0.4142,6.3,0.0,26.2,1.3,26190.0
42031,PA,Clarion County,29.5,2026,20.4,,,10.5,4159,2022,,5.3,0.61,140.4,16,-0.157,12.29,0.99,0.91,,0.0,59.4,58.2,0.47,0.001,0.08,0.134,830,1.7,191,0.2461,0.0,0.0,25.5,0.9,14262.0
