fips,state,county,rent_dry_usd_ac,rent_dry_year,rent_dry_chg10_pct,rent_irr_usd_ac,rent_irr_year,rent_pasture_usd_ac,value_usd_ac,value_year,value_flag,value_cagr_pct,rent_to_value_pct,corn_yield_median_bu_ac,corn_yield_years,corn_yield_trend_bu_yr,claims_per_100_usd,loss_ratio_last10,loss_ratio_all,years_loss_over_1,d2_week_share_pct,jul_low_recent_f,jul_low_normal_f,jul_low_trend_f_decade,irrigated_share_2022,tile_share_2022,notill_share_2022,crp_acres,crp_share_pct,crp_expiring_next3_acres,rented_share_2022,solar_mw,wind_mw,gs_rain_normal_in,hail_1in_days_yr,cattle_2022
45001,SC,Abbeville County,20.5,2026,51.9,,,17.5,4079,2022,,5.7,,,,,,,,,22.6,71.0,69.9,0.41,,0.032,0.062,93,,81,0.1475,0.0,0.0,22.7,0.4,14112.0
45003,SC,Aiken County,40.5,2026,76.1,111.0,2026,20.0,5606,2022,,8.3,,100.0,13,8.532,20.51,0.73,0.9,4,15.8,71.7,70.4,0.51,0.251,0.013,0.238,67,,0,0.1647,74.9,0.0,25.2,1.9,9085.0
45005,SC,Allendale County,37.5,2026,17.2,78.0,2025,20.0,2964,2022,,6.1,,91.0,15,3.648,15.63,1.02,0.88,6,14.2,71.6,70.7,0.43,,,0.455,386,1.8,310,0.1184,98.6,0.0,26.0,0.3,3976.0
45007,SC,Anderson County,24.0,2026,23.1,47.0,2011,20.0,7011,2022,,4.3,,81.0,14,0.524,26.42,1.2,1.12,,20.9,70.4,69.4,0.47,0.071,0.002,0.197,163,0.4,0,0.2838,11.0,0.0,23.8,1.8,32033.0
45009,SC,Bamberg County,38.5,2026,22.2,147.0,2026,25.5,3550,2022,,3.9,,128.4,18,3.331,8.09,0.54,0.66,2,12.1,71.4,70.6,0.43,0.236,0.031,0.247,1067,2.5,251,0.3313,6.0,0.0,26.8,0.8,6891.0
45011,SC,Barnwell County,44.0,2026,12.8,72.0,2026,33.5,3749,2022,,6.1,,120.7,14,4.455,6.64,0.58,0.56,,14.3,71.4,70.4,0.41,,0.017,0.107,205,1.0,12,0.3206,41.0,0.0,26.0,0.6,2493.0
45013,SC,Beaufort County,,,,,,,4461,2022,,4.3,,,,,,,0.08,,9.1,75.3,73.7,0.52,0.573,0.021,0.094,0,,,0.0771,100.5,0.0,28.8,0.8,427.0
45015,SC,Berkeley County,26.5,2026,8.2,,,13.5,3279,2022,,4.2,,85.1,15,2.209,49.36,2.26,1.9,,5.9,72.7,71.7,0.6,0.048,0.005,0.163,218,4.5,57,0.0346,6.0,0.0,29.5,2.4,496.0
45017,SC,Calhoun County,54.0,2026,36.7,105.0,2026,,3395,2022,,2.2,,131.2,12,3.983,5.81,0.53,0.62,4,8.8,72.2,70.9,0.58,0.4,0.04,0.284,31,,0,0.2625,172.4,0.0,26.3,0.7,1468.0
45019,SC,Charleston County,24.5,2023,,,,,11145,2022,,3.5,,108.0,11,0.65,12.45,0.78,0.46,,5.7,74.2,73.2,0.49,,,0.152,0,,0,0.1249,0.0,0.0,29.7,1.8,1438.0
45021,SC,Cherokee County,28.5,2026,58.3,,,22.5,3913,2022,,3.1,,,,,9.56,0.58,0.91,,16.7,68.8,68.1,0.48,0.003,,0.286,0,,0,0.2386,5.0,0.0,23.5,1.1,7210.0
45023,SC,Chester County,22.0,2026,22.2,,,16.0,3702,2022,,2.2,,,,,19.92,1.1,0.92,,16.1,69.6,69.1,0.39,0.018,0.006,0.165,455,2.7,30,0.178,0.0,0.0,22.4,0.6,13792.0
45025,SC,Chesterfield County,47.5,2026,13.1,,,34.0,3318,2022,,2.4,,105.3,12,3.94,15.22,1.02,0.95,6,9.2,71.1,69.7,0.61,0.064,0.012,0.577,1316,3.1,304,0.1814,77.0,0.0,25.7,1.4,7591.0
45027,SC,Clarendon County,53.5,2026,27.4,150.0,2023,32.0,3051,2022,,6.1,1.54,136.1,18,4.34,14.43,0.97,0.94,11,7.9,72.2,70.8,0.63,,0.034,0.369,855,0.9,122,0.5346,8.0,0.0,27.8,0.6,3060.0
45029,SC,Colleton County,42.5,2026,13.3,91.0,2013,28.5,3789,2022,,4.6,,89.2,17,2.645,28.5,1.53,1.45,10,8.8,72.8,71.5,0.56,0.073,0.034,0.182,0,,0,0.1198,2.5,0.0,28.6,1.1,4668.0
45031,SC,Darlington County,47.0,2026,16.0,101.0,2025,44.5,2794,2022,,1.5,1.57,111.2,18,2.313,14.59,0.98,0.93,9,7.4,72.2,70.6,0.61,0.039,0.092,0.388,377,0.4,160,0.46,37.3,0.0,26.6,0.6,2858.0
45033,SC,Dillon County,60.5,2026,19.8,,,22.0,2757,2022,,3.8,1.99,124.9,18,2.688,14.54,0.96,0.87,6,6.5,72.1,70.8,0.64,,0.047,0.407,131,0.2,0,0.5813,15.0,0.0,27.7,0.6,3380.0
45035,SC,Dorchester County,45.0,2026,40.6,,,27.0,3959,2022,,7.1,,109.4,18,3.111,14.5,0.87,0.84,6,6.9,72.7,71.5,0.69,0.1,0.028,0.478,59,,39,0.3421,0.0,0.0,28.6,1.7,1959.0
45037,SC,Edgefield County,26.0,2025,-10.3,66.5,2010,14.0,4696,2022,,5.9,,,,,33.09,0.82,0.92,9,17.8,71.6,70.2,0.53,,,0.107,359,2.3,0,0.178,0.0,0.0,23.6,0.7,4823.0
45039,SC,Fairfield County,12.5,2024,-19.4,,,17.5,3316,2022,,3.0,,,,,,,,,13.0,70.6,69.8,0.41,,0.0,,0,,,0.1387,0.0,0.0,22.6,1.3,3266.0
45041,SC,Florence County,47.0,2026,11.9,,,48.5,3382,2022,,1.3,1.33,103.3,18,1.562,24.01,1.04,1.1,14,6.5,72.2,70.9,0.53,0.024,0.03,0.352,765,1.2,238,0.5378,25.0,0.0,27.9,1.2,1422.0
45043,SC,Georgetown County,39.0,2026,18.2,,,,2960,2022,,7.7,,99.2,12,1.231,27.41,1.36,1.19,,6.3,72.1,71.7,0.35,0.047,,0.105,455,7.2,295,0.1786,200.0,0.0,30.9,1.5,414.0
