fips,state,county,rent_dry_usd_ac,rent_dry_year,rent_dry_chg10_pct,rent_irr_usd_ac,rent_irr_year,rent_pasture_usd_ac,value_usd_ac,value_year,value_flag,value_cagr_pct,rent_to_value_pct,corn_yield_median_bu_ac,corn_yield_years,corn_yield_trend_bu_yr,claims_per_100_usd,loss_ratio_last10,loss_ratio_all,years_loss_over_1,d2_week_share_pct,jul_low_recent_f,jul_low_normal_f,jul_low_trend_f_decade,irrigated_share_2022,tile_share_2022,notill_share_2022,crp_acres,crp_share_pct,crp_expiring_next3_acres,rented_share_2022,solar_mw,wind_mw,gs_rain_normal_in,hail_1in_days_yr,cattle_2022
46003,SD,Aurora County,139.0,2026,39.7,,,57.5,3731,2022,,7.0,3.08,124.6,17,1.988,11.31,0.66,0.78,10,11.0,62.2,61.6,0.14,0.0,0.02,0.494,16555,7.0,3724,0.5256,0.0,20.0,18.4,2.1,39817.0
46005,SD,Beadle County,140.0,2026,15.7,220.0,2026,56.5,3820,2022,,7.2,3.4,137.7,15,1.977,10.4,0.68,0.74,11,4.3,62.1,61.3,0.31,0.049,0.008,0.554,35260,8.1,7620,0.5191,0.0,0.0,17.7,2.1,79222.0
46007,SD,Bennett County,32.0,2026,-4.5,,,16.5,1347,2022,,7.2,,,,,14.26,0.81,0.91,6,18.3,60.4,59.3,0.38,,0.005,0.338,1536,1.2,351,0.3607,0.0,0.0,15.9,3.2,53176.0
46009,SD,Bon Homme County,160.0,2026,16.8,235.0,2026,51.5,5007,2022,,4.7,2.92,151.5,17,2.141,13.97,1.06,1.09,6,10.4,63.7,63.0,0.26,0.038,0.052,0.299,14508,7.0,3478,0.4463,0.0,80.0,19.8,2.1,43798.0
46011,SD,Brookings County,205.0,2026,18.5,259.0,2026,58.0,6212,2022,,6.2,2.98,170.4,17,2.573,3.62,0.48,0.44,4,5.2,60.7,59.7,0.32,0.082,0.212,0.094,20944,7.6,4668,0.4482,0.0,357.8,20.2,1.8,78535.0
46013,SD,Brown County,166.0,2026,20.3,200.0,2026,53.0,4295,2022,,5.0,,154.7,18,1.816,11.29,0.79,0.9,16,3.8,60.8,59.7,0.43,0.004,0.015,0.4,85080,11.8,13818,0.451,0.0,0.0,16.7,3.5,41937.0
46015,SD,Brule County,110.0,2026,22.2,,,50.0,3337,2022,,5.3,3.0,132.7,18,0.939,11.17,0.62,0.71,12,12.5,62.6,61.8,0.3,0.023,0.008,0.627,7915,3.2,1254,0.3866,0.0,20.0,18.0,2.1,78576.0
46017,SD,Buffalo County,75.0,2025,16.3,,,42.0,1941,2022,,4.7,,,,,12.2,0.62,0.73,3,10.0,61.3,60.8,0.12,0.116,0.0,0.668,4343,5.3,268,0.5203,0.0,0.0,17.1,1.0,31342.0
46019,SD,Butte County,40.0,2026,19.4,122.0,2026,13.5,1359,2022,,7.2,,130.5,10,-0.092,18.24,0.91,0.91,,21.3,58.8,57.6,0.48,0.426,0.009,0.052,102608,56.3,889,0.3061,0.0,105.0,12.5,4.6,82012.0
46021,SD,Campbell County,79.5,2026,13.6,180.0,2022,35.0,2316,2022,,4.8,3.26,112.4,16,2.393,9.66,0.6,0.57,5,11.8,59.9,58.7,0.32,,0.001,0.587,56173,19.8,6223,0.5081,0.0,94.3,14.6,1.8,28084.0
46023,SD,Charles Mix County,142.0,2026,4.4,180.0,2017,54.5,3849,2022,,6.7,3.33,136.9,18,1.414,10.9,0.7,0.79,10,10.5,63.6,62.7,0.23,0.013,0.002,0.516,27811,6.6,4114,0.3945,0.0,0.0,19.1,2.8,77246.0
46025,SD,Clark County,170.0,2026,27.8,256.0,2023,51.0,4741,2022,,8.5,2.95,161.4,16,2.903,6.21,0.51,0.55,8,2.3,61.1,60.1,0.43,0.028,0.054,0.261,32717,10.9,6085,0.398,0.0,219.5,18.1,2.0,49352.0
46027,SD,Clay County,241.0,2026,26.2,303.0,2026,61.0,7445,2022,,9.6,,175.6,17,1.163,11.38,0.85,0.91,10,13.5,63.6,62.8,0.21,,0.112,0.146,6845,4.2,2554,0.5251,0.0,0.0,20.7,1.6,8438.0
46029,SD,Codington County,175.0,2026,14.4,139.0,2011,60.0,4311,2022,,4.5,3.87,170.7,11,3.458,6.05,0.61,0.57,7,2.2,60.2,59.1,0.42,,0.089,0.189,22383,11.9,3301,0.3964,0.0,400.7,18.7,2.3,39781.0
46031,SD,Corson County,50.5,2026,20.2,,,18.0,1338,2022,,7.8,,86.0,15,1.127,13.21,0.68,0.69,5,19.2,59.2,58.1,0.11,,0.0,0.443,77018,20.3,1583,0.4645,0.0,0.0,14.0,3.1,103283.0
46033,SD,Custer County,28.5,2026,,,,10.5,1832,2022,,2.8,,,,,27.3,1.01,1.01,,18.8,57.9,57.0,0.43,,0.006,0.048,3694,10.5,0,0.3579,0.0,0.0,14.8,9.6,27988.0
46035,SD,Davison County,153.0,2026,16.8,191.0,2017,64.0,4642,2022,,6.4,3.3,138.3,12,2.201,9.77,0.63,0.79,8,8.3,62.4,61.9,0.08,,0.076,0.364,10900,6.1,2155,0.4747,0.0,0.0,18.8,1.3,16720.0
46037,SD,Day County,159.0,2026,13.6,,,49.5,3549,2022,,6.1,4.09,150.2,14,3.29,8.43,0.69,0.65,7,1.5,60.6,59.6,0.48,0.001,0.032,0.293,45112,14.9,15239,0.3924,0.0,99.0,17.8,2.6,23951.0
46039,SD,Deuel County,181.0,2026,20.7,,,59.5,5470,2022,,9.7,3.16,172.4,14,2.494,4.01,0.46,0.46,4,5.8,60.2,59.4,0.26,0.011,0.296,0.087,20420,11.7,3548,0.4621,0.0,454.0,19.8,1.4,58355.0
