fips,state,county,rent_dry_usd_ac,rent_dry_year,rent_dry_chg10_pct,rent_irr_usd_ac,rent_irr_year,rent_pasture_usd_ac,value_usd_ac,value_year,value_flag,value_cagr_pct,rent_to_value_pct,corn_yield_median_bu_ac,corn_yield_years,corn_yield_trend_bu_yr,claims_per_100_usd,loss_ratio_last10,loss_ratio_all,years_loss_over_1,d2_week_share_pct,jul_low_recent_f,jul_low_normal_f,jul_low_trend_f_decade,irrigated_share_2022,tile_share_2022,notill_share_2022,crp_acres,crp_share_pct,crp_expiring_next3_acres,rented_share_2022,solar_mw,wind_mw,gs_rain_normal_in,hail_1in_days_yr,cattle_2022
47001,TN,Anderson County,26.5,2026,,,,25.5,7843,2022,,7.5,,,,,,,,,7.6,67.5,66.3,0.43,,0.022,0.039,0,,,0.3655,0.0,0.0,27.0,1.1,6438.0
47003,TN,Bedford County,81.5,2026,29.4,,,20.0,6187,2022,,8.2,,146.7,16,3.443,9.47,0.8,0.83,2,9.7,68.9,67.3,0.49,,0.027,0.294,38,,0,0.3413,35.0,0.0,27.6,1.0,51325.0
47005,TN,Benton County,73.0,2026,9.0,,,29.5,3196,2022,,5.1,,153.3,11,5.02,13.07,1.1,1.04,,5.7,70.4,68.6,0.65,0.016,0.036,0.405,2207,10.7,286,0.19,0.0,0.0,26.7,0.9,4252.0
47007,TN,Bledsoe County,79.5,2026,6.0,149.0,2012,41.0,4089,2022,,3.5,,140.0,12,4.639,25.41,1.27,1.59,,10.7,67.2,65.7,0.49,0.007,0.003,0.165,18,,0,0.2466,0.0,0.0,28.8,0.5,21005.0
47009,TN,Blount County,56.0,2026,55.6,125.0,2013,28.0,8030,2022,,4.5,,139.9,17,1.652,21.55,1.47,1.26,,9.4,67.4,66.2,0.44,0.009,0.026,0.077,0,,,0.4202,10.3,0.0,27.7,1.7,26823.0
47011,TN,Bradley County,38.0,2026,11.8,,,24.0,8324,2022,,6.5,,133.3,10,2.798,23.58,1.29,1.59,,13.7,69.4,67.7,0.52,0.01,0.05,0.088,158,0.8,146,0.2108,0.0,0.0,26.9,1.1,20552.0
47013,TN,Campbell County,22.0,2025,-6.4,,,16.0,5131,2022,,4.4,,,,,,,,,5.6,65.3,64.3,0.38,0.001,0.006,0.042,0,,,0.3002,0.0,0.0,26.8,0.8,6741.0
47015,TN,Cannon County,93.5,2026,6.2,,,32.0,6095,2022,,11.2,1.55,158.8,17,2.226,5.15,0.62,0.82,,9.4,68.0,66.5,0.49,,0.021,0.372,0,,,0.2996,0.0,0.0,28.2,0.7,11960.0
47017,TN,Carroll County,127.0,2026,15.5,,,43.5,3459,2022,,4.8,3.04,152.4,18,2.742,4.63,0.55,0.52,3,6.7,70.3,68.9,0.46,0.054,0.029,0.738,8031,7.4,2451,0.3623,6.5,0.0,27.4,1.1,8345.0
47019,TN,Carter County,35.0,2026,40.0,,,21.0,6540,2022,,4.7,,,,,,,,,9.1,62.1,61.1,0.39,0.004,0.028,0.144,0,,,0.312,0.0,0.0,27.1,0.4,10499.0
47021,TN,Cheatham County,93.5,2024,14.0,,,21.0,6673,2022,,7.9,,147.7,8,,8.4,1.13,0.97,,3.7,69.8,68.0,0.62,,0.011,0.256,25,,0,0.2798,0.0,0.0,25.7,0.9,5856.0
47023,TN,Chester County,92.0,2026,22.7,,,20.5,2781,2022,,1.8,2.73,150.0,11,4.006,6.4,0.78,0.63,,6.1,70.2,68.9,0.42,0.038,0.01,0.681,1374,3.6,141,0.3762,0.0,0.0,27.4,1.1,6923.0
47025,TN,Claiborne County,29.0,2026,-9.4,,,12.0,4395,2022,,7.0,,,,,9.63,0.57,1.63,,5.5,65.2,64.3,0.36,,0.018,0.039,9,,8,0.3039,0.0,0.0,25.6,0.6,29322.0
47027,TN,Clay County,40.0,2026,0.0,,,21.5,3793,2022,,2.6,,,,,34.51,1.24,1.4,,3.8,67.6,66.2,0.55,0.006,0.004,0.171,55,,55,0.1921,0.0,0.0,26.7,0.6,12926.0
47029,TN,Cocke County,75.0,2026,41.5,275.0,2024,25.5,6181,2022,,6.9,,,,,5.58,0.79,1.06,,9.8,66.8,65.3,0.51,,0.018,0.181,0,,,0.2537,0.0,0.0,26.8,0.9,10985.0
47031,TN,Coffee County,131.0,2026,61.7,,,46.5,5382,2022,,5.6,1.68,167.2,18,2.964,4.28,0.46,0.55,3,10.5,67.6,66.3,0.52,0.004,0.039,0.545,13,,13,0.3318,0.0,0.0,28.6,1.3,27078.0
47033,TN,Crockett County,143.0,2026,19.2,170.0,2019,28.5,4729,2022,,7.0,2.88,156.2,17,2.075,5.44,0.7,0.58,3,7.9,70.9,69.8,0.32,0.053,,0.779,1693,1.3,530,0.6898,0.0,0.0,26.6,0.4,5921.0
47035,TN,Cumberland County,94.0,2026,80.8,,,40.5,5023,2022,,4.4,,127.1,13,2.266,,,,,9.9,65.2,64.2,0.45,0.005,0.005,0.086,840,2.4,1049,0.1945,0.0,0.0,28.6,1.2,24145.0
47037,TN,Davidson County,76.5,2023,27.5,,,30.5,12414,2022,,6.7,,,,,,,2.05,,4.6,70.2,68.5,0.53,,0.064,0.13,0,,,0.1927,1.6,0.0,26.4,2.0,3911.0
47039,TN,Decatur County,75.0,2026,29.3,,,38.0,2946,2022,,5.9,,152.1,10,4.486,19.01,1.74,1.5,,5.7,70.0,68.5,0.58,,0.052,0.384,324,1.2,122,0.265,0.0,0.0,27.2,0.8,8084.0
47041,TN,DeKalb County,106.0,2026,112.0,182.0,2012,43.0,4806,2022,,7.3,,,,,3.89,1.08,1.37,,8.8,68.1,66.8,0.58,0.011,0.01,0.277,60,,0,0.2754,0.0,0.0,27.7,0.6,16551.0
47043,TN,Dickson County,61.0,2026,-3.2,,,18.0,5919,2022,,7.1,,,,,9.6,1.34,1.17,,4.3,69.1,67.3,0.64,0.007,0.003,0.126,461,1.5,0,0.1682,0.0,0.0,26.0,1.8,16994.0
47045,TN,Dyer County,161.0,2026,23.8,163.0,2020,42.0,4619,2022,,6.5,3.12,160.1,15,1.996,5.58,0.75,0.58,2,7.0,71.3,70.2,0.29,,0.006,0.593,1428,0.6,343,0.6897,0.0,0.0,25.3,0.5,6348.0
47047,TN,Fayette County,105.0,2026,50.0,125.0,2026,24.5,4273,2022,,4.8,1.83,159.5,17,1.989,6.22,0.78,0.59,4,6.6,71.2,70.2,0.25,0.082,,0.596,7546,6.0,1613,0.4208,33.3,0.0,27.1,1.1,15031.0
47049,TN,Fentress County,39.5,2026,-35.2,,,32.5,4211,2022,,3.9,,122.2,13,3.019,,,,,5.7,65.8,64.2,0.62,0.005,0.014,0.081,0,,,0.2652,0.0,0.0,28.8,0.6,35972.0
47051,TN,Franklin County,173.0,2026,44.2,,,49.5,5951,2022,,7.7,2.08,172.3,18,3.509,5.57,0.63,0.77,3,11.6,68.1,66.7,0.53,0.02,0.026,0.571,388,0.6,218,0.3491,0.0,0.0,29.2,0.7,14917.0
47053,TN,Gibson County,153.0,2026,20.5,175.0,2023,55.5,4365,2022,,4.3,3.32,154.9,18,2.334,6.24,0.65,0.66,7,8.0,70.7,69.5,0.32,,0.014,0.714,4871,2.0,1954,0.6116,2.3,0.0,26.8,1.1,13393.0
47055,TN,Giles County,64.5,2026,-16.2,,,31.0,5260,2022,,9.9,,163.3,17,2.314,5.34,0.59,0.65,2,10.6,68.1,67.1,0.43,0.024,0.024,0.254,2033,3.3,310,0.2896,0.0,0.0,27.3,0.6,55682.0
47057,TN,Grainger County,27.0,2026,8.0,205.0,2013,26.0,5809,2022,,8.9,,133.6,16,2.877,,,2.51,,7.3,67.0,65.7,0.49,0.036,0.009,0.161,12,,5,0.2395,0.0,0.0,24.3,0.3,21415.0
47059,TN,Greene County,57.0,2026,26.7,,,36.5,6423,2022,,7.4,,146.3,16,3.035,3.66,0.48,1.5,,8.3,66.5,65.2,0.42,0.008,0.036,0.07,0,,0,0.2775,13.9,0.0,24.5,1.4,61044.0
47061,TN,Grundy County,53.5,2026,-6.1,,,33.5,4988,2022,,7.6,,,,,6.67,0.88,0.72,,11.2,66.1,64.8,0.51,0.062,0.045,0.247,20,,20,0.2102,0.0,0.0,30.0,0.3,5185.0
47063,TN,Hamblen County,48.5,2026,-30.7,,,22.0,6809,2022,,4.3,,,,,7.14,0.7,0.92,,8.0,67.6,66.3,0.47,,0.017,0.192,21,,1,0.4725,0.0,0.0,23.7,0.5,13066.0
47065,TN,Hamilton County,28.5,2026,-5.0,,,26.5,8551,2022,"{'own_pct': -13.2, 'nb_pct': 30.1, 'n': 10, 'dir': 'fell'}",,,,,,,,,,13.0,69.4,67.9,0.5,,0.023,0.048,0,,0,0.2095,10.1,0.0,27.0,1.1,8569.0
47067,TN,Hancock County,23.0,2026,-4.2,,,20.0,3190,2022,,3.7,,,,,,,2.2,,6.7,65.6,64.5,0.45,0.006,0.054,0.021,0,,0,0.3383,0.0,0.0,25.3,0.4,12418.0
47069,TN,Hardeman County,110.0,2026,48.6,,,30.0,2804,2022,,4.1,,141.7,12,4.041,7.01,0.91,0.67,3,6.2,70.6,69.4,0.36,0.027,0.026,0.476,3751,9.5,847,0.1845,18.3,0.0,27.5,0.8,8461.0
47071,TN,Hardin County,91.5,2026,38.6,,,18.0,3021,2022,,6.2,,143.4,14,3.37,14.69,1.19,0.98,5,6.8,69.8,68.2,0.43,0.077,0.008,0.432,2008,5.4,115,0.1813,0.0,0.0,27.1,1.2,10826.0
47073,TN,Hawkins County,25.5,2026,-17.7,,,23.0,5015,2022,,6.1,,130.0,15,1.252,,,2.29,,7.1,66.4,65.2,0.45,0.007,0.054,0.048,0,,0,0.2474,0.0,0.0,24.5,0.9,28323.0
47075,TN,Haywood County,152.0,2026,21.6,205.0,2026,40.5,3625,2022,,1.8,,170.6,16,3.263,4.81,0.68,0.58,4,6.8,71.1,70.1,0.3,0.154,0.009,0.592,6849,3.3,1586,0.628,10.2,0.0,26.7,0.6,
47077,TN,Henderson County,92.5,2026,26.7,,,42.5,2956,2022,,3.2,,151.7,13,3.694,6.76,0.98,0.74,3,5.9,70.0,68.6,0.47,0.006,0.077,0.467,3092,7.0,487,0.214,6.5,0.0,27.3,1.2,17529.0
47079,TN,Henry County,141.0,2026,25.9,185.0,2013,35.5,4384,2022,,5.7,2.65,169.9,18,3.237,6.53,0.67,0.89,6,6.6,70.7,68.9,0.55,0.047,0.012,0.603,3735,3.7,296,0.3186,6.8,0.0,26.6,1.0,13907.0
47081,TN,Hickman County,40.0,2026,-37.5,,,30.0,4098,2022,,5.4,,163.5,13,4.054,14.17,1.32,1.22,,5.2,68.7,67.3,0.56,,,0.381,227,0.6,24,0.2414,0.0,0.0,27.2,1.1,17856.0
47083,TN,Houston County,64.5,2026,,,,21.5,3906,2022,,3.9,,,,,,,,,5.2,69.9,68.2,0.66,,,0.033,0,,,0.3205,0.0,0.0,26.9,0.2,13611.0
47085,TN,Humphreys County,61.5,2026,30.9,,,17.0,3358,2022,,3.8,1.71,154.1,14,1.981,10.08,1.13,0.83,,5.7,69.7,68.0,0.7,0.042,,0.062,373,1.7,0,0.1074,0.0,0.0,27.0,0.4,15801.0
47087,TN,Jackson County,40.0,2026,-3.6,,,35.5,4084,2022,,5.6,,,,,34.25,1.5,1.48,,5.8,68.0,66.7,0.56,,0.04,0.094,4,,4,0.1845,0.0,0.0,27.1,0.6,11235.0
47089,TN,Jefferson County,57.5,2026,30.7,,,22.5,6648,2022,,5.2,,,,,18.73,0.96,1.3,,8.7,68.5,66.9,0.61,,0.013,0.159,0,,,0.255,2.0,0.0,23.8,0.8,23159.0
47091,TN,Johnson County,30.0,2026,-6.2,,,17.5,6031,2022,,8.7,,,,,,,1.94,,8.3,60.7,59.6,0.47,0.013,0.026,0.064,0,,,0.2079,0.0,0.0,27.5,0.2,5069.0
47093,TN,Knox County,35.5,2026,31.5,,,19.5,12302,2022,,4.6,,,,,,,,,8.3,68.8,67.5,0.47,0.011,0.007,0.065,0,,0,0.2962,0.0,0.0,25.4,2.2,11623.0
47095,TN,Lake County,196.0,2026,34.2,223.0,2026,,4535,2022,,5.3,,161.4,12,1.512,5.4,0.66,0.62,4,7.1,71.3,70.2,0.33,0.224,,0.873,102,0.2,26,0.7186,177.0,0.0,25.3,0.2,
47097,TN,Lauderdale County,135.0,2026,13.4,160.0,2013,52.0,3838,2022,,2.5,3.15,158.4,18,2.001,5.73,0.56,0.61,6,7.4,71.6,70.8,0.2,,0.0,0.633,3633,2.1,1564,0.6296,2.5,0.0,25.8,0.7,8168.0
47099,TN,Lawrence County,131.0,2026,59.8,,,26.5,4579,2022,,6.8,,169.4,18,2.065,7.25,0.8,0.77,4,7.6,68.0,66.6,0.57,0.022,0.046,0.593,1835,1.8,151,0.3273,0.0,0.0,27.4,1.5,42232.0
47101,TN,Lewis County,31.0,2026,,,,17.0,3635,2022,,4.9,,,,,,,,,6.0,68.1,66.8,0.57,0.002,0.012,0.324,0,,0,0.1849,0.0,0.0,28.1,0.4,3855.0
47103,TN,Lincoln County,155.0,2026,96.2,,,29.0,5222,2022,,7.3,,166.2,17,3.072,4.51,0.47,0.49,2,11.0,68.6,67.4,0.46,0.048,0.073,0.469,470,0.5,232,0.3252,150.0,0.0,28.1,0.7,69050.0
47105,TN,Loudon County,70.0,2026,29.6,,,39.5,7931,2022,,6.9,,,,,10.76,0.79,0.91,,9.3,69.0,67.8,0.45,,0.014,0.254,32,,0,0.2839,0.0,0.0,26.4,0.9,17111.0
47111,TN,Macon County,135.0,2026,3.8,,,33.5,5897,2022,,9.4,,153.8,16,3.573,45.08,1.12,1.59,22,3.7,67.7,66.5,0.59,,0.006,0.248,0,,0,0.2448,0.0,0.0,27.5,0.8,24544.0
47113,TN,Madison County,142.0,2026,37.9,195.0,2023,26.5,3099,2022,,-1.0,3.84,169.8,17,2.944,5.5,0.71,0.55,4,6.6,70.5,69.3,0.38,0.058,0.006,0.639,7697,7.6,3110,0.4096,87.0,0.0,27.4,1.8,4693.0
47115,TN,Marion County,59.0,2026,-21.3,,,24.5,5249,2022,,10.0,,164.4,15,5.047,7.62,0.81,0.68,,12.3,67.9,66.7,0.41,,0.079,0.293,0,,0,0.3368,0.0,0.0,29.1,0.8,6633.0
47117,TN,Marshall County,70.0,2026,40.0,,,19.0,5660,2022,,10.1,,159.2,14,5.893,9.2,0.87,0.91,,9.9,68.7,67.0,0.44,,0.016,0.252,47,,0,0.2135,0.0,0.0,27.2,0.6,31166.0
47119,TN,Maury County,86.5,2026,15.3,,,22.5,5916,2022,,7.9,,166.1,16,3.501,13.96,1.24,1.14,,8.2,68.6,67.1,0.48,,0.015,0.331,1149,1.7,21,0.3196,0.0,0.0,27.1,1.0,38692.0
47107,TN,McMinn County,70.0,2026,60.9,,,40.5,5610,2022,,3.8,,158.1,13,1.073,11.48,0.78,1.02,,13.0,69.2,67.3,0.63,0.005,0.011,0.181,44,,0,0.2169,5.3,0.0,27.2,1.1,25748.0
47109,TN,McNairy County,65.0,2026,47.7,,,24.5,2954,2022,,6.0,,130.8,13,1.803,9.9,1.15,0.86,3,6.6,70.3,68.9,0.42,,0.007,0.532,3025,7.6,366,0.2094,55.6,0.0,27.6,0.7,8537.0
47121,TN,Meigs County,25.0,2026,-30.6,,,21.5,5327,2022,,9.9,,141.3,13,4.103,17.41,1.14,1.16,,12.2,69.2,67.5,0.6,0.006,0.092,0.153,53,,0,0.1639,0.0,0.0,27.3,0.4,9219.0
