fips,state,county,rent_dry_usd_ac,rent_dry_year,rent_dry_chg10_pct,rent_irr_usd_ac,rent_irr_year,rent_pasture_usd_ac,value_usd_ac,value_year,value_flag,value_cagr_pct,rent_to_value_pct,corn_yield_median_bu_ac,corn_yield_years,corn_yield_trend_bu_yr,claims_per_100_usd,loss_ratio_last10,loss_ratio_all,years_loss_over_1,d2_week_share_pct,jul_low_recent_f,jul_low_normal_f,jul_low_trend_f_decade,irrigated_share_2022,tile_share_2022,notill_share_2022,crp_acres,crp_share_pct,crp_expiring_next3_acres,rented_share_2022,solar_mw,wind_mw,gs_rain_normal_in,hail_1in_days_yr,cattle_2022
48001,TX,Anderson County,29.0,2026,81.2,,,18.5,3818,2022,,6.1,,,,,51.29,1.98,1.93,,15.3,73.6,72.7,0.52,0.037,0.0,0.047,0,,,0.2232,0.0,0.0,21.2,2.3,54772.0
48003,TX,Andrews County,22.5,2022,,,,2.9,1595,2022,,15.2,,,,,61.68,2.79,2.13,15,29.3,70.1,68.8,0.73,,0.0,,26337,,17191,0.6499,1070.0,160.7,9.8,1.9,11360.0
48005,TX,Angelina County,11.0,2024,10.0,,,19.0,4498,2022,,4.3,,,,,,,,,8.7,73.5,72.5,0.49,,0.0,0.037,0,,0,0.1727,180.0,0.0,24.7,1.3,11778.0
48007,TX,Aransas County,,,,,,5.0,1831,2022,,1.7,,,,,15.07,0.82,0.99,,17.5,78.8,77.7,0.53,,0.0,0.042,0,,,,0.0,0.0,20.9,0.3,2099.0
48009,TX,Archer County,33.5,2026,21.8,,,12.5,2017,2022,,6.3,,,,,37.64,1.36,1.33,7,21.6,72.8,72.6,0.12,0.007,0.0,0.204,19,,19,0.3919,0.0,228.6,17.9,2.7,74444.0
48011,TX,Armstrong County,35.5,2026,39.2,60.5,2023,8.1,1307,2022,,7.1,,,,,39.46,1.29,1.31,11,22.9,68.6,67.4,0.32,0.087,0.0,0.04,45368,47.3,0,0.4366,0.0,265.5,14.5,2.6,38091.0
48013,TX,Atascosa County,19.0,2026,22.6,140.0,2025,12.0,2767,2022,,3.9,,,,,15.42,1.45,1.29,,26.6,74.2,73.6,0.4,0.35,0.0,0.054,436,1.3,0,0.3252,0.0,0.0,16.4,1.2,65442.0
48015,TX,Austin County,38.0,2026,65.2,,,12.5,6189,2022,,9.6,,91.2,11,1.638,16.61,1.0,0.95,,17.5,75.3,73.8,0.72,0.043,0.006,0.04,54,,0,0.358,10.0,0.0,23.5,0.4,61617.0
48017,TX,Bailey County,48.0,2026,28.0,124.0,2026,6.4,1912,2022,,17.5,,,,,42.51,1.27,1.32,23,23.6,65.4,64.2,0.6,0.361,0.0,0.072,92272,52.8,29198,0.2292,0.0,148.4,12.7,1.5,128705.0
48019,TX,Bandera County,10.0,2025,13.6,,,5.1,4341,2022,,11.4,,,,,,,,,45.6,71.6,70.7,0.56,0.095,,0.138,0,,,0.2755,0.0,0.0,18.4,1.5,5300.0
48021,TX,Bastrop County,24.5,2026,81.5,,,12.5,6225,2022,,8.6,,,,,23.18,1.1,1.25,,23.2,74.6,73.2,0.58,0.246,0.0,0.045,29,,0,0.366,200.0,0.0,19.2,1.8,46801.0
48023,TX,Baylor County,30.5,2026,8.9,31.5,2017,11.0,2007,2022,,14.2,,,,,36.23,1.43,1.44,11,25.4,73.0,72.7,0.09,0.066,0.0,0.021,399,1.0,0,0.4364,0.0,380.8,17.1,2.4,44569.0
48025,TX,Bee County,56.0,2026,40.0,53.0,2011,9.9,2674,2022,,5.5,,68.5,14,1.718,21.95,0.89,1.11,9,24.3,74.6,74.2,0.25,0.078,0.0,0.02,0,,0,0.3868,300.7,507.8,18.4,0.8,30262.0
48027,TX,Bell County,46.0,2026,29.6,,,19.0,4587,2022,,6.9,,80.4,18,2.584,14.88,0.96,0.92,8,26.8,74.4,73.0,0.56,0.009,0.0,0.103,91,,0,0.5401,780.8,0.0,18.4,3.0,51483.0
48029,TX,Bexar County,30.0,2026,71.4,72.5,2026,14.5,7540,2022,,4.9,,78.6,18,0.405,16.08,1.0,0.88,,32.9,74.1,73.4,0.42,0.136,0.0,0.026,0,,,0.3606,102.8,0.0,17.9,3.6,31702.0
48031,TX,Blanco County,14.0,2026,3.7,,,7.3,3342,2022,,2.3,,,,,,,,,34.5,72.6,71.8,0.41,0.154,0.22,0.223,0,,,0.3852,0.0,0.0,18.2,1.4,15356.0
48033,TX,Borden County,35.5,2026,,,,5.4,1141,2022,,5.3,,,,,63.49,1.3,1.44,18,23.9,71.4,70.6,0.35,,0.0,,1814,,605,0.4308,530.6,798.0,13.4,1.3,13175.0
48035,TX,Bosque County,26.0,2026,79.3,,,11.0,3405,2022,,6.5,,,,,42.27,2.4,1.75,,22.3,74.3,73.1,0.4,0.094,0.0,0.06,0,,0,0.2025,490.9,0.0,18.8,2.3,47253.0
48037,TX,Bowie County,23.5,2026,17.5,,,21.5,3614,2022,,3.8,,,,,33.06,1.45,1.33,10,12.5,73.3,71.7,0.64,0.055,0.0,0.024,330,0.7,0,0.2084,0.0,0.0,24.3,2.3,59834.0
48039,TX,Brazoria County,34.0,2026,38.8,60.0,2026,16.5,5440,2022,,3.1,,,,,16.3,1.19,1.3,13,14.4,76.9,75.5,0.59,0.27,,0.022,0,,,0.5101,818.1,0.0,28.1,0.9,59766.0
48041,TX,Brazos County,30.5,2026,-11.6,89.0,2023,13.0,6022,2022,,1.1,,,,,18.56,1.13,1.27,6,16.3,74.6,73.3,0.62,0.179,0.0,0.031,0,,,0.5714,0.0,0.0,20.4,1.3,51794.0
48043,TX,Brewster County,,,,,,1.5,1376,2022,,15.1,,,,,,,,,26.8,69.3,68.4,0.56,,0.0,0.042,0,,0,0.5525,50.0,0.0,9.2,2.9,23891.0
48045,TX,Briscoe County,20.0,2026,25.0,62.0,2024,6.5,1146,2022,,5.1,,,,,42.6,1.15,1.21,18,25.8,69.6,68.5,0.45,,0.0,0.115,49270,,0,0.5985,0.0,350.0,15.2,1.8,45616.0
48047,TX,Brooks County,8.1,2023,-46.0,,,7.9,1945,2022,,4.6,,,,,,,2.92,,23.2,75.8,74.9,0.55,0.199,0.0,0.016,73,,0,0.123,10.0,0.0,15.8,0.5,19494.0
48049,TX,Brown County,16.5,2026,37.5,37.5,2019,11.5,3221,2022,,6.0,,,,,27.17,0.97,1.11,,21.5,72.4,71.3,0.41,0.073,0.0,0.108,0,,0,0.3636,320.0,0.0,17.1,3.3,34968.0
48051,TX,Burleson County,23.5,2025,-6.0,124.0,2022,8.5,4731,2022,,6.7,,102.9,15,2.681,11.36,0.82,0.96,7,19.7,74.7,73.3,0.69,0.143,,0.022,0,,,0.3874,0.0,0.0,19.9,1.1,61788.0
48053,TX,Burnet County,15.0,2025,20.0,,,10.5,3738,2022,,4.7,,,,,,,,,28.9,73.5,72.4,0.44,0.181,0.0,0.048,0,,,0.5417,0.0,0.0,17.3,2.1,24265.0
48055,TX,Caldwell County,33.0,2026,65.0,32.5,2022,12.5,4814,2022,,4.7,,94.0,14,-0.464,14.7,0.87,1.08,,27.6,74.8,73.3,0.58,0.046,0.0,0.019,0,,0,0.4353,0.0,0.0,18.4,0.9,35822.0
48057,TX,Calhoun County,51.5,2026,21.2,55.0,2011,15.0,3345,2022,,9.3,,88.5,16,3.202,17.17,1.19,1.11,11,17.7,77.9,76.8,0.55,,0.0,0.013,0,,0,0.7174,196.3,0.0,22.2,0.1,12737.0
48059,TX,Callahan County,16.0,2026,73.9,,,9.4,2550,2022,,8.0,,,,,39.25,1.3,1.17,,21.8,72.0,71.3,0.31,,0.0,0.098,148,0.8,38,0.3518,0.0,602.9,17.5,2.8,33909.0
48061,TX,Cameron County,59.5,2026,26.6,94.0,2026,3.5,4268,2022,,3.7,,95.0,9,,18.95,1.26,1.16,20,21.4,77.4,76.5,0.5,0.513,0.008,0.007,1747,1.3,1166,0.6304,180.0,1005.3,15.8,0.8,9645.0
48063,TX,Camp County,22.0,2026,18.9,,,18.5,4749,2022,,7.6,,,,,72.85,1.29,1.63,,15.6,73.2,72.2,0.4,0.066,0.0,0.027,0,,,0.2998,0.0,0.0,22.5,0.5,22087.0
48065,TX,Carson County,48.0,2026,100.0,79.5,2025,10.0,1561,2022,,2.8,,186.2,13,1.758,24.47,1.31,1.25,15,23.9,67.6,66.6,0.38,0.406,0.0,0.209,18347,10.6,2012,0.4443,0.0,1211.5,14.7,4.5,13539.0
48067,TX,Cass County,18.0,2026,-5.3,,,16.0,3571,2022,,8.8,,,,,,,,,15.3,73.2,72.4,0.44,0.02,0.014,0.039,0,,,0.2309,0.0,0.0,23.8,1.7,20089.0
48069,TX,Castro County,49.0,2026,75.0,145.0,2026,19.5,2130,2022,,9.1,,207.4,9,,30.42,1.9,1.43,18,26.3,66.1,64.5,0.55,0.568,0.0,0.185,65239,24.8,156,0.3216,0.0,442.4,13.7,1.7,582951.0
48071,TX,Chambers County,22.0,2026,18.9,65.0,2026,12.0,3315,2022,,7.0,,,,,55.34,2.08,2.0,14,9.0,76.4,75.7,0.36,0.656,0.0,0.055,0,,,0.5651,0.0,0.0,31.1,0.2,26562.0
48073,TX,Cherokee County,18.0,2026,24.1,,,17.5,4007,2022,,5.2,,,,,,,0.28,,12.6,73.2,72.6,0.44,0.028,,0.013,0,,,0.3497,0.0,0.0,22.4,2.0,59225.0
48075,TX,Childress County,25.0,2026,38.9,26.0,2026,9.5,1687,2022,,12.8,,,,,46.89,1.66,1.54,15,28.2,71.8,70.9,0.29,0.155,0.0,0.045,13493,32.0,5,0.3338,571.6,0.0,16.8,3.1,12243.0
48077,TX,Clay County,26.5,2026,1.9,,,12.5,2259,2022,,3.3,,,,,31.15,1.17,1.32,,21.8,72.8,72.5,0.22,0.054,0.0,0.096,3242,6.6,31,0.2818,0.0,204.0,19.3,2.6,92997.0
48079,TX,Cochran County,34.0,2026,21.4,140.0,2023,6.7,1417,2022,,8.9,,,,,52.69,1.61,1.5,24,26.0,65.8,64.9,0.47,0.571,0.0,0.179,77893,46.8,6200,0.4269,0.0,150.0,11.9,1.1,2743.0
48081,TX,Coke County,30.0,2026,130.8,,,6.4,1542,2022,,9.9,,,,,40.94,1.36,1.42,,19.2,71.9,71.1,0.59,,0.0,0.069,0,,0,0.3165,0.0,525.0,13.9,1.8,9461.0
48083,TX,Coleman County,18.5,2026,68.2,,,11.0,2174,2022,,5.8,,,,,50.61,1.76,1.33,,19.5,71.9,71.1,0.39,,0.0,0.188,76,,0,0.416,0.0,0.0,16.6,3.7,40787.0
48085,TX,Collin County,31.5,2026,90.9,,,11.0,13066,2022,,5.6,,68.7,16,0.549,29.41,0.95,1.1,12,17.9,75.4,73.7,0.65,0.012,,0.098,0,,0,0.5537,7.7,0.0,20.3,4.8,34815.0
48087,TX,Collingsworth County,40.5,2026,161.3,,,8.0,1213,2022,,3.6,,,,,30.24,1.48,1.57,16,24.2,70.1,69.5,0.15,0.239,0.0,0.133,16653,25.1,1967,0.3909,0.0,0.0,16.8,2.8,19168.0
48089,TX,Colorado County,56.5,2026,232.4,106.0,2026,15.5,4396,2022,,7.9,,102.2,17,2.818,22.74,2.45,2.27,17,18.4,75.5,73.8,0.76,0.489,0.0,0.05,26,,0,0.3718,0.0,0.0,23.2,0.6,57206.0
48091,TX,Comal County,12.5,2026,13.6,,,3.2,5507,2022,,10.0,,,,,,,1.06,,34.3,73.6,72.7,0.45,0.089,0.0,0.065,0,,,0.3495,0.0,0.0,18.8,1.7,7011.0
48093,TX,Comanche County,35.0,2026,89.2,47.0,2021,15.5,3754,2022,,7.3,,,,,24.73,1.06,1.3,5,25.4,72.7,71.4,0.42,0.274,,0.11,0,,,0.317,0.0,200.1,17.8,1.6,117228.0
48095,TX,Concho County,27.0,2026,-8.5,74.0,2023,6.4,2193,2022,,8.3,,,,,49.15,1.7,1.52,11,19.2,71.5,70.5,0.56,0.092,0.0,0.231,3592,8.3,249,0.6213,360.0,640.0,15.2,1.6,17922.0
48097,TX,Cooke County,31.0,2026,55.0,,,17.5,4391,2022,,5.8,,76.0,10,0.86,11.8,0.68,0.8,,16.3,74.0,72.9,0.43,0.098,0.0,0.079,0,,,0.4273,64.2,413.4,21.4,3.1,92296.0
48099,TX,Coryell County,20.0,2026,25.0,,,12.5,3621,2022,,6.8,,,,,19.91,0.98,0.99,,25.0,73.9,72.6,0.28,0.043,0.0,0.208,0,,,0.4554,0.0,0.0,18.2,2.4,63294.0
48101,TX,Cottle County,23.5,2026,-2.1,,,10.0,1059,2022,,-0.9,,,,,65.37,1.66,1.57,12,29.8,72.0,71.0,0.25,0.083,0.0,0.057,21148,44.8,243,0.4186,0.0,0.0,16.1,2.0,23792.0
48103,TX,Crane County,,,,,,1.9,1444,2022,,11.2,,,,,,,,,23.8,72.8,71.9,0.63,,0.0,0.0,60,,0,0.7101,150.0,0.0,8.6,1.1,3756.0
48105,TX,Crockett County,,,,,,3.8,1050,2022,,5.3,,,,,,,,,19.6,72.3,71.3,0.56,0.804,0.0,,392,11.7,0,0.6779,0.0,1024.5,11.7,1.7,23971.0
48107,TX,Crosby County,55.0,2026,41.0,69.0,2026,4.7,1357,2022,,6.9,,,,,36.78,1.68,1.44,16,27.4,69.6,68.6,0.41,0.399,,0.216,23115,20.7,2844,0.4699,0.0,367.3,14.5,2.0,9286.0
48109,TX,Culberson County,12.5,2013,,,,0.6,1192,2022,,10.1,,,,,24.74,1.92,1.49,,33.8,68.2,67.0,0.69,0.655,0.0,0.013,0,,0,0.6596,482.0,0.0,8.1,0.9,26107.0
48111,TX,Dallam County,20.5,2026,-63.1,127.0,2026,11.5,1909,2022,,11.0,,179.9,16,-1.882,26.14,1.75,1.43,17,29.0,63.4,62.9,0.36,0.695,0.0,0.131,84553,26.5,798,0.3679,0.0,0.0,12.0,2.7,383651.0
48113,TX,Dallas County,19.5,2023,5.4,,,13.5,8455,2022,,0.9,0.16,,,,29.2,1.46,1.11,,16.9,75.9,74.6,0.53,0.041,0.0,0.11,0,,,0.5636,6.1,0.0,19.6,5.3,14533.0
48115,TX,Dawson County,48.0,2025,12.9,109.0,2023,13.5,1359,2022,,5.5,3.79,,,,53.3,1.4,1.32,19,26.5,69.6,68.8,0.31,,0.0,0.047,57674,,5477,0.57,152.0,211.2,11.8,1.3,3358.0
48117,TX,Deaf Smith County,31.5,2026,37.0,101.0,2026,11.0,1838,2022,,10.3,1.52,173.2,17,0.27,24.1,1.07,1.28,22,26.0,65.6,64.0,0.6,,0.0,0.108,152918,,629,0.3328,0.0,709.8,13.4,3.9,700069.0
48119,TX,Delta County,24.0,2026,-9.4,,,21.5,4144,2022,,16.1,,,,,24.69,1.26,1.08,9,18.7,73.5,72.7,0.49,,,0.057,206,0.6,32,0.4278,204.5,0.0,22.5,0.6,14106.0
48121,TX,Denton County,22.0,2026,10.0,,,14.5,12287,2022,,5.2,,,,,29.08,1.16,1.09,8,18.8,75.6,74.3,0.57,0.021,0.0,0.172,0,,,0.4901,524.5,0.0,20.0,5.3,28204.0
