fips,state,county,rent_dry_usd_ac,rent_dry_year,rent_dry_chg10_pct,rent_irr_usd_ac,rent_irr_year,rent_pasture_usd_ac,value_usd_ac,value_year,value_flag,value_cagr_pct,rent_to_value_pct,corn_yield_median_bu_ac,corn_yield_years,corn_yield_trend_bu_yr,claims_per_100_usd,loss_ratio_last10,loss_ratio_all,years_loss_over_1,d2_week_share_pct,jul_low_recent_f,jul_low_normal_f,jul_low_trend_f_decade,irrigated_share_2022,tile_share_2022,notill_share_2022,crp_acres,crp_share_pct,crp_expiring_next3_acres,rented_share_2022,solar_mw,wind_mw,gs_rain_normal_in,hail_1in_days_yr,cattle_2022
49001,UT,Beaver County,,,,96.5,2024,9.8,3779,2022,,11.2,,,,,,,0.76,,23.5,59.0,57.3,0.74,0.984,0.004,0.006,0,,,0.1501,363.1,305.5,6.0,0.2,21998.0
49003,UT,Box Elder County,35.0,2026,-11.4,165.0,2026,6.1,2495,2022,,10.2,,,,,11.25,1.12,1.07,6,32.5,60.8,58.1,1.08,0.611,0.106,0.024,100250,45.3,944,0.198,163.1,0.0,6.0,0.4,80926.0
49005,UT,Cache County,37.0,2026,-7.5,105.0,2026,13.0,7620,2022,,9.5,,,,,12.63,1.2,0.9,,25.7,55.7,53.6,0.88,0.7,0.057,0.068,9570,9.9,116,0.2893,0.0,0.0,10.8,0.3,51836.0
49007,UT,Carbon County,,,,88.5,2026,2.4,2617,2022,,16.1,,,,,,,,,31.0,56.1,54.4,0.77,0.995,,0.019,0,,,0.4317,80.0,0.0,7.2,0.4,9919.0
49009,UT,Daggett County,,,,,,5.3,3609,2022,,5.4,,,,,,,,,27.8,51.8,50.6,0.43,0.995,0.0,0.063,0,,,0.1585,0.0,0.0,8.2,0.1,1695.0
49011,UT,Davis County,41.5,2021,80.4,153.0,2026,17.0,14480,2022,,9.2,,,,,,,,,29.1,63.2,60.6,0.95,0.856,0.129,0.026,0,,,0.1203,1.3,0.0,10.5,0.4,3124.0
49013,UT,Duchesne County,40.0,2026,,117.0,2026,15.0,1649,2022,,11.1,,,,,,,,,28.7,52.7,50.8,0.7,0.983,0.013,0.028,0,,,0.048,0.0,0.0,8.7,0.6,46281.0
49015,UT,Emery County,20.0,2026,73.9,106.0,2026,5.4,6319,2022,"{'own_pct': 200.8, 'nb_pct': 60.4, 'n': 6, 'dir': 'rose'}",,,,,,,,,,34.0,62.4,60.9,0.72,0.908,,0.052,0,,,0.2753,440.0,0.0,4.9,0.4,18962.0
49017,UT,Garfield County,47.0,2021,,95.5,2026,2.3,4398,2022,,7.1,,,,,,,,,33.3,59.4,58.0,0.74,0.92,0.0,0.043,0,,,0.2253,0.0,0.0,6.3,0.4,11087.0
49019,UT,Grand County,,,,60.5,2021,,1110,2022,,6.1,,,,,,,,,34.7,64.0,62.0,0.78,0.999,0.0,0.04,0,,,0.0277,0.0,0.0,6.0,0.3,4491.0
49021,UT,Iron County,23.0,2025,,128.0,2026,2.8,3525,2022,,12.5,,,,,,,,,25.4,57.7,56.1,0.71,0.945,0.014,0.018,0,,,0.2943,857.4,0.0,6.4,0.3,37436.0
49023,UT,Juab County,11.0,2024,-26.7,61.0,2026,1.9,2646,2022,,14.8,,,,,,,1.77,,32.6,62.0,60.0,0.83,0.787,,0.026,7448,30.5,0,0.2239,80.0,0.0,5.5,0.2,17771.0
49025,UT,Kane County,9.2,2010,,107.0,2026,2.9,4475,2022,,19.8,,,,,,,,,34.6,62.5,61.1,0.8,0.997,,0.063,0,,,0.3078,0.0,0.0,5.2,0.1,8998.0
49027,UT,Millard County,15.0,2026,,135.0,2026,4.8,3334,2022,,10.3,,,,,11.62,1.15,0.79,,27.0,62.0,60.1,0.76,0.92,0.079,0.026,5642,7.2,0,0.2034,120.0,0.0,5.0,0.1,51441.0
49029,UT,Morgan County,27.5,2026,27.9,95.5,2026,1.9,2791,2022,,4.9,,,,,,,,,24.2,55.5,53.2,0.81,0.52,,0.046,0,,,0.4211,0.0,0.0,10.1,0.1,8234.0
49031,UT,Piute County,32.0,2025,128.6,90.0,2026,26.0,4020,2022,,14.1,,,,,,,,,28.9,52.6,51.2,0.56,0.952,0.0,0.022,0,,,0.1443,0.0,0.0,8.2,0.0,18375.0
49033,UT,Rich County,34.5,2025,115.6,75.5,2026,10.0,1451,2022,,10.7,,,,,,,,,26.5,50.3,48.7,0.72,0.969,0.0,,7362,17.4,0,0.1318,57.6,0.0,8.0,0.0,38508.0
49035,UT,Salt Lake County,41.0,2023,148.5,121.0,2026,4.7,13993,2022,,7.6,,,,,,,,,26.2,63.2,60.8,1.0,0.672,,,0,,,0.488,31.3,0.0,9.5,0.8,1442.0
49037,UT,San Juan County,33.5,2010,,59.0,2020,3.3,748,2022,,15.3,,,,,21.5,1.04,1.15,,34.1,64.7,63.3,0.73,0.093,0.004,0.085,22322,38.3,6,0.0617,72.0,62.1,4.9,0.4,18070.0
49039,UT,Sanpete County,23.0,2025,24.3,128.0,2026,6.2,5012,2022,,12.2,,,,,,,1.8,,31.5,54.4,52.7,0.74,0.885,0.022,0.063,0,,,0.2635,1.5,0.0,8.2,0.0,52797.0
49041,UT,Sevier County,12.0,2026,-68.8,96.5,2026,14.0,5351,2022,,4.6,,,,,,,,,33.6,55.2,53.9,0.61,0.969,0.089,0.054,0,,,0.1964,80.0,0.0,7.8,0.0,39346.0
49043,UT,Summit County,31.0,2025,260.5,90.5,2026,5.1,4336,2022,,5.8,,,,,,,,,26.4,48.8,46.9,0.63,0.822,0.025,0.027,0,,,0.1727,0.0,0.0,11.5,0.1,22238.0
49045,UT,Tooele County,26.5,2025,,103.0,2026,1.2,3447,2022,,20.2,,,,,,,,,37.6,63.6,61.6,0.7,0.921,,0.029,0,,0,0.3151,158.0,3.2,5.3,0.5,20122.0
49047,UT,Uintah County,46.0,2026,,84.5,2026,6.4,901,2022,,7.4,,,,,,,0.8,,30.4,58.3,56.3,0.76,0.963,0.003,0.025,0,,0,0.0422,12.5,0.0,6.5,0.4,32470.0
49049,UT,Utah County,33.0,2026,-34.0,122.0,2026,14.0,15104,2022,,11.6,,,,,23.62,2.22,1.69,6,28.4,58.0,55.7,0.81,0.885,0.033,0.057,9209,12.4,0,0.2081,529.0,18.9,8.0,0.4,60188.0
49051,UT,Wasatch County,15.0,2019,,111.0,2026,16.0,8960,2022,,10.0,,,,,,,,,27.2,50.9,49.1,0.68,0.962,0.05,0.034,0,,,0.3735,0.0,0.0,9.9,0.1,8037.0
