fips,state,county,rent_dry_usd_ac,rent_dry_year,rent_dry_chg10_pct,rent_irr_usd_ac,rent_irr_year,rent_pasture_usd_ac,value_usd_ac,value_year,value_flag,value_cagr_pct,rent_to_value_pct,corn_yield_median_bu_ac,corn_yield_years,corn_yield_trend_bu_yr,claims_per_100_usd,loss_ratio_last10,loss_ratio_all,years_loss_over_1,d2_week_share_pct,jul_low_recent_f,jul_low_normal_f,jul_low_trend_f_decade,irrigated_share_2022,tile_share_2022,notill_share_2022,crp_acres,crp_share_pct,crp_expiring_next3_acres,rented_share_2022,solar_mw,wind_mw,gs_rain_normal_in,hail_1in_days_yr,cattle_2022
51001,VA,Accomack County,112.0,2026,33.3,115.0,2021,,5045,2022,,3.4,1.79,156.9,17,2.682,10.21,0.8,0.8,8,5.9,71.5,70.1,0.73,0.074,0.022,0.785,436,0.8,151,0.6051,84.3,0.0,24.1,0.8,214.0
51003,VA,Albemarle County,33.0,2026,40.4,,,26.5,9048,2022,,-1.8,,,,,32.16,0.94,1.12,9,3.5,67.4,65.6,0.73,0.033,0.01,0.108,366,1.1,147,0.2798,13.3,0.0,24.8,1.8,18134.0
51510,VA,Alexandria City,,,,,,,,,,,,,,,,,,,3.9,70.6,69.0,0.8,,,,0,,,,0.0,0.0,24.3,0.1,0.0
51005,VA,Alleghany County,33.0,2026,,,,16.0,3293,2022,"{'own_pct': -21.9, 'nb_pct': 28.6, 'n': 6, 'dir': 'fell'}",,,,,,,,,,1.7,63.0,61.6,0.55,0.001,,0.03,0,,0,0.2554,0.0,0.0,24.2,0.6,2898.0
51007,VA,Amelia County,43.5,2026,31.8,,,29.0,4304,2022,,6.8,,126.7,17,4.544,9.26,0.56,0.79,3,4.9,68.8,67.3,0.63,0.007,0.014,0.576,319,1.2,63,0.2873,10.0,0.0,24.8,0.7,11419.0
51009,VA,Amherst County,26.0,2026,8.3,,,16.0,5795,2022,,4.5,,,,,44.05,1.45,1.42,,4.1,66.5,64.7,0.68,,,0.031,65,,6,0.2847,4.9,0.0,25.6,1.3,11953.0
51011,VA,Appomattox County,32.5,2026,35.4,,,22.0,3591,2022,,3.0,,112.5,13,4.976,15.09,0.82,0.89,,4.0,67.6,65.8,0.7,0.003,0.015,0.172,38,,25,0.3125,15.7,0.0,23.9,0.5,16600.0
51013,VA,Arlington County,,,,,,,150000,2022,,-12.8,,,,,,,,,4.3,70.0,68.5,0.78,,,,0,,,,0.0,0.0,24.5,0.3,0.0
51015,VA,Augusta County,105.0,2026,87.5,82.5,2016,43.5,7594,2022,,1.6,,146.2,16,2.777,12.19,1.0,0.81,,3.5,63.2,61.6,0.44,,0.018,0.357,1551,1.8,331,0.4054,7.9,0.0,24.8,1.7,86078.0
51017,VA,Bath County,45.0,2026,91.5,,,35.0,4314,2022,,3.2,,,,,,,,,2.6,62.0,60.7,0.65,,,0.093,116,1.9,51,0.1642,5.0,0.0,24.8,0.5,3493.0
