fips,state,county,rent_dry_usd_ac,rent_dry_year,rent_dry_chg10_pct,rent_irr_usd_ac,rent_irr_year,rent_pasture_usd_ac,value_usd_ac,value_year,value_flag,value_cagr_pct,rent_to_value_pct,corn_yield_median_bu_ac,corn_yield_years,corn_yield_trend_bu_yr,claims_per_100_usd,loss_ratio_last10,loss_ratio_all,years_loss_over_1,d2_week_share_pct,jul_low_recent_f,jul_low_normal_f,jul_low_trend_f_decade,irrigated_share_2022,tile_share_2022,notill_share_2022,crp_acres,crp_share_pct,crp_expiring_next3_acres,rented_share_2022,solar_mw,wind_mw,gs_rain_normal_in,hail_1in_days_yr,cattle_2022
50001,VT,Addison County,65.5,2026,28.4,,,29.5,3832,2022,,2.8,1.54,,,,10.89,0.92,0.99,5,1.1,58.4,57.1,0.64,,0.053,0.086,603,0.6,45,0.2721,19.1,0.0,24.1,1.3,62820.0
50003,VT,Bennington County,59.5,2026,,,,,4177,2022,"{'own_pct': -12.4, 'nb_pct': 22.9, 'n': 7, 'dir': 'fell'}",,,,,,22.93,1.45,1.25,,0.4,56.4,54.5,0.93,0.092,0.018,0.069,18,,0,0.1052,4.2,36.0,26.5,0.6,2425.0
50005,VT,Caledonia County,52.0,2026,52.9,,,15.0,3395,2022,,1.2,,,,,,,,,1.5,55.3,54.1,0.63,0.007,0.046,0.127,31,,0,0.1544,6.0,40.0,24.9,0.8,12575.0
50007,VT,Chittenden County,47.0,2026,27.0,224.0,2020,34.0,6230,2022,,-0.5,,,,,12.04,1.07,1.38,,1.0,60.5,58.5,0.82,,0.047,0.087,69,,3,0.2051,33.5,10.0,24.6,1.1,7822.0
50009,VT,Essex County,,,,,,,2357,2022,,3.8,,,,,,,,,1.8,54.6,53.7,0.73,0.016,0.0,0.069,22,,22,0.2473,2.1,0.0,25.7,0.2,1256.0
50011,VT,Franklin County,90.0,2026,46.3,,,41.0,3906,2022,,4.6,,,,,10.19,0.95,1.27,,0.6,60.2,58.5,0.79,0.003,0.227,0.077,394,0.6,69,0.1667,9.2,0.0,25.4,0.9,47401.0
50013,VT,Grand Isle County,61.5,2026,,,,,7445,2022,,11.6,0.85,,,,10.63,1.05,1.22,,0.1,62.1,60.9,0.64,0.008,0.272,0.104,3,,,0.1832,1.0,0.0,22.1,0.3,5176.0
50015,VT,Lamoille County,62.0,2025,65.3,,,49.5,3508,2022,,0.1,,,,,,,0.99,,0.7,57.2,55.7,0.73,0.035,0.01,0.059,50,,3,0.2629,5.3,0.0,26.4,0.4,2813.0
50017,VT,Orange County,71.0,2026,-3.4,99.5,2020,26.0,4431,2022,,3.8,,,,,,,0.44,,1.4,56.0,54.6,0.69,0.007,0.02,0.102,68,,5,0.2421,12.0,0.0,24.0,0.4,17068.0
50019,VT,Orleans County,58.5,2026,91.8,,,25.5,3763,2022,,6.8,,,,,10.15,1.61,1.74,,1.1,56.4,55.2,0.57,,0.048,0.085,229,0.5,27,0.1681,4.1,65.0,26.8,0.6,29246.0
50021,VT,Rutland County,57.5,2026,71.6,109.0,2020,23.0,3393,2022,,4.2,,,,,9.79,0.93,0.92,,1.0,56.7,55.5,0.85,0.007,0.021,0.029,180,0.7,49,0.1236,20.4,0.0,24.8,1.1,8017.0
50023,VT,Washington County,56.0,2024,19.1,,,32.0,5057,2022,,3.4,,,,,,,,,1.0,56.1,54.8,0.67,0.016,0.026,0.12,11,,0,0.1821,1.2,0.0,25.2,0.6,7102.0
50025,VT,Windham County,83.5,2024,-26.1,,,22.5,5142,2022,,0.5,,,,,12.32,0.81,0.63,,1.3,57.6,55.7,0.84,0.036,0.013,0.062,15,,3,0.1099,8.8,0.0,26.1,0.4,4576.0
50027,VT,Windsor County,40.0,2026,60.0,,,21.0,4863,2022,,4.7,,,,,,,,,1.4,56.8,55.3,0.86,0.011,0.014,0.024,11,,0,0.1309,28.6,0.0,24.4,0.6,6270.0
