fips,state,county,rent_dry_usd_ac,rent_dry_year,rent_dry_chg10_pct,rent_irr_usd_ac,rent_irr_year,rent_pasture_usd_ac,value_usd_ac,value_year,value_flag,value_cagr_pct,rent_to_value_pct,corn_yield_median_bu_ac,corn_yield_years,corn_yield_trend_bu_yr,claims_per_100_usd,loss_ratio_last10,loss_ratio_all,years_loss_over_1,d2_week_share_pct,jul_low_recent_f,jul_low_normal_f,jul_low_trend_f_decade,irrigated_share_2022,tile_share_2022,notill_share_2022,crp_acres,crp_share_pct,crp_expiring_next3_acres,rented_share_2022,solar_mw,wind_mw,gs_rain_normal_in,hail_1in_days_yr,cattle_2022
53001,WA,Adams County,56.5,2026,68.7,467.0,2026,2.4,2133,2022,,8.4,,211.1,8,,12.17,1.6,1.44,15,12.4,55.9,54.2,0.92,0.303,0.005,0.079,139382,27.1,29565,0.5144,19.2,144.0,3.7,0.1,53272.0
53003,WA,Asotin County,55.0,2026,80.3,,,3.0,1820,2022,,6.6,,,,,15.65,1.25,1.23,,14.4,55.7,53.4,1.11,,0.0,0.458,11051,,388,0.3465,0.0,0.0,7.7,0.6,6478.0
53005,WA,Benton County,45.0,2024,,700.0,2025,15.0,4153,2022,,1.3,,,,,5.97,1.21,0.97,13,16.6,60.3,58.6,0.99,0.665,,0.317,33204,10.1,7170,0.4381,3.2,95.9,2.8,0.3,60114.0
53007,WA,Chelan County,,,,758.0,2025,,18894,2022,,4.2,,,,,11.17,2.59,1.99,13,10.2,52.4,50.4,1.02,0.969,0.006,0.017,118,0.5,0,0.0844,0.0,0.0,8.1,0.1,281.0
53009,WA,Clallam County,,,,108.0,2023,65.0,19353,2022,,8.7,,,,,,,,,3.2,50.5,49.9,0.49,0.402,0.041,0.096,79,,12,0.2183,0.0,0.0,19.9,0.0,2197.0
53011,WA,Clark County,90.0,2026,89.5,418.0,2026,66.0,18755,2022,,16.0,,,,,,,,,6.6,54.7,54.0,0.67,0.208,0.06,0.046,85,,31,0.1367,0.0,0.0,16.7,0.0,8920.0
53013,WA,Columbia County,110.0,2026,279.3,,,14.5,2280,2022,,7.0,3.51,,,,13.19,1.63,1.37,7,13.2,56.0,53.9,0.92,0.019,,0.375,22072,13.6,8396,0.4618,0.0,657.4,8.4,0.3,3903.0
53015,WA,Cowlitz County,83.5,2026,32.5,174.0,2017,36.0,10824,2022,,3.9,,,,,,,,,3.4,52.3,51.9,0.54,0.52,0.264,0.02,6,,13,0.1728,0.0,0.0,19.7,0.0,3405.0
53017,WA,Douglas County,53.0,2026,27.7,285.0,2026,5.0,2784,2022,,18.7,1.65,,,,10.69,1.79,1.44,12,19.7,58.2,56.4,0.94,,,0.161,155733,,40162,0.5444,0.0,0.0,3.8,0.2,15364.0
53019,WA,Ferry County,21.0,2020,,,,2.8,929,2022,,12.4,,,,,,,,,10.1,51.5,50.0,0.63,,0.0,0.015,197,,0,,0.0,0.0,8.5,0.2,2378.0
53021,WA,Franklin County,33.5,2026,,553.0,2025,11.0,5182,2022,,2.4,,219.7,8,,5.54,1.21,1.06,13,17.0,59.2,57.5,1.0,,0.026,0.047,84851,,14619,0.5928,0.0,0.0,3.2,0.0,94294.0
53023,WA,Garfield County,70.5,2026,10.2,,,8.0,1814,2022,,2.9,3.75,,,,8.66,1.14,1.01,8,13.4,56.0,53.8,0.88,0.005,0.002,0.437,26874,25.3,4760,0.4511,0.0,342.7,7.3,0.3,7341.0
53025,WA,Grant County,52.0,2026,,449.0,2025,3.3,5216,2022,,8.8,,217.2,14,2.253,5.67,1.42,1.21,14,17.5,59.3,57.7,0.95,0.796,0.016,0.076,53388,8.3,13356,0.5454,0.0,0.0,2.9,0.1,195818.0
53027,WA,Grays Harbor County,54.0,2025,24.1,96.5,2025,42.5,3727,2022,,9.2,,,,,,,,,3.4,51.2,51.1,0.4,0.256,0.002,0.025,54,,19,0.0413,0.0,6.0,21.5,0.0,6711.0
53029,WA,Island County,111.0,2026,,122.0,2021,139.0,16100,2022,,8.0,,,,,,,,,2.8,53.9,52.9,0.59,0.29,0.032,0.2,2,,0,,0.0,0.0,8.6,0.0,10715.0
53031,WA,Jefferson County,60.0,2026,,,,53.0,13294,2022,,11.8,,,,,,,,,2.5,49.2,48.5,0.55,0.321,0.034,0.135,22,,0,0.2315,0.0,0.0,25.2,0.0,843.0
