fips,state,county,rent_dry_usd_ac,rent_dry_year,rent_dry_chg10_pct,rent_irr_usd_ac,rent_irr_year,rent_pasture_usd_ac,value_usd_ac,value_year,value_flag,value_cagr_pct,rent_to_value_pct,corn_yield_median_bu_ac,corn_yield_years,corn_yield_trend_bu_yr,claims_per_100_usd,loss_ratio_last10,loss_ratio_all,years_loss_over_1,d2_week_share_pct,jul_low_recent_f,jul_low_normal_f,jul_low_trend_f_decade,irrigated_share_2022,tile_share_2022,notill_share_2022,crp_acres,crp_share_pct,crp_expiring_next3_acres,rented_share_2022,solar_mw,wind_mw,gs_rain_normal_in,hail_1in_days_yr,cattle_2022
55001,WI,Adams County,74.0,2026,0.0,341.0,2026,32.0,5155,2022,,2.8,,129.9,16,-0.288,7.21,0.88,0.78,7,3.2,59.8,58.8,0.29,0.666,0.049,0.075,284,0.4,6,0.376,8.3,0.0,24.4,1.3,13761.0
55003,WI,Ashland County,38.5,2026,113.9,,,9.3,3235,2022,,7.7,,,,,8.59,0.49,0.58,,7.1,55.0,54.8,0.12,,0.0,0.027,0,,0,0.1774,0.0,0.0,22.4,0.9,8895.0
55005,WI,Barron County,103.0,2026,43.1,216.0,2026,31.0,4336,2022,,4.9,2.2,151.9,18,1.985,3.72,0.28,0.54,7,6.6,58.3,58.1,0.22,0.078,0.007,0.305,1269,0.7,198,0.3229,12.1,0.0,23.6,1.4,47044.0
55007,WI,Bayfield County,28.5,2026,14.0,,,10.0,2812,2022,,5.1,,,,,18.33,0.88,0.96,,6.1,55.5,54.9,0.27,,,0.013,0,,0,0.2654,0.0,0.0,21.4,1.7,6398.0
55009,WI,Brown County,213.0,2026,17.7,,,55.0,9088,2022,,1.4,2.31,153.0,14,3.468,8.27,0.59,0.78,8,0.4,60.4,59.0,0.54,0.006,0.205,0.191,873,0.6,185,0.4469,0.0,20.0,21.3,0.9,130566.0
55011,WI,Buffalo County,139.0,2026,14.9,182.0,2023,25.0,5134,2022,,5.4,2.61,164.4,18,1.866,2.94,0.37,0.62,3,5.9,61.6,60.8,0.37,,0.01,0.377,3779,2.4,900,0.2642,3.0,0.0,25.6,1.1,63905.0
55013,WI,Burnett County,56.5,2026,28.4,,,12.5,3584,2022,,5.6,1.59,125.7,18,1.931,7.55,0.5,0.82,4,5.7,58.8,58.0,0.51,0.014,0.003,0.471,37,,0,0.311,2.5,0.0,22.5,1.4,10805.0
55015,WI,Calumet County,187.0,2026,20.6,,,62.5,8232,2022,,0.9,2.08,155.8,16,1.878,5.09,0.51,0.65,4,0.6,60.8,59.5,0.42,,0.275,0.16,703,0.6,70,0.3724,0.0,0.0,22.0,0.7,73318.0
55017,WI,Chippewa County,125.0,2026,31.6,202.0,2017,23.0,4325,2022,,4.0,2.36,156.9,18,2.612,4.0,0.32,0.63,6,5.3,58.9,58.2,0.27,,0.034,0.206,2561,1.3,518,0.3019,12.5,0.0,23.0,1.4,51039.0
55019,WI,Clark County,119.0,2026,36.8,,,37.0,5034,2022,,4.4,,140.5,17,1.076,6.7,0.5,0.74,7,4.2,58.6,57.5,0.46,,0.084,0.095,377,0.1,8,0.2554,2.0,0.0,23.6,1.1,148739.0
55021,WI,Columbia County,215.0,2026,20.1,246.0,2025,50.5,7544,2022,,5.3,2.44,180.5,18,3.199,2.66,0.31,0.56,5,3.2,61.6,60.2,0.53,,0.102,0.209,2776,1.3,372,0.3966,11.8,162.0,24.7,1.3,56789.0
