fips,state,county,rent_dry_usd_ac,rent_dry_year,rent_dry_chg10_pct,rent_irr_usd_ac,rent_irr_year,rent_pasture_usd_ac,value_usd_ac,value_year,value_flag,value_cagr_pct,rent_to_value_pct,corn_yield_median_bu_ac,corn_yield_years,corn_yield_trend_bu_yr,claims_per_100_usd,loss_ratio_last10,loss_ratio_all,years_loss_over_1,d2_week_share_pct,jul_low_recent_f,jul_low_normal_f,jul_low_trend_f_decade,irrigated_share_2022,tile_share_2022,notill_share_2022,crp_acres,crp_share_pct,crp_expiring_next3_acres,rented_share_2022,solar_mw,wind_mw,gs_rain_normal_in,hail_1in_days_yr,cattle_2022
54001,WV,Barbour County,31.5,2026,-1.6,,,8.0,2673,2022,,2.7,,,,,,,,,1.7,62.6,60.9,0.51,,0.011,0.006,134,0.5,,0.4135,0.0,97.6,27.9,0.4,11271.0
54003,WV,Berkeley County,46.0,2026,24.3,,,22.5,7055,2022,,5.7,,119.3,9,,22.07,1.59,1.1,,4.2,64.4,63.4,0.61,,0.027,0.128,161,0.6,137,0.3005,5.8,0.0,22.6,1.5,7466.0
54005,WV,Boone County,,,,,,,2129,2022,,-1.9,,,,,,,,,1.9,65.1,63.7,0.45,,,,0,,0,,0.0,0.0,26.8,0.3,70.0
54007,WV,Braxton County,29.0,2026,,,,15.0,1813,2022,"{'own_pct': -11.7, 'nb_pct': 20.0, 'n': 6, 'dir': 'fell'}",,,,,,,,,,2.1,64.3,62.9,0.52,0.003,0.028,0.041,200,1.4,0,0.268,0.0,0.0,27.4,0.3,6530.0
54009,WV,Brooke County,49.5,2025,,,,,4024,2022,,7.3,,,,,,,,,1.3,63.0,61.8,0.43,,0.021,0.061,0,,,0.1959,0.0,0.0,23.7,0.4,1061.0
54011,WV,Cabell County,20.5,2024,2.5,,,6.0,5367,2022,,8.5,,,,,,,,,2.9,66.5,64.8,0.53,,0.036,0.054,6,,0,0.0778,0.0,0.0,24.7,0.6,2607.0
54013,WV,Calhoun County,26.5,2025,-8.6,,,10.5,1800,2022,,-0.3,,,,,,,,,1.5,64.3,62.9,0.5,0.007,0.003,0.008,11,,0,0.1696,0.0,0.0,26.4,0.4,3088.0
54015,WV,Clay County,,,,,,,2599,2022,,8.6,,,,,,,,,2.1,64.6,63.3,0.54,0.007,0.008,0.024,0,,0,0.0768,0.0,0.0,26.8,0.3,803.0
54017,WV,Doddridge County,26.0,2026,136.4,,,4.4,2479,2022,,3.1,,,,,,,,,1.1,63.9,62.1,0.62,0.009,0.004,0.022,0,,0,0.153,0.0,0.0,26.8,0.3,2738.0
54019,WV,Fayette County,,,,,,,4123,2022,,7.2,,,,,,,,,0.8,62.4,61.3,0.38,,0.009,0.065,155,3.0,26,0.1639,0.0,0.0,27.0,0.8,2312.0
54021,WV,Gilmer County,19.5,2025,95.0,,,5.4,2104,2022,,9.8,,,,,,,,,1.5,64.5,62.9,0.54,0.001,0.015,0.018,0,,0,0.2162,0.0,0.0,26.5,0.3,5934.0
54023,WV,Grant County,27.0,2026,-3.6,,,10.0,3008,2022,,2.8,,,,,,,,,4.0,60.6,59.2,0.45,0.005,0.075,0.012,1422,7.1,222,0.2341,0.0,367.0,23.7,0.3,12663.0
54025,WV,Greenbrier County,50.5,2026,-4.7,,,28.5,3317,2022,,4.9,,,,,,,,,1.8,60.3,59.0,0.51,0.009,0.026,0.053,5656,15.1,324,0.365,0.0,156.7,25.6,0.9,39559.0
54027,WV,Hampshire County,42.5,2026,123.7,,,17.0,3713,2022,,4.3,,,,,55.58,1.47,1.65,,3.6,62.2,61.1,0.38,0.013,0.033,0.058,1015,3.1,9,0.2558,20.0,0.0,23.2,0.8,16495.0
54029,WV,Hancock County,,,,,,,4294,2022,,-1.3,,,,,,,,,0.9,62.7,61.7,0.41,,,0.053,0,,,0.2416,0.0,0.0,23.6,0.5,370.0
54031,WV,Hardy County,45.0,2026,18.4,,,15.0,4212,2022,,5.6,,161.3,8,,10.27,1.09,0.73,,3.8,61.3,60.0,0.37,0.001,0.031,0.124,458,1.7,45,0.3072,0.0,0.0,24.0,0.6,22083.0
54033,WV,Harrison County,19.0,2026,-24.0,,,14.5,3496,2022,,6.9,,,,,,,,,1.1,63.6,61.9,0.52,0.007,0.026,0.022,0,,,0.2,0.0,0.0,26.4,0.8,11235.0
54035,WV,Jackson County,25.0,2026,-39.8,,,13.0,2620,2022,,3.5,,,,,,,,,1.8,64.7,63.5,0.41,,0.036,0.032,3,,0,0.2108,113.1,0.0,25.4,1.1,11190.0
