fips,state,county,rent_dry_usd_ac,rent_dry_year,rent_dry_chg10_pct,rent_irr_usd_ac,rent_irr_year,rent_pasture_usd_ac,value_usd_ac,value_year,value_flag,value_cagr_pct,rent_to_value_pct,corn_yield_median_bu_ac,corn_yield_years,corn_yield_trend_bu_yr,claims_per_100_usd,loss_ratio_last10,loss_ratio_all,years_loss_over_1,d2_week_share_pct,jul_low_recent_f,jul_low_normal_f,jul_low_trend_f_decade,irrigated_share_2022,tile_share_2022,notill_share_2022,crp_acres,crp_share_pct,crp_expiring_next3_acres,rented_share_2022,solar_mw,wind_mw,gs_rain_normal_in,hail_1in_days_yr,cattle_2022
56001,WY,Albany County,,,,40.0,2025,6.2,1040,2022,,7.3,,,,,,,,,17.5,49.9,49.0,0.5,0.808,,0.011,8148,11.4,,0.1675,0.0,487.1,9.5,2.4,52443.0
56003,WY,Big Horn County,23.0,2020,,106.0,2026,22.5,2313,2022,,7.8,,,,,5.82,0.63,1.12,9,27.3,55.4,53.9,0.68,0.824,0.179,0.067,998,1.3,0,0.4224,0.0,0.0,8.2,0.7,45956.0
56005,WY,Campbell County,9.7,2019,,,,6.2,959,2022,,11.1,,,,,29.94,1.25,1.23,,28.3,56.8,55.2,0.54,0.074,,0.02,52876,49.4,7572,0.4151,0.0,0.0,10.8,7.8,67410.0
56007,WY,Carbon County,17.0,2022,,24.0,2026,4.4,971,2022,,12.0,,,,,,,,,24.1,51.6,50.6,0.4,0.96,0.002,0.032,26236,23.2,81,0.3783,0.0,1754.6,8.1,0.5,95021.0
56009,WY,Converse County,12.5,2020,,50.0,2021,7.9,709,2022,,6.0,,,,,,,2.97,,28.1,55.1,54.2,0.4,0.758,0.0,0.057,3746,8.2,0,0.19,0.0,1583.8,9.8,3.4,58803.0
56011,WY,Crook County,14.0,2025,,,,8.1,1776,2022,,12.7,,,,,27.97,1.05,0.93,,26.2,56.4,55.1,0.54,0.089,0.001,0.053,7109,6.3,0,0.4162,0.0,0.0,13.1,7.1,81242.0
56013,WY,Fremont County,15.0,2025,11.1,78.0,2026,13.0,1882,2022,,8.1,,,,,1.81,0.25,0.76,,27.9,51.1,50.0,0.46,0.935,0.074,0.049,11792,12.5,0,0.3335,0.0,0.0,8.5,1.6,85784.0
56015,WY,Goshen County,20.5,2025,57.7,170.0,2026,10.0,1871,2022,,16.8,,145.0,9,,10.45,0.76,0.89,6,32.9,57.3,55.7,0.49,0.661,0.005,0.092,141275,56.8,601,0.2958,0.0,0.0,11.0,7.3,109449.0
56017,WY,Hot Springs County,,,,101.0,2026,10.0,823,2022,,5.8,,,,,,,,,31.0,54.2,53.5,0.57,0.998,,0.004,17594,60.8,8,0.2481,0.0,0.0,8.7,0.6,17659.0
56019,WY,Johnson County,8.7,2024,,78.0,2026,5.0,1165,2022,,14.7,,,,,,,1.84,,29.8,54.8,53.8,0.44,0.8,0.0,0.014,15741,31.9,0,0.4081,0.0,0.0,10.3,2.4,59071.0
56021,WY,Laramie County,27.5,2026,37.5,112.0,2025,6.2,2003,2022,,18.8,,117.6,9,,15.66,1.03,1.0,7,18.8,54.7,53.6,0.49,0.246,,0.102,33658,20.1,505,0.2978,150.0,455.6,11.6,8.8,81047.0
56023,WY,Lincoln County,30.0,2026,62.2,53.0,2026,15.0,3963,2022,,16.7,,,,,,,1.01,,29.5,46.7,45.3,0.47,0.806,0.0,0.024,443,0.6,176,0.3107,0.0,0.0,8.9,0.4,36829.0
56025,WY,Natrona County,12.5,2012,,89.0,2026,4.0,825,2022,,12.7,,,,,,,1.39,,27.8,54.7,53.7,0.41,0.925,,0.045,4528,13.0,,0.4245,0.0,141.3,7.8,2.3,53341.0
56027,WY,Niobrara County,14.0,2025,16.7,135.0,2026,8.1,791,2022,,4.8,,,,,3.57,0.28,1.39,,28.9,57.5,56.2,0.54,0.347,0.0,0.046,51087,65.1,355,0.3334,0.0,0.0,11.5,4.9,51320.0
56029,WY,Park County,30.0,2021,,110.0,2026,13.5,2842,2022,,13.7,,,,,4.65,0.75,0.8,3,24.9,47.8,46.6,0.56,0.893,0.09,0.05,49714,35.8,0,0.1707,0.0,0.0,11.5,0.8,36082.0
56031,WY,Platte County,22.0,2025,,120.0,2025,5.8,1028,2022,,3.2,,,,,10.76,0.75,0.88,5,28.2,56.4,55.1,0.46,0.603,0.003,0.052,120976,65.7,1371,0.2855,0.0,0.0,10.4,5.6,59355.0
